Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Adrian Dantley,BUF,1976-1977, 6-5,SF,20,77,2816,36.5714285714,544,1046,.520,.000,.000,.000,476,582,.818,251,3.25974025974,336,4.36363636364,587,7.62337662338,144,1.87012987013,91,1.18181818182,15,0.194805194805,.000,0.0,215,1564,20.3116883117,
Adrian Dantley,TOT,1977-1978, 6-5,SF,21,79,2933,37.1265822785,578,1128,.512,.000,.000,.000,541,680,.796,265,3.35443037975,355,4.49367088608,620,7.84810126582,253,3.20253164557,118,1.49367088608,24,0.303797468354,228,2.88607594937,233,1697,21.4810126582,
Adrian Dantley,IND,1977-1978, 6-5,SF,21,23,948,41.2173913043,201,403,.499,.000,.000,.000,207,263,.787,94,4.08695652174,122,5.30434782609,216,9.39130434783,65,2.82608695652,48,2.08695652174,17,0.739130434783,67,2.91304347826,76,609,26.4782608696,
Adrian Dantley,LAL,1977-1978, 6-5,SF,21,56,1985,35.4464285714,377,725,.520,.000,.000,.000,334,417,.801,171,3.05357142857,233,4.16071428571,404,7.21428571429,188,3.35714285714,70,1.25,7,0.125,161,2.875,157,1088,19.4285714286,
Adrian Dantley,LAL,1978-1979, 6-5,SF,22,60,1775,29.5833333333,374,733,.510,.000,.000,.000,292,342,.854,131,2.18333333333,211,3.51666666667,342,5.7,138,2.3,63,1.05,12,0.2,155,2.58333333333,162,1040,17.3333333333,
Adrian Dantley,UTA,1979-1980, 6-5,SF,23,68,2674,39.3235294118,730,1267,.576,0,2,.000,443,526,.842,183,2.69117647059,333,4.89705882353,516,7.58823529412,191,2.80882352941,96,1.41176470588,14,0.205882352941,233,3.42647058824,211,1903,27.9852941176,
Adrian Dantley,UTA,1980-1981, 6-5,SF,24,80,3417,42.7125,909,1627,.559,2,7,.286,632,784,.806,192,2.4,317,3.9625,509,6.3625,322,4.025,109,1.3625,18,0.225,282,3.525,245,2452,30.65,
Adrian Dantley,UTA,1981-1982, 6-5,SF,25,81,3222,39.7777777778,904,1586,.570,1,3,.333,648,818,.792,231,2.85185185185,283,3.49382716049,514,6.34567901235,324,4.0,95,1.17283950617,14,0.172839506173,299,3.69135802469,252,2457,30.3333333333,
Adrian Dantley,UTA,1982-1983, 6-5,SF,26,22,887,40.3181818182,233,402,.580,0,0,.000,210,248,.847,58,2.63636363636,82,3.72727272727,140,6.36363636364,105,4.77272727273,20,0.909090909091,0,0.0,81,3.68181818182,62,676,30.7272727273,
Adrian Dantley,UTA,1983-1984, 6-5,SF,27,79,2984,37.7721518987,802,1438,.558,1,4,.250,813,946,.859,179,2.26582278481,269,3.40506329114,448,5.67088607595,310,3.92405063291,61,0.772151898734,4,0.0506329113924,263,3.32911392405,201,2418,30.6075949367,
Adrian Dantley,UTA,1984-1985, 6-5,SF,28,55,1971,35.8363636364,512,964,.531,0,0,.000,438,545,.804,148,2.69090909091,175,3.18181818182,323,5.87272727273,186,3.38181818182,57,1.03636363636,8,0.145454545455,171,3.10909090909,133,1462,26.5818181818,
Adrian Dantley,UTA,1985-1986, 6-5,SF,29,76,2744,36.1052631579,818,1453,.563,1,11,.091,630,796,.791,178,2.34210526316,217,2.85526315789,395,5.19736842105,264,3.47368421053,64,0.842105263158,4,0.0526315789474,231,3.03947368421,206,2267,29.8289473684,
Adrian Dantley,DET,1986-1987, 6-5,SF,30,81,2736,33.7777777778,601,1126,.534,1,6,.167,539,664,.812,104,1.28395061728,228,2.81481481481,332,4.0987654321,162,2.0,63,0.777777777778,7,0.0864197530864,181,2.23456790123,193,1742,21.5061728395,
Adrian Dantley,DET,1987-1988, 6-5,SF,31,69,2144,31.0724637681,444,863,.514,0,2,.000,492,572,.860,84,1.21739130435,143,2.07246376812,227,3.28985507246,171,2.47826086957,39,0.565217391304,10,0.144927536232,135,1.95652173913,144,1380,20.0,
Adrian Dantley,TOT,1988-1989, 6-5,SF,32,73,2422,33.1780821918,470,954,.493,0,1,.000,460,568,.810,117,1.60273972603,200,2.7397260274,317,4.34246575342,171,2.34246575342,43,0.58904109589,13,0.178082191781,163,2.23287671233,186,1400,19.1780821918,
Adrian Dantley,DET,1988-1989, 6-5,SF,32,42,1341,31.9285714286,258,495,.521,0,0,.000,256,305,.839,53,1.2619047619,111,2.64285714286,164,3.90476190476,93,2.21428571429,23,0.547619047619,6,0.142857142857,81,1.92857142857,99,772,18.380952381,
Adrian Dantley,DAL,1988-1989, 6-5,SF,32,31,1081,34.8709677419,212,459,.462,0,1,.000,204,263,.776,64,2.06451612903,89,2.87096774194,153,4.93548387097,78,2.51612903226,20,0.645161290323,7,0.225806451613,82,2.64516129032,87,628,20.2580645161,
Adrian Dantley,DAL,1989-1990, 6-5,SF,33,45,1300,28.8888888889,231,484,.477,0,2,.000,200,254,.787,78,1.73333333333,94,2.08888888889,172,3.82222222222,80,1.77777777778,20,0.444444444444,7,0.155555555556,75,1.66666666667,99,662,14.7111111111,
Adrian Dantley,MIL,1990-1991, 6-5,SF,34,10,126,12.6,19,50,.380,1,3,.333,18,26,.692,8,0.8,5,0.5,13,1.3,9,0.9,5,0.5,0,0.0,6,0.6,8,57,5.7,
