Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Al Bianchi,SYR,1956-1957, 6-3,PG,24,68,1577,23.1911764706,199,567,.351,.000,.000,.000,165,239,.690,.000,0.0,.000,0.0,227,3.33823529412,106,1.55882352941,.000,0.0,.000,0.0,.000,0.0,198,563,8.27941176471,
Al Bianchi,SYR,1957-1958, 6-3,SG,25,69,1421,20.5942028986,215,625,.344,.000,.000,.000,140,205,.683,.000,0.0,.000,0.0,221,3.20289855072,114,1.65217391304,.000,0.0,.000,0.0,.000,0.0,188,570,8.26086956522,
Al Bianchi,SYR,1958-1959, 6-3,PG,26,72,1779,24.7083333333,285,756,.377,.000,.000,.000,149,206,.723,.000,0.0,.000,0.0,199,2.76388888889,159,2.20833333333,.000,0.0,.000,0.0,.000,0.0,260,719,9.98611111111,
Al Bianchi,SYR,1959-1960, 6-3,PG,27,69,1256,18.2028985507,211,576,.366,.000,.000,.000,109,155,.703,.000,0.0,.000,0.0,179,2.59420289855,169,2.44927536232,.000,0.0,.000,0.0,.000,0.0,231,531,7.69565217391,
Al Bianchi,SYR,1960-1961, 6-3,PG,28,52,667,12.8269230769,118,342,.345,.000,.000,.000,60,87,.690,.000,0.0,.000,0.0,105,2.01923076923,93,1.78846153846,.000,0.0,.000,0.0,.000,0.0,137,296,5.69230769231,
Al Bianchi,SYR,1961-1962, 6-3,PG,29,80,1925,24.0625,336,847,.397,.000,.000,.000,154,221,.697,.000,0.0,.000,0.0,281,3.5125,263,3.2875,.000,0.0,.000,0.0,.000,0.0,232,826,10.325,
Al Bianchi,SYR,1962-1963, 6-3,SG,30,61,1159,19.0,202,476,.424,.000,.000,.000,120,164,.732,.000,0.0,.000,0.0,134,2.19672131148,170,2.7868852459,.000,0.0,.000,0.0,.000,0.0,165,524,8.59016393443,
Al Bianchi,PHI,1963-1964, 6-3,PG,31,78,1437,18.4230769231,257,684,.376,.000,.000,.000,109,141,.773,.000,0.0,.000,0.0,147,1.88461538462,149,1.91025641026,.000,0.0,.000,0.0,.000,0.0,248,623,7.98717948718,
Al Bianchi,PHI,1964-1965, 6-3,PG,32,60,1116,18.6,175,486,.360,.000,.000,.000,54,76,.711,.000,0.0,.000,0.0,95,1.58333333333,140,2.33333333333,.000,0.0,.000,0.0,.000,0.0,178,404,6.73333333333,
Al Bianchi,PHI,1965-1966, 6-3,PG,33,78,1312,16.8205128205,214,560,.382,.000,.000,.000,66,98,.673,.000,0.0,.000,0.0,134,1.71794871795,134,1.71794871795,.000,0.0,.000,0.0,.000,0.0,232,494,6.33333333333,
