Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Al Harrington,IND,1998-1999, 6-9,PF,18,21,160,7.61904761905,18,56,.321,0,5,.000,9,15,.600,20,0.952380952381,19,0.904761904762,39,1.85714285714,5,0.238095238095,4,0.190476190476,2,0.0952380952381,11,0.52380952381,26,45,2.14285714286,
Al Harrington,IND,1999-2000, 6-9,PF,19,50,854,17.08,121,264,.458,8,34,.235,78,111,.703,47,0.94,112,2.24,159,3.18,38,0.76,25,0.5,9,0.18,65,1.3,130,328,6.56,
Al Harrington,IND,2000-2001, 6-9,PF,20,78,1892,24.2564102564,241,543,.444,1,7,.143,103,157,.656,119,1.52564102564,262,3.35897435897,381,4.88461538462,130,1.66666666667,63,0.807692307692,18,0.230769230769,148,1.89743589744,223,586,7.51282051282,
Al Harrington,IND,2001-2002, 6-9,PF,21,44,1313,29.8409090909,230,484,.475,1,3,.333,115,144,.799,96,2.18181818182,180,4.09090909091,276,6.27272727273,54,1.22727272727,41,0.931818181818,21,0.477272727273,78,1.77272727273,166,576,13.0909090909,
Al Harrington,IND,2002-2003, 6-9,SF,22,82,2467,30.0853658537,389,896,.434,13,46,.283,211,274,.770,159,1.93902439024,352,4.29268292683,511,6.23170731707,125,1.5243902439,71,0.865853658537,33,0.40243902439,163,1.98780487805,280,1002,12.2195121951,
Al Harrington,IND,2003-2004, 6-9,PF,23,79,2441,30.8987341772,421,909,.463,21,77,.273,185,252,.734,163,2.06329113924,345,4.36708860759,508,6.43037974684,131,1.6582278481,80,1.01265822785,22,0.278481012658,163,2.06329113924,250,1048,13.2658227848,
Al Harrington,ATL,2004-2005, 6-9,SF,24,66,2550,38.6363636364,453,986,.459,16,74,.216,236,351,.672,145,2.19696969697,316,4.78787878788,461,6.98484848485,208,3.15151515152,85,1.28787878788,16,0.242424242424,204,3.09090909091,249,1158,17.5454545455,
Al Harrington,ATL,2005-2006, 6-9,PF,25,76,2782,36.6052631579,551,1220,.452,66,191,.346,243,350,.694,132,1.73684210526,391,5.14473684211,523,6.88157894737,238,3.13157894737,85,1.11842105263,14,0.184210526316,195,2.56578947368,301,1411,18.5657894737,
Al Harrington,TOT,2006-2007, 6-9,PF,26,78,2563,32.858974359,495,1083,.457,127,293,.433,168,242,.694,151,1.9358974359,345,4.42307692308,496,6.35897435897,149,1.91025641026,65,0.833333333333,24,0.307692307692,169,2.16666666667,269,1285,16.4743589744,
Al Harrington,IND,2006-2007, 6-9,PF,26,36,1208,33.5555555556,223,487,.458,54,118,.458,72,101,.713,71,1.97222222222,155,4.30555555556,226,6.27777777778,51,1.41666666667,25,0.694444444444,10,0.277777777778,91,2.52777777778,116,572,15.8888888889,
Al Harrington,GSW,2006-2007, 6-9,PF,26,42,1355,32.2619047619,272,596,.456,73,175,.417,96,141,.681,80,1.90476190476,190,4.52380952381,270,6.42857142857,98,2.33333333333,40,0.952380952381,14,0.333333333333,78,1.85714285714,153,713,16.9761904762,
Al Harrington,GSW,2007-2008, 6-9,C,27,81,2190,27.037037037,401,923,.434,153,408,.375,147,190,.774,107,1.32098765432,332,4.0987654321,439,5.41975308642,132,1.62962962963,74,0.913580246914,16,0.197530864198,90,1.11111111111,266,1102,13.6049382716,
Al Harrington,TOT,2008-2009, 6-9,PF,28,73,2546,34.8767123288,532,1212,.439,171,470,.364,234,295,.793,99,1.35616438356,356,4.87671232877,455,6.23287671233,102,1.39726027397,88,1.20547945205,22,0.301369863014,161,2.20547945205,227,1469,20.1232876712,
Al Harrington,GSW,2008-2009, 6-9,PF,28,5,166,33.2,23,70,.329,11,28,.393,5,10,.500,10,2.0,18,3.6,28,5.6,10,2.0,7,1.4,0,0.0,7,1.4,14,62,12.4,
Al Harrington,NYK,2008-2009, 6-9,PF,28,68,2380,35.0,509,1142,.446,160,442,.362,229,285,.804,89,1.30882352941,338,4.97058823529,427,6.27941176471,92,1.35294117647,81,1.19117647059,22,0.323529411765,154,2.26470588235,213,1407,20.6911764706,
Al Harrington,NYK,2009-2010, 6-9,PF,29,72,2195,30.4861111111,448,1030,.435,140,409,.342,240,317,.757,88,1.22222222222,317,4.40277777778,405,5.625,110,1.52777777778,62,0.861111111111,26,0.361111111111,132,1.83333333333,209,1276,17.7222222222,
Al Harrington,DEN,2010-2011, 6-9,PF,30,73,1665,22.8082191781,281,675,.416,117,328,.357,86,117,.735,76,1.04109589041,256,3.50684931507,332,4.54794520548,101,1.38356164384,39,0.534246575342,10,0.13698630137,106,1.45205479452,202,765,10.4794520548,
Al Harrington,DEN,2011-2012, 6-9,PF,31,64,1761,27.515625,345,773,.446,101,303,.333,119,176,.676,72,1.125,318,4.96875,390,6.09375,88,1.375,58,0.90625,12,0.1875,112,1.75,181,910,14.21875,
Al Harrington,ORL,2012-2013, 6-9,,32,9,113,12.5555555556,20,57,.351,8,30,.267,3,4,.750,6,0.666666666667,21,2.33333333333,27,3.0,10,1.11111111111,4,0.444444444444,1,0.111111111111,7,0.777777777778,16,51,5.66666666667,
