Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Allan Bristow,PHI,1973-1974, 6-7,SF,22,55,643,11.6909090909,108,270,.400,.000,.000,.000,42,57,.737,68,1.23636363636,99,1.8,167,3.03636363636,92,1.67272727273,29,0.527272727273,1,0.0181818181818,.000,0.0,68,258,4.69090909091,
Allan Bristow,PHI,1974-1975, 6-7,SF,23,72,1101,15.2916666667,163,393,.415,.000,.000,.000,121,153,.791,111,1.54166666667,143,1.98611111111,254,3.52777777778,99,1.375,25,0.347222222222,2,0.0277777777778,.000,0.0,101,447,6.20833333333,
Allan Bristow,SAA,1975-1976, 6-7,SF,24,47,882,18.7659574468,125,271,.461,0,1,.000,78,92,.848,68,1.44680851064,106,2.25531914894,174,3.70212765957,121,2.57446808511,24,0.510638297872,2,0.0425531914894,63,1.34042553191,81,328,6.97872340426,
Allan Bristow,SAS,1976-1977, 6-7,SF,25,82,2017,24.5975609756,365,747,.489,.000,.000,.000,206,258,.798,119,1.4512195122,229,2.79268292683,348,4.24390243902,240,2.92682926829,89,1.08536585366,2,0.0243902439024,.000,0.0,195,936,11.4146341463,
Allan Bristow,SAS,1977-1978, 6-7,SF,26,82,1481,18.0609756098,257,538,.478,.000,.000,.000,152,208,.731,99,1.20731707317,158,1.92682926829,257,3.13414634146,194,2.36585365854,69,0.841463414634,4,0.0487804878049,146,1.78048780488,150,666,8.12195121951,
Allan Bristow,SAS,1978-1979, 6-7,SF,27,74,1324,17.8918918919,174,354,.492,.000,.000,.000,124,149,.832,80,1.08108108108,167,2.25675675676,247,3.33783783784,231,3.12162162162,56,0.756756756757,15,0.202702702703,108,1.45945945946,154,472,6.37837837838,
Allan Bristow,UTA,1979-1980, 6-7,SF,28,82,2304,28.0975609756,377,785,.480,2,7,.286,197,243,.811,170,2.07317073171,342,4.17073170732,512,6.24390243902,341,4.15853658537,88,1.07317073171,6,0.0731707317073,179,2.18292682927,211,953,11.6219512195,
Allan Bristow,UTA,1980-1981, 6-7,SF,29,82,2001,24.4024390244,271,611,.444,5,18,.278,166,198,.838,103,1.25609756098,327,3.98780487805,430,5.24390243902,383,4.67073170732,63,0.768292682927,3,0.0365853658537,171,2.08536585366,190,713,8.69512195122,
Allan Bristow,DAL,1981-1982, 6-7,SF,30,82,2035,24.8170731707,218,499,.437,3,18,.167,134,164,.817,119,1.4512195122,220,2.68292682927,339,4.13414634146,448,5.46341463415,65,0.792682926829,6,0.0731707317073,165,2.01219512195,222,573,6.98780487805,
Allan Bristow,DAL,1982-1983, 6-7,SF,31,37,371,10.027027027,44,99,.444,6,13,.462,10,14,.714,24,0.648648648649,35,0.945945945946,59,1.59459459459,70,1.89189189189,6,0.162162162162,1,0.027027027027,31,0.837837837838,46,104,2.81081081081,
