Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Allen Leavell,HOU,1979-1980, 6-1,PG,22,77,2123,27.5714285714,330,656,.503,3,19,.158,180,221,.814,57,0.74025974026,127,1.64935064935,184,2.38961038961,417,5.41558441558,127,1.64935064935,28,0.363636363636,205,2.66233766234,197,843,10.9480519481,
Allen Leavell,HOU,1980-1981, 6-1,PG,23,79,1686,21.3417721519,258,548,.471,2,17,.118,124,149,.832,30,0.379746835443,104,1.3164556962,134,1.69620253165,384,4.86075949367,97,1.22784810127,15,0.189873417722,189,2.39240506329,160,642,8.12658227848,
Allen Leavell,HOU,1981-1982, 6-1,PG,24,79,2150,27.2151898734,370,793,.467,9,31,.290,115,135,.852,49,0.620253164557,119,1.50632911392,168,2.12658227848,457,5.78481012658,150,1.89873417722,15,0.189873417722,153,1.93670886076,182,864,10.9367088608,
Allen Leavell,HOU,1982-1983, 6-1,PG,25,79,2602,32.9367088608,439,1059,.415,42,175,.240,247,297,.832,64,0.810126582278,131,1.6582278481,195,2.46835443038,530,6.70886075949,165,2.08860759494,14,0.177215189873,198,2.50632911392,215,1167,14.7721518987,
Allen Leavell,HOU,1983-1984, 6-1,PG,26,82,2009,24.5,349,731,.477,11,71,.155,238,286,.832,31,0.378048780488,86,1.0487804878,117,1.42682926829,459,5.59756097561,107,1.30487804878,12,0.146341463415,184,2.24390243902,199,947,11.5487804878,
Allen Leavell,HOU,1984-1985, 6-1,PG,27,42,536,12.7619047619,88,209,.421,8,37,.216,44,57,.772,8,0.190476190476,29,0.690476190476,37,0.880952380952,102,2.42857142857,23,0.547619047619,4,0.0952380952381,51,1.21428571429,61,228,5.42857142857,
Allen Leavell,HOU,1985-1986, 6-1,PG,28,74,1190,16.0810810811,212,458,.463,24,67,.358,135,158,.854,6,0.0810810810811,61,0.824324324324,67,0.905405405405,234,3.16216216216,58,0.783783783784,8,0.108108108108,88,1.18918918919,126,583,7.87837837838,
Allen Leavell,HOU,1986-1987, 6-1,PG,29,53,1175,22.1698113208,147,358,.411,18,57,.316,100,119,.840,14,0.264150943396,47,0.88679245283,61,1.15094339623,224,4.22641509434,53,1.0,10,0.188679245283,64,1.20754716981,126,412,7.77358490566,
Allen Leavell,HOU,1987-1988, 6-1,SG,30,80,2150,26.875,291,666,.437,19,88,.216,218,251,.869,22,0.275,126,1.575,148,1.85,405,5.0625,124,1.55,9,0.1125,130,1.625,162,819,10.2375,
Allen Leavell,HOU,1988-1989, 6-1,SG,31,55,627,11.4,65,188,.346,5,41,.122,44,60,.733,13,0.236363636364,40,0.727272727273,53,0.963636363636,127,2.30909090909,25,0.454545454545,5,0.0909090909091,62,1.12727272727,61,179,3.25454545455,
