Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Andre Miller,CLE,1999-2000, 6-2,PG,23,82,2093,25.5243902439,339,755,.449,10,49,.204,226,292,.774,85,1.03658536585,195,2.37804878049,280,3.41463414634,476,5.80487804878,84,1.0243902439,17,0.207317073171,166,2.0243902439,194,914,11.1463414634,
Andre Miller,CLE,2000-2001, 6-2,PG,24,82,2848,34.7317073171,452,999,.452,17,64,.266,375,450,.833,94,1.14634146341,266,3.24390243902,360,4.39024390244,657,8.01219512195,119,1.4512195122,28,0.341463414634,265,3.23170731707,229,1296,15.8048780488,
Andre Miller,CLE,2001-2002, 6-2,PG,25,81,3023,37.3209876543,474,1045,.454,22,87,.253,365,447,.817,108,1.33333333333,271,3.34567901235,379,4.67901234568,882,10.8888888889,126,1.55555555556,34,0.41975308642,245,3.02469135802,228,1335,16.4814814815,
Andre Miller,LAC,2002-2003, 6-2,PG,26,80,2913,36.4125,377,928,.406,23,108,.213,311,391,.795,84,1.05,232,2.9,316,3.95,537,6.7125,99,1.2375,11,0.1375,206,2.575,203,1088,13.6,
Andre Miller,DEN,2003-2004, 6-2,PG,27,82,2838,34.6097560976,430,941,.457,12,65,.185,342,411,.832,127,1.5487804878,239,2.91463414634,366,4.46341463415,501,6.10975609756,142,1.73170731707,25,0.30487804878,215,2.62195121951,194,1214,14.8048780488,
Andre Miller,DEN,2004-2005, 6-2,PG,28,82,2852,34.7804878049,427,895,.477,6,39,.154,253,302,.838,100,1.21951219512,238,2.90243902439,338,4.12195121951,569,6.93902439024,121,1.4756097561,8,0.0975609756098,220,2.68292682927,204,1113,13.5731707317,
Andre Miller,DEN,2005-2006, 6-2,PG,29,82,2937,35.8170731707,404,872,.463,5,27,.185,313,424,.738,92,1.12195121951,259,3.15853658537,351,4.28048780488,674,8.21951219512,106,1.29268292683,18,0.219512195122,256,3.12195121951,213,1126,13.7317073171,
Andre Miller,TOT,2006-2007, 6-2,PG,30,80,2966,37.075,424,909,.466,5,35,.143,222,283,.784,97,1.2125,255,3.1875,352,4.4,625,7.8125,110,1.375,10,0.125,222,2.775,184,1075,13.4375,
Andre Miller,DEN,2006-2007, 6-2,PG,30,23,822,35.7391304348,117,248,.472,4,16,.250,62,85,.729,25,1.08695652174,79,3.4347826087,104,4.52173913043,209,9.08695652174,37,1.60869565217,4,0.173913043478,70,3.04347826087,58,300,13.0434782609,
Andre Miller,PHI,2006-2007, 6-2,PG,30,57,2144,37.6140350877,307,661,.464,1,19,.053,160,198,.808,72,1.26315789474,176,3.08771929825,248,4.35087719298,416,7.29824561404,73,1.28070175439,6,0.105263157895,152,2.66666666667,126,775,13.5964912281,
Andre Miller,PHI,2007-2008, 6-2,PG,31,82,3016,36.7804878049,569,1156,.492,3,34,.088,257,333,.772,95,1.15853658537,229,2.79268292683,324,3.9512195122,565,6.89024390244,105,1.28048780488,6,0.0731707317073,206,2.51219512195,181,1398,17.0487804878,
Andre Miller,PHI,2008-2009, 6-2,PG,32,82,2976,36.2926829268,492,1041,.473,15,53,.283,338,409,.826,123,1.5,245,2.98780487805,368,4.48780487805,534,6.51219512195,109,1.32926829268,14,0.170731707317,199,2.42682926829,196,1337,16.3048780488,
Andre Miller,POR,2009-2010, 6-2,PG,33,82,2500,30.487804878,404,908,.445,16,80,.200,322,392,.821,81,0.987804878049,185,2.25609756098,266,3.24390243902,445,5.42682926829,93,1.13414634146,9,0.109756097561,173,2.10975609756,169,1146,13.9756097561,
Andre Miller,POR,2010-2011, 6-2,PG,34,81,2650,32.7160493827,388,844,.460,4,37,.108,249,292,.853,97,1.1975308642,205,2.53086419753,302,3.72839506173,566,6.98765432099,114,1.40740740741,12,0.148148148148,197,2.43209876543,171,1029,12.7037037037,
Andre Miller,DEN,2011-2012, 6-2,SG,35,66,1809,27.4090909091,242,552,.438,18,83,.217,137,169,.811,53,0.80303030303,168,2.54545454545,221,3.34848484848,441,6.68181818182,63,0.954545454545,9,0.136363636364,177,2.68181818182,133,639,9.68181818182,
Andre Miller,DEN,2012-2013, 6-2,SG,36,66,1679,25.4393939394,233,475,.491,13,52,.250,119,139,.856,45,0.681818181818,146,2.21212121212,191,2.89393939394,383,5.80303030303,58,0.878787878788,11,0.166666666667,141,2.13636363636,130,598,9.06060606061,
