Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Andrew DeClercq,GSW,1995-1996, 6-10,C,22,22,203,9.22727272727,24,50,.480,0,1,.000,11,19,.579,18,0.818181818182,21,0.954545454545,39,1.77272727273,9,0.409090909091,7,0.318181818182,5,0.227272727273,4,0.181818181818,30,59,2.68181818182,
Andrew DeClercq,GSW,1996-1997, 6-10,C,23,71,1065,15.0,142,273,.520,0,0,.000,91,151,.603,122,1.71830985915,176,2.47887323944,298,4.19718309859,32,0.450704225352,33,0.464788732394,27,0.380281690141,76,1.07042253521,229,375,5.28169014085,
Andrew DeClercq,BOS,1997-1998, 6-10,C,24,81,1523,18.8024691358,169,340,.497,0,1,.000,101,168,.601,180,2.22222222222,212,2.61728395062,392,4.83950617284,59,0.728395061728,85,1.04938271605,49,0.604938271605,84,1.03703703704,277,439,5.41975308642,
Andrew DeClercq,TOT,1998-1999, 6-10,C,25,47,1102,23.4468085106,138,276,.500,0,0,.000,95,141,.674,104,2.21276595745,151,3.21276595745,255,5.42553191489,31,0.659574468085,50,1.06382978723,29,0.617021276596,54,1.14893617021,161,371,7.89361702128,
Andrew DeClercq,BOS,1998-1999, 6-10,C,25,14,258,18.4285714286,28,57,.491,0,0,.000,19,29,.655,33,2.35714285714,30,2.14285714286,63,4.5,10,0.714285714286,13,0.928571428571,9,0.642857142857,22,1.57142857143,51,75,5.35714285714,
Andrew DeClercq,CLE,1998-1999, 6-10,C,25,33,844,25.5757575758,110,219,.502,0,0,.000,76,112,.679,71,2.15151515152,121,3.66666666667,192,5.81818181818,21,0.636363636364,37,1.12121212121,20,0.606060606061,32,0.969696969697,110,296,8.9696969697,
Andrew DeClercq,CLE,1999-2000, 6-10,C,26,82,1831,22.3292682927,225,443,.508,0,0,.000,94,160,.588,156,1.90243902439,283,3.4512195122,439,5.35365853659,58,0.707317073171,63,0.768292682927,66,0.80487804878,108,1.31707317073,275,544,6.63414634146,
Andrew DeClercq,ORL,2000-2001, 6-10,C,27,67,903,13.4776119403,107,193,.554,0,0,.000,47,82,.573,91,1.35820895522,145,2.16417910448,236,3.5223880597,32,0.477611940299,41,0.611940298507,33,0.492537313433,51,0.761194029851,198,261,3.89552238806,
Andrew DeClercq,ORL,2001-2002, 6-10,C,28,61,633,10.3770491803,67,149,.450,0,0,.000,28,50,.560,74,1.2131147541,89,1.45901639344,163,2.67213114754,22,0.360655737705,23,0.377049180328,24,0.393442622951,34,0.55737704918,130,162,2.65573770492,
Andrew DeClercq,ORL,2002-2003, 6-10,C,29,77,1327,17.2337662338,149,279,.534,0,0,.000,67,104,.644,142,1.84415584416,197,2.55844155844,339,4.4025974026,52,0.675324675325,39,0.506493506494,36,0.467532467532,84,1.09090909091,258,365,4.74025974026,
Andrew DeClercq,ORL,2003-2004, 6-10,C,30,71,1211,17.0563380282,93,195,.477,0,0,.000,44,54,.815,131,1.84507042254,186,2.61971830986,317,4.46478873239,44,0.619718309859,47,0.661971830986,32,0.450704225352,54,0.760563380282,217,230,3.23943661972,
Andrew DeClercq,ORL,2004-2005, 6-10,C,31,8,49,6.125,4,9,.444,0,0,.000,1,3,.333,7,0.875,3,0.375,10,1.25,0,0.0,2,0.25,0,0.0,1,0.125,14,9,1.125,
