Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Anfernee Hardaway,ORL,1993-1994, 6-7,PG,22,82,3015,36.7682926829,509,1092,.466,50,187,.267,245,330,.742,192,2.34146341463,247,3.01219512195,439,5.35365853659,544,6.63414634146,190,2.31707317073,51,0.621951219512,292,3.56097560976,205,1313,16.012195122,
Anfernee Hardaway,ORL,1994-1995, 6-7,PG,23,77,2901,37.6753246753,585,1142,.512,87,249,.349,356,463,.769,139,1.80519480519,197,2.55844155844,336,4.36363636364,551,7.15584415584,130,1.68831168831,26,0.337662337662,258,3.35064935065,158,1613,20.9480519481,
Anfernee Hardaway,ORL,1995-1996, 6-7,PG,24,82,3015,36.7682926829,623,1215,.513,89,283,.314,445,580,.767,129,1.57317073171,225,2.74390243902,354,4.31707317073,582,7.09756097561,166,2.0243902439,41,0.5,229,2.79268292683,160,1780,21.7073170732,
Anfernee Hardaway,ORL,1996-1997, 6-7,PG,25,59,2221,37.6440677966,421,941,.447,85,267,.318,283,345,.820,82,1.38983050847,181,3.06779661017,263,4.45762711864,332,5.62711864407,93,1.57627118644,35,0.593220338983,145,2.45762711864,123,1210,20.5084745763,
Anfernee Hardaway,ORL,1997-1998, 6-7,SG,26,19,625,32.8947368421,103,273,.377,15,50,.300,90,118,.763,8,0.421052631579,68,3.57894736842,76,4.0,68,3.57894736842,28,1.47368421053,15,0.789473684211,46,2.42105263158,45,311,16.3684210526,
Anfernee Hardaway,ORL,1998-1999, 6-7,SG,27,50,1944,38.88,301,717,.420,40,140,.286,149,211,.706,74,1.48,210,4.2,284,5.68,266,5.32,111,2.22,23,0.46,150,3.0,111,791,15.82,
Anfernee Hardaway,PHO,1999-2000, 6-7,SG,28,60,2253,37.55,378,798,.474,33,102,.324,226,286,.790,91,1.51666666667,256,4.26666666667,347,5.78333333333,315,5.25,94,1.56666666667,38,0.633333333333,153,2.55,164,1015,16.9166666667,
Anfernee Hardaway,PHO,2000-2001, 6-7,SG,29,4,112,28.0,15,36,.417,2,8,.250,7,11,.636,5,1.25,13,3.25,18,4.5,15,3.75,6,1.5,1,0.25,3,0.75,6,39,9.75,
Anfernee Hardaway,PHO,2001-2002, 6-7,SG,30,80,2462,30.775,389,931,.418,23,83,.277,158,195,.810,98,1.225,252,3.15,350,4.375,324,4.05,122,1.525,32,0.4,189,2.3625,184,959,11.9875,
Anfernee Hardaway,PHO,2002-2003, 6-7,SG,31,58,1777,30.6379310345,256,573,.447,26,73,.356,77,97,.794,66,1.13793103448,192,3.31034482759,258,4.44827586207,235,4.05172413793,66,1.13793103448,26,0.448275862069,145,2.5,150,615,10.6034482759,
Anfernee Hardaway,TOT,2003-2004, 6-7,SG,32,76,2095,27.5657894737,279,679,.411,30,79,.380,111,138,.804,69,0.907894736842,218,2.86842105263,287,3.77631578947,176,2.31578947368,70,0.921052631579,20,0.263157894737,107,1.40789473684,146,699,9.19736842105,
Anfernee Hardaway,PHO,2003-2004, 6-7,SG,32,34,876,25.7647058824,120,271,.443,14,35,.400,42,49,.857,27,0.794117647059,71,2.08823529412,98,2.88235294118,97,2.85294117647,28,0.823529411765,8,0.235294117647,42,1.23529411765,65,296,8.70588235294,
Anfernee Hardaway,NYK,2003-2004, 6-7,SG,32,42,1219,29.0238095238,159,408,.390,16,44,.364,69,89,.775,42,1.0,147,3.5,189,4.5,79,1.88095238095,42,1.0,12,0.285714285714,65,1.54761904762,81,403,9.59523809524,
Anfernee Hardaway,NYK,2004-2005, 6-7,SF,33,37,894,24.1621621622,110,260,.423,15,50,.300,34,46,.739,19,0.513513513514,70,1.89189189189,89,2.40540540541,74,2.0,28,0.756756756757,3,0.0810810810811,50,1.35135135135,79,269,7.27027027027,
Anfernee Hardaway,NYK,2005-2006, 6-7,SF,34,4,72,18.0,4,14,.286,0,1,.000,2,2,1.000,0,0.0,10,2.5,10,2.5,8,2.0,2,0.5,0,0.0,6,1.5,7,10,2.5,
Anfernee Hardaway,MIA,2007-2008, 6-7,SF,36,16,325,20.3125,22,60,.367,8,19,.421,8,9,.889,3,0.1875,32,2.0,35,2.1875,35,2.1875,19,1.1875,1,0.0625,13,0.8125,24,60,3.75,
