Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Anthony Mason,NJN,1989-1990, 6-7,PF,23,21,108,5.14285714286,14,40,.350,0,0,.000,9,15,.600,11,0.52380952381,23,1.09523809524,34,1.61904761905,7,0.333333333333,2,0.0952380952381,2,0.0952380952381,11,0.52380952381,20,37,1.7619047619,
Anthony Mason,DEN,1990-1991, 6-7,PF,24,3,21,7.0,2,4,.500,0,0,.000,6,8,.750,3,1.0,2,0.666666666667,5,1.66666666667,0,0.0,1,0.333333333333,0,0.0,0,0.0,6,10,3.33333333333,
Anthony Mason,NYK,1991-1992, 6-7,PF,25,82,2198,26.8048780488,203,399,.509,0,0,.000,167,260,.642,216,2.63414634146,357,4.35365853659,573,6.98780487805,106,1.29268292683,46,0.560975609756,20,0.243902439024,101,1.23170731707,229,573,6.98780487805,
Anthony Mason,NYK,1992-1993, 6-7,PF,26,81,2482,30.6419753086,316,629,.502,0,0,.000,199,292,.682,231,2.85185185185,409,5.04938271605,640,7.9012345679,170,2.0987654321,43,0.530864197531,19,0.234567901235,137,1.69135802469,240,831,10.2592592593,
Anthony Mason,NYK,1993-1994, 6-7,PF,27,73,1903,26.0684931507,206,433,.476,0,1,.000,116,161,.720,158,2.16438356164,269,3.68493150685,427,5.84931506849,151,2.06849315068,31,0.424657534247,9,0.123287671233,107,1.46575342466,190,528,7.23287671233,
Anthony Mason,NYK,1994-1995, 6-7,PF,28,77,2496,32.4155844156,287,507,.566,0,1,.000,191,298,.641,182,2.36363636364,468,6.07792207792,650,8.44155844156,240,3.11688311688,69,0.896103896104,21,0.272727272727,123,1.5974025974,253,765,9.93506493506,
Anthony Mason,NYK,1995-1996, 6-7,SF,29,82,3457,42.1585365854,449,798,.563,0,0,.000,298,414,.720,220,2.68292682927,544,6.63414634146,764,9.31707317073,363,4.42682926829,69,0.841463414634,34,0.414634146341,211,2.57317073171,246,1196,14.5853658537,
Anthony Mason,CHH,1996-1997, 6-7,PF,30,73,3143,43.0547945205,433,825,.525,1,3,.333,319,428,.745,186,2.54794520548,643,8.80821917808,829,11.3561643836,414,5.67123287671,76,1.04109589041,33,0.452054794521,165,2.2602739726,202,1186,16.2465753425,
Anthony Mason,CHH,1997-1998, 6-7,PF,31,81,3148,38.8641975309,389,764,.509,0,4,.000,261,402,.649,177,2.18518518519,649,8.01234567901,826,10.1975308642,342,4.22222222222,68,0.83950617284,18,0.222222222222,146,1.8024691358,182,1039,12.8271604938,
Anthony Mason,CHH,1999-2000, 6-7,SF,33,82,3133,38.2073170732,317,661,.480,0,1,.000,314,421,.746,145,1.76829268293,554,6.75609756098,699,8.5243902439,367,4.4756097561,74,0.90243902439,29,0.353658536585,160,1.9512195122,220,948,11.5609756098,
Anthony Mason,MIA,2000-2001, 6-7,PF,34,80,3254,40.675,460,954,.482,0,0,.000,370,474,.781,169,2.1125,601,7.5125,770,9.625,248,3.1,80,1.0,25,0.3125,179,2.2375,231,1290,16.125,
Anthony Mason,MIL,2001-2002, 6-7,PF,35,82,3143,38.3292682927,316,626,.505,1,1,1.000,154,221,.697,124,1.51219512195,522,6.36585365854,646,7.87804878049,346,4.21951219512,57,0.69512195122,22,0.268292682927,130,1.58536585366,187,787,9.59756097561,
Anthony Mason,MIL,2002-2003, 6-7,C,36,65,2119,32.6,191,393,.486,0,1,.000,84,117,.718,90,1.38461538462,326,5.01538461538,416,6.4,209,3.21538461538,32,0.492307692308,12,0.184615384615,79,1.21538461538,147,466,7.16923076923,
