Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Anthony Peeler,LAL,1992-1993, 6-4,SG,23,77,1655,21.4935064935,297,634,.468,46,118,.390,162,206,.786,64,0.831168831169,115,1.49350649351,179,2.32467532468,166,2.15584415584,60,0.779220779221,14,0.181818181818,123,1.5974025974,193,802,10.4155844156,
Anthony Peeler,LAL,1993-1994, 6-4,SG,24,30,923,30.7666666667,176,409,.430,14,63,.222,57,71,.803,48,1.6,61,2.03333333333,109,3.63333333333,94,3.13333333333,43,1.43333333333,8,0.266666666667,59,1.96666666667,93,423,14.1,
Anthony Peeler,LAL,1994-1995, 6-4,SG,25,73,1559,21.3561643836,285,659,.432,84,216,.389,102,128,.797,62,0.849315068493,106,1.45205479452,168,2.30136986301,122,1.67123287671,52,0.712328767123,13,0.178082191781,82,1.12328767123,143,756,10.3561643836,
Anthony Peeler,LAL,1995-1996, 6-4,SG,26,73,1608,22.0273972603,272,602,.452,105,254,.413,61,86,.709,45,0.616438356164,92,1.2602739726,137,1.87671232877,117,1.60273972603,59,0.808219178082,10,0.13698630137,56,0.767123287671,139,710,9.72602739726,
Anthony Peeler,VAN,1996-1997, 6-4,SG,27,72,2291,31.8194444444,402,1011,.398,128,343,.373,109,133,.820,54,0.75,193,2.68055555556,247,3.43055555556,256,3.55555555556,105,1.45833333333,17,0.236111111111,157,2.18055555556,168,1041,14.4583333333,
Anthony Peeler,TOT,1997-1998, 6-4,SG,28,38,1193,31.3947368421,190,420,.452,53,125,.424,36,47,.766,37,0.973684210526,86,2.26315789474,123,3.23684210526,137,3.60526315789,61,1.60526315789,6,0.157894736842,51,1.34210526316,97,469,12.3421052632,
Anthony Peeler,VAN,1997-1998, 6-4,SG,28,8,202,25.25,35,72,.486,5,19,.263,4,6,.667,6,0.75,14,1.75,20,2.5,23,2.875,9,1.125,0,0.0,6,0.75,16,79,9.875,
Anthony Peeler,MIN,1997-1998, 6-4,SG,28,30,991,33.0333333333,155,348,.445,48,106,.453,32,41,.780,31,1.03333333333,72,2.4,103,3.43333333333,114,3.8,52,1.73333333333,6,0.2,45,1.5,81,390,13.0,
Anthony Peeler,MIN,1998-1999, 6-4,SG,29,28,810,28.9285714286,103,272,.379,34,114,.298,30,41,.732,30,1.07142857143,54,1.92857142857,84,3.0,78,2.78571428571,35,1.25,6,0.214285714286,38,1.35714285714,60,270,9.64285714286,
Anthony Peeler,MIN,1999-2000, 6-4,SG,30,82,2073,25.2804878049,316,725,.436,85,255,.333,87,109,.798,58,0.707317073171,174,2.12195121951,232,2.82926829268,195,2.37804878049,62,0.756097560976,10,0.121951219512,85,1.03658536585,171,804,9.80487804878,
Anthony Peeler,MIN,2000-2001, 6-4,SG,31,75,2126,28.3466666667,308,732,.421,100,256,.391,75,87,.862,44,0.586666666667,148,1.97333333333,192,2.56,192,2.56,91,1.21333333333,18,0.24,105,1.4,166,791,10.5466666667,
Anthony Peeler,MIN,2001-2002, 6-4,SG,32,82,2060,25.1219512195,288,684,.421,111,283,.392,50,58,.862,37,0.451219512195,169,2.06097560976,206,2.51219512195,177,2.15853658537,61,0.743902439024,11,0.134146341463,76,0.926829268293,137,737,8.98780487805,
Anthony Peeler,MIN,2002-2003, 6-4,SG,33,82,2245,27.3780487805,252,609,.414,87,212,.410,39,50,.780,40,0.487804878049,201,2.4512195122,241,2.93902439024,244,2.9756097561,72,0.878048780488,13,0.158536585366,82,1.0,161,630,7.68292682927,
Anthony Peeler,SAC,2003-2004, 6-4,SG,34,75,1391,18.5466666667,156,348,.448,68,141,.482,51,61,.836,31,0.413333333333,122,1.62666666667,153,2.04,120,1.6,56,0.746666666667,10,0.133333333333,77,1.02666666667,103,431,5.74666666667,
Anthony Peeler,WAS,2004-2005, 6-4,SG,35,40,529,13.225,56,150,.373,25,65,.385,16,18,.889,14,0.35,51,1.275,65,1.625,57,1.425,18,0.45,2,0.05,28,0.7,39,153,3.825,
