Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Antoine Carr,ATL,1984-1985, 6-9,PF,23,62,1195,19.2741935484,198,375,.528,2,6,.333,101,128,.789,79,1.27419354839,153,2.46774193548,232,3.74193548387,80,1.29032258065,29,0.467741935484,78,1.25806451613,108,1.74193548387,219,499,8.04838709677,
Antoine Carr,ATL,1985-1986, 6-9,PF,24,17,258,15.1764705882,49,93,.527,0,0,.000,18,27,.667,16,0.941176470588,36,2.11764705882,52,3.05882352941,14,0.823529411765,7,0.411764705882,15,0.882352941176,14,0.823529411765,51,116,6.82352941176,
Antoine Carr,ATL,1986-1987, 6-9,PF,25,65,695,10.6923076923,134,265,.506,1,3,.333,73,103,.709,60,0.923076923077,96,1.47692307692,156,2.4,34,0.523076923077,14,0.215384615385,48,0.738461538462,40,0.615384615385,146,342,5.26153846154,
Antoine Carr,ATL,1987-1988, 6-9,PF,26,80,1483,18.5375,281,517,.544,1,4,.250,142,182,.780,94,1.175,195,2.4375,289,3.6125,103,1.2875,38,0.475,83,1.0375,116,1.45,272,705,8.8125,
Antoine Carr,ATL,1988-1989, 6-9,PF,27,78,1488,19.0769230769,226,471,.480,0,1,.000,130,152,.855,106,1.35897435897,168,2.15384615385,274,3.51282051282,91,1.16666666667,31,0.397435897436,62,0.794871794872,82,1.05128205128,221,582,7.46153846154,
Antoine Carr,TOT,1989-1990, 6-9,PF,28,77,1727,22.4285714286,356,721,.494,0,7,.000,237,298,.795,115,1.49350649351,207,2.68831168831,322,4.18181818182,119,1.54545454545,30,0.38961038961,68,0.883116883117,125,1.62337662338,247,949,12.3246753247,
Antoine Carr,ATL,1989-1990, 6-9,PF,28,44,803,18.25,128,248,.516,0,4,.000,79,102,.775,50,1.13636363636,99,2.25,149,3.38636363636,53,1.20454545455,15,0.340909090909,34,0.772727272727,54,1.22727272727,128,335,7.61363636364,
Antoine Carr,SAC,1989-1990, 6-9,PF,28,33,924,28.0,228,473,.482,0,3,.000,158,196,.806,65,1.9696969697,108,3.27272727273,173,5.24242424242,66,2.0,15,0.454545454545,34,1.0303030303,71,2.15151515152,119,614,18.6060606061,
Antoine Carr,SAC,1990-1991, 6-9,PF,29,77,2527,32.8181818182,628,1228,.511,0,3,.000,295,389,.758,163,2.11688311688,257,3.33766233766,420,5.45454545455,191,2.48051948052,45,0.584415584416,101,1.31168831169,171,2.22077922078,315,1551,20.1428571429,
Antoine Carr,SAS,1991-1992, 6-9,PF,30,81,1867,23.049382716,359,732,.490,1,5,.200,162,212,.764,128,1.58024691358,218,2.69135802469,346,4.27160493827,63,0.777777777778,32,0.395061728395,96,1.18518518519,114,1.40740740741,264,881,10.8765432099,
Antoine Carr,SAS,1992-1993, 6-9,PF,31,71,1947,27.4225352113,379,705,.538,0,5,.000,174,224,.777,107,1.50704225352,281,3.95774647887,388,5.46478873239,97,1.3661971831,35,0.492957746479,87,1.22535211268,96,1.35211267606,264,932,13.1267605634,
Antoine Carr,SAS,1993-1994, 6-9,PF,32,34,465,13.6764705882,78,160,.488,0,1,.000,42,58,.724,12,0.352941176471,39,1.14705882353,51,1.5,15,0.441176470588,9,0.264705882353,22,0.647058823529,15,0.441176470588,75,198,5.82352941176,
Antoine Carr,UTA,1994-1995, 6-9,C,33,78,1677,21.5,290,546,.531,1,4,.250,165,201,.821,81,1.03846153846,184,2.35897435897,265,3.39743589744,67,0.858974358974,24,0.307692307692,68,0.871794871795,87,1.11538461538,253,746,9.5641025641,
Antoine Carr,UTA,1995-1996, 6-9,SF,34,80,1532,19.15,233,510,.457,0,3,.000,114,144,.792,71,0.8875,129,1.6125,200,2.5,74,0.925,28,0.35,65,0.8125,78,0.975,254,580,7.25,
Antoine Carr,UTA,1996-1997, 6-9,PF,35,82,1460,17.8048780488,252,522,.483,0,3,.000,99,127,.780,60,0.731707317073,135,1.64634146341,195,2.37804878049,74,0.90243902439,24,0.292682926829,63,0.768292682927,75,0.914634146341,214,603,7.35365853659,
Antoine Carr,UTA,1997-1998, 6-9,PF,36,66,1086,16.4545454545,151,325,.465,0,0,.000,76,98,.776,42,0.636363636364,89,1.34848484848,131,1.98484848485,48,0.727272727273,11,0.166666666667,53,0.80303030303,48,0.727272727273,195,378,5.72727272727,
Antoine Carr,HOU,1998-1999, 6-9,PF,37,18,152,8.44444444444,21,52,.404,0,1,.000,5,7,.714,9,0.5,22,1.22222222222,31,1.72222222222,9,0.5,1,0.0555555555556,10,0.555555555556,9,0.5,31,47,2.61111111111,
Antoine Carr,VAN,1999-2000, 6-9,SF,38,21,221,10.5238095238,28,64,.438,0,0,.000,11,14,.786,8,0.380952380952,24,1.14285714286,32,1.52380952381,7,0.333333333333,3,0.142857142857,6,0.285714285714,9,0.428571428571,42,67,3.19047619048,
