Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Antonio Harvey,LAL,1993-1994, 6-11,PF,23,27,247,9.14814814815,29,79,.367,0,0,.000,12,26,.462,26,0.962962962963,33,1.22222222222,59,2.18518518519,5,0.185185185185,8,0.296296296296,19,0.703703703704,17,0.62962962963,39,70,2.59259259259,
Antonio Harvey,LAL,1994-1995, 6-11,PF,24,59,572,9.69491525424,77,176,.438,1,1,1.000,24,45,.533,39,0.661016949153,63,1.06779661017,102,1.72881355932,23,0.389830508475,15,0.254237288136,41,0.694915254237,25,0.423728813559,87,179,3.03389830508,
Antonio Harvey,TOT,1995-1996, 6-11,PF,25,55,821,14.9272727273,83,224,.371,0,2,.000,38,83,.458,69,1.25454545455,131,2.38181818182,200,3.63636363636,15,0.272727272727,27,0.490909090909,47,0.854545454545,44,0.8,76,204,3.70909090909,
Antonio Harvey,VAN,1995-1996, 6-11,PF,25,18,410,22.7777777778,39,95,.411,0,2,.000,20,43,.465,27,1.5,67,3.72222222222,94,5.22222222222,9,0.5,14,0.777777777778,21,1.16666666667,18,1.0,38,98,5.44444444444,
Antonio Harvey,LAC,1995-1996, 6-11,PF,25,37,411,11.1081081081,44,129,.341,0,0,.000,18,40,.450,42,1.13513513514,64,1.72972972973,106,2.86486486486,6,0.162162162162,13,0.351351351351,26,0.702702702703,26,0.702702702703,38,106,2.86486486486,
Antonio Harvey,SEA,1996-1997, 6-11,PF,26,6,26,4.33333333333,5,11,.455,0,0,.000,5,6,.833,2,0.333333333333,8,1.33333333333,10,1.66666666667,1,0.166666666667,0,0.0,4,0.666666666667,1,0.166666666667,8,15,2.5,
Antonio Harvey,POR,1999-2000, 6-11,PF,29,19,137,7.21052631579,17,30,.567,0,0,.000,7,12,.583,8,0.421052631579,25,1.31578947368,33,1.73684210526,5,0.263157894737,1,0.0526315789474,6,0.315789473684,12,0.631578947368,20,41,2.15789473684,
Antonio Harvey,POR,2000-2001, 6-11,PF,30,12,72,6.0,13,28,.464,0,0,.000,5,6,.833,5,0.416666666667,9,0.75,14,1.16666666667,4,0.333333333333,1,0.0833333333333,6,0.5,3,0.25,10,31,2.58333333333,
Antonio Harvey,SEA,2001-2002, 6-11,PF,31,5,47,9.4,4,12,.333,0,0,.000,1,2,.500,5,1.0,4,0.8,9,1.8,5,1.0,1,0.2,3,0.6,3,0.6,8,9,1.8,
Antonio Harvey,ATL,2002-2003, 6-11,PF,32,4,32,8.0,2,5,.400,0,0,.000,0,0,.000,1,0.25,5,1.25,6,1.5,0,0.0,1,0.25,4,1.0,3,0.75,7,4,1.0,
