Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Armond Hill,ATL,1976-1977, 6-4,PG,23,81,1825,22.5308641975,175,439,.399,.000,.000,.000,139,174,.799,39,0.481481481481,104,1.28395061728,143,1.76543209877,403,4.97530864198,85,1.04938271605,6,0.0740740740741,.000,0.0,245,489,6.03703703704,
Armond Hill,ATL,1977-1978, 6-4,PG,24,82,2530,30.8536585366,304,732,.415,.000,.000,.000,189,223,.848,59,0.719512195122,172,2.09756097561,231,2.81707317073,427,5.20731707317,151,1.84146341463,15,0.182926829268,240,2.92682926829,302,797,9.71951219512,
Armond Hill,ATL,1978-1979, 6-4,PG,25,82,2527,30.8170731707,296,682,.434,.000,.000,.000,246,288,.854,41,0.5,123,1.5,164,2.0,480,5.85365853659,102,1.24390243902,16,0.19512195122,202,2.46341463415,292,838,10.2195121951,
Armond Hill,ATL,1979-1980, 6-4,PG,26,79,2092,26.4810126582,177,431,.411,1,4,.250,124,146,.849,31,0.392405063291,107,1.35443037975,138,1.74683544304,424,5.36708860759,107,1.35443037975,8,0.101265822785,171,2.16455696203,261,479,6.06329113924,
Armond Hill,TOT,1980-1981, 6-4,PG,27,75,1738,23.1733333333,117,335,.349,0,7,.000,141,172,.820,41,0.546666666667,118,1.57333333333,159,2.12,292,3.89333333333,66,0.88,11,0.146666666667,127,1.69333333333,207,375,5.0,
Armond Hill,ATL,1980-1981, 6-4,PG,27,24,624,26.0,39,116,.336,0,1,.000,42,50,.840,10,0.416666666667,41,1.70833333333,51,2.125,118,4.91666666667,26,1.08333333333,3,0.125,58,2.41666666667,60,120,5.0,
Armond Hill,SEA,1980-1981, 6-4,PG,27,51,1114,21.8431372549,78,219,.356,0,6,.000,99,122,.811,31,0.607843137255,77,1.50980392157,108,2.11764705882,174,3.41176470588,40,0.78431372549,8,0.156862745098,69,1.35294117647,147,255,5.0,
Armond Hill,TOT,1981-1982, 6-4,PG,28,40,723,18.075,53,126,.421,0,2,.000,39,55,.709,12,0.3,40,1.0,52,1.3,106,2.65,21,0.525,5,0.125,66,1.65,88,145,3.625,
Armond Hill,SEA,1981-1982, 6-4,PG,28,21,243,11.5714285714,19,37,.514,0,0,.000,17,23,.739,6,0.285714285714,19,0.904761904762,25,1.19047619048,25,1.19047619048,5,0.238095238095,2,0.0952380952381,14,0.666666666667,37,55,2.61904761905,
Armond Hill,SDC,1981-1982, 6-4,PG,28,19,480,25.2631578947,34,89,.382,0,2,.000,22,32,.688,6,0.315789473684,21,1.10526315789,27,1.42105263158,81,4.26315789474,16,0.842105263158,3,0.157894736842,52,2.73684210526,51,90,4.73684210526,
Armond Hill,MIL,1982-1983, 6-4,PG,29,14,169,12.0714285714,14,26,.538,0,0,.000,18,22,.818,5,0.357142857143,15,1.07142857143,20,1.42857142857,27,1.92857142857,9,0.642857142857,0,0.0,13,0.928571428571,20,46,3.28571428571,
Armond Hill,ATL,1983-1984, 6-4,PG,30,15,181,12.0666666667,14,46,.304,0,0,.000,17,21,.810,2,0.133333333333,8,0.533333333333,10,0.666666666667,35,2.33333333333,7,0.466666666667,0,0.0,14,0.933333333333,30,45,3.0,
