Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Arnie Risen,ROC,1948-1949, 6-9,C,24,60,.000,0.0,345,816,.423,.000,.000,.000,305,462,.660,.000,0.0,.000,0.0,.000,0.0,100,1.66666666667,.000,0.0,.000,0.0,.000,0.0,216,995,16.5833333333,
Arnie Risen,ROC,1949-1950, 6-9,C,25,62,.000,0.0,206,598,.344,.000,.000,.000,213,321,.664,.000,0.0,.000,0.0,.000,0.0,92,1.48387096774,.000,0.0,.000,0.0,.000,0.0,228,625,10.0806451613,
Arnie Risen,ROC,1950-1951, 6-9,C,26,66,.000,0.0,377,940,.401,.000,.000,.000,323,440,.734,.000,0.0,.000,0.0,795,12.0454545455,158,2.39393939394,.000,0.0,.000,0.0,.000,0.0,278,1077,16.3181818182,
Arnie Risen,ROC,1951-1952, 6-9,C,27,66,2396,36.303030303,365,926,.394,.000,.000,.000,302,431,.701,.000,0.0,.000,0.0,841,12.7424242424,150,2.27272727273,.000,0.0,.000,0.0,.000,0.0,258,1032,15.6363636364,
Arnie Risen,ROC,1952-1953, 6-9,C,28,68,2288,33.6470588235,295,802,.368,.000,.000,.000,294,429,.685,.000,0.0,.000,0.0,745,10.9558823529,135,1.98529411765,.000,0.0,.000,0.0,.000,0.0,274,884,13.0,
Arnie Risen,ROC,1953-1954, 6-9,C,29,72,2385,33.125,321,872,.368,.000,.000,.000,307,430,.714,.000,0.0,.000,0.0,728,10.1111111111,120,1.66666666667,.000,0.0,.000,0.0,.000,0.0,284,949,13.1805555556,
Arnie Risen,ROC,1954-1955, 6-9,C,30,69,1970,28.5507246377,259,699,.371,.000,.000,.000,279,375,.744,.000,0.0,.000,0.0,703,10.1884057971,112,1.6231884058,.000,0.0,.000,0.0,.000,0.0,253,797,11.5507246377,
Arnie Risen,BOS,1955-1956, 6-9,C,31,68,1597,23.4852941176,189,493,.383,.000,.000,.000,170,240,.708,.000,0.0,.000,0.0,553,8.13235294118,88,1.29411764706,.000,0.0,.000,0.0,.000,0.0,300,548,8.05882352941,
Arnie Risen,BOS,1956-1957, 6-9,C,32,43,935,21.7441860465,119,307,.388,.000,.000,.000,106,156,.679,.000,0.0,.000,0.0,286,6.6511627907,53,1.23255813953,.000,0.0,.000,0.0,.000,0.0,163,344,8.0,
Arnie Risen,BOS,1957-1958, 6-9,C,33,63,1119,17.7619047619,134,397,.338,.000,.000,.000,114,167,.683,.000,0.0,.000,0.0,360,5.71428571429,50,0.793650793651,.000,0.0,.000,0.0,.000,0.0,195,382,6.06349206349,
