Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Art Heyman,NYK,1963-1964, 6-5,SG,22,75,2236,29.8133333333,432,1003,.431,.000,.000,.000,289,422,.685,.000,0.0,.000,0.0,298,3.97333333333,256,3.41333333333,.000,0.0,.000,0.0,.000,0.0,229,1153,15.3733333333,
Art Heyman,NYK,1964-1965, 6-5,SG,23,55,663,12.0545454545,114,267,.427,.000,.000,.000,88,132,.667,.000,0.0,.000,0.0,99,1.8,79,1.43636363636,.000,0.0,.000,0.0,.000,0.0,96,316,5.74545454545,
Art Heyman,TOT,1965-1966, 6-5,,24,17,120,7.05882352941,18,52,.346,.000,.000,.000,14,22,.636,.000,0.0,.000,0.0,17,1.0,11,0.647058823529,.000,0.0,.000,0.0,.000,0.0,23,50,2.94117647059,
Art Heyman,CIN,1965-1966, 6-5,,24,11,100,9.09090909091,15,43,.349,.000,.000,.000,10,17,.588,.000,0.0,.000,0.0,13,1.18181818182,7,0.636363636364,.000,0.0,.000,0.0,.000,0.0,19,40,3.63636363636,
Art Heyman,PHI,1965-1966, 6-5,,24,6,20,3.33333333333,3,9,.333,.000,.000,.000,4,5,.800,.000,0.0,.000,0.0,4,0.666666666667,4,0.666666666667,.000,0.0,.000,0.0,.000,0.0,4,10,1.66666666667,
Art Heyman,TOT,1967-1968, 6-5,SF,26,73,2555,35.0,457,1058,.432,35,134,.261,400,547,.731,.000,0.0,.000,0.0,496,6.79452054795,276,3.78082191781,.000,0.0,.000,0.0,239,3.27397260274,188,1349,18.4794520548,
Art Heyman,NJA,1967-1968, 6-5,SG,26,19,439,23.1052631579,97,252,.385,3,17,.176,65,101,.644,.000,0.0,.000,0.0,70,3.68421052632,37,1.94736842105,.000,0.0,.000,0.0,54,2.84210526316,35,262,13.7894736842,
Art Heyman,PTP,1967-1968, 6-5,SF,26,54,2116,39.1851851852,360,806,.447,32,117,.274,335,446,.751,.000,0.0,.000,0.0,426,7.88888888889,239,4.42592592593,.000,0.0,.000,0.0,185,3.42592592593,153,1087,20.1296296296,
Art Heyman,MNP,1968-1969, 6-5,SF,27,71,2362,33.2676056338,350,832,.421,37,118,.314,285,409,.697,223,3.14084507042,271,3.81690140845,494,6.95774647887,217,3.05633802817,.000,0.0,.000,0.0,163,2.29577464789,195,1022,14.3943661972,
Art Heyman,TOT,1969-1970, 6-5,SG,28,19,310,16.3157894737,47,106,.443,0,4,.000,46,65,.708,33,1.73684210526,24,1.26315789474,57,3.0,25,1.31578947368,.000,0.0,.000,0.0,39,2.05263157895,32,140,7.36842105263,
Art Heyman,PTP,1969-1970, 6-5,,28,1,4,4.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,.000,0.0,.000,0.0,1,1.0,1,0,0.0,
Art Heyman,MMF,1969-1970, 6-5,SG,28,18,306,17.0,47,105,.448,0,4,.000,46,65,.708,33,1.83333333333,24,1.33333333333,57,3.16666666667,25,1.38888888889,.000,0.0,.000,0.0,38,2.11111111111,31,140,7.77777777778,
