Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Austin Carr,CLE,1971-1972, 6-4,SG,23,43,1539,35.7906976744,381,894,.426,.000,.000,.000,149,196,.760,.000,0.0,.000,0.0,150,3.48837209302,148,3.44186046512,.000,0.0,.000,0.0,.000,0.0,99,911,21.1860465116,
Austin Carr,CLE,1972-1973, 6-4,SG,24,82,3097,37.7682926829,702,1575,.446,.000,.000,.000,281,342,.822,.000,0.0,.000,0.0,369,4.5,279,3.40243902439,.000,0.0,.000,0.0,.000,0.0,185,1685,20.5487804878,
Austin Carr,CLE,1973-1974, 6-4,SG,25,81,3100,38.2716049383,748,1682,.445,.000,.000,.000,279,326,.856,139,1.71604938272,150,1.85185185185,289,3.56790123457,305,3.76543209877,92,1.13580246914,14,0.172839506173,.000,0.0,189,1775,21.9135802469,
Austin Carr,CLE,1974-1975, 6-4,SG,26,41,1081,26.3658536585,252,538,.468,.000,.000,.000,89,106,.840,51,1.24390243902,56,1.36585365854,107,2.60975609756,154,3.75609756098,48,1.17073170732,2,0.0487804878049,.000,0.0,57,593,14.4634146341,
Austin Carr,CLE,1975-1976, 6-4,SG,27,65,1282,19.7230769231,276,625,.442,.000,.000,.000,106,134,.791,67,1.03076923077,65,1.0,132,2.03076923077,122,1.87692307692,37,0.569230769231,2,0.0307692307692,.000,0.0,92,658,10.1230769231,
Austin Carr,CLE,1976-1977, 6-4,SG,28,82,2409,29.3780487805,558,1221,.457,.000,.000,.000,213,268,.795,120,1.46341463415,120,1.46341463415,240,2.92682926829,220,2.68292682927,57,0.69512195122,10,0.121951219512,.000,0.0,221,1329,16.2073170732,
Austin Carr,CLE,1977-1978, 6-4,SG,29,82,2186,26.6585365854,414,945,.438,.000,.000,.000,183,225,.813,76,0.926829268293,111,1.35365853659,187,2.28048780488,225,2.74390243902,68,0.829268292683,19,0.231707317073,146,1.78048780488,168,1011,12.3292682927,
Austin Carr,CLE,1978-1979, 6-4,SG,30,82,2714,33.0975609756,551,1161,.475,.000,.000,.000,292,358,.816,155,1.89024390244,135,1.64634146341,290,3.53658536585,217,2.64634146341,77,0.939024390244,14,0.170731707317,175,2.13414634146,210,1394,17.0,
Austin Carr,CLE,1979-1980, 6-4,SG,31,77,1595,20.7142857143,390,839,.465,2,6,.333,127,172,.738,81,1.05194805195,84,1.09090909091,165,2.14285714286,150,1.94805194805,39,0.506493506494,3,0.038961038961,108,1.4025974026,120,909,11.8051948052,
Austin Carr,TOT,1980-1981, 6-4,SG,32,47,657,13.9787234043,87,234,.372,0,7,.000,34,54,.630,22,0.468085106383,39,0.829787234043,61,1.29787234043,58,1.23404255319,15,0.31914893617,2,0.0425531914894,41,0.872340425532,53,208,4.42553191489,
Austin Carr,DAL,1980-1981, 6-4,SG,32,8,77,9.625,7,28,.250,0,0,.000,2,4,.500,4,0.5,5,0.625,9,1.125,9,1.125,1,0.125,0,0.0,9,1.125,10,16,2.0,
Austin Carr,WSB,1980-1981, 6-4,SG,32,39,580,14.8717948718,80,206,.388,0,7,.000,32,50,.640,18,0.461538461538,34,0.871794871795,52,1.33333333333,49,1.25641025641,14,0.358974358974,2,0.0512820512821,32,0.820512820513,43,192,4.92307692308,
