Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Barry Clemens,NYK,1965-1966, 6-6,SF,22,70,877,12.5285714286,161,391,.412,.000,.000,.000,54,78,.692,.000,0.0,.000,0.0,183,2.61428571429,67,0.957142857143,.000,0.0,.000,0.0,.000,0.0,113,376,5.37142857143,
Barry Clemens,CHI,1966-1967, 6-6,SF,23,60,986,16.4333333333,186,444,.419,.000,.000,.000,68,90,.756,.000,0.0,.000,0.0,201,3.35,39,0.65,.000,0.0,.000,0.0,.000,0.0,143,440,7.33333333333,
Barry Clemens,CHI,1967-1968, 6-6,SF,24,78,1631,20.9102564103,301,670,.449,.000,.000,.000,123,170,.724,.000,0.0,.000,0.0,375,4.80769230769,98,1.25641025641,.000,0.0,.000,0.0,.000,0.0,223,725,9.29487179487,
Barry Clemens,CHI,1968-1969, 6-6,SF,25,75,1444,19.2533333333,235,628,.374,.000,.000,.000,82,125,.656,.000,0.0,.000,0.0,318,4.24,125,1.66666666667,.000,0.0,.000,0.0,.000,0.0,163,552,7.36,
Barry Clemens,SEA,1969-1970, 6-6,SF,26,78,1487,19.0641025641,270,595,.454,.000,.000,.000,111,140,.793,.000,0.0,.000,0.0,316,4.05128205128,116,1.48717948718,.000,0.0,.000,0.0,.000,0.0,188,651,8.34615384615,
Barry Clemens,SEA,1970-1971, 6-6,SF,27,78,1286,16.4871794872,247,526,.470,.000,.000,.000,83,114,.728,.000,0.0,.000,0.0,243,3.11538461538,92,1.17948717949,.000,0.0,.000,0.0,.000,0.0,169,577,7.39743589744,
Barry Clemens,SEA,1971-1972, 6-6,SF,28,82,1447,17.6463414634,252,484,.521,.000,.000,.000,76,90,.844,.000,0.0,.000,0.0,288,3.51219512195,64,0.780487804878,.000,0.0,.000,0.0,.000,0.0,198,580,7.07317073171,
Barry Clemens,CLE,1972-1973, 6-6,SF,29,72,1119,15.5416666667,209,405,.516,.000,.000,.000,53,68,.779,.000,0.0,.000,0.0,211,2.93055555556,115,1.59722222222,.000,0.0,.000,0.0,.000,0.0,136,471,6.54166666667,
Barry Clemens,CLE,1973-1974, 6-6,SF,30,71,913,12.8591549296,163,346,.471,.000,.000,.000,62,73,.849,42,0.591549295775,124,1.74647887324,166,2.33802816901,80,1.12676056338,36,0.507042253521,2,0.0281690140845,.000,0.0,136,388,5.46478873239,
Barry Clemens,POR,1974-1975, 6-6,SF,31,77,952,12.3636363636,168,355,.473,.000,.000,.000,45,60,.750,33,0.428571428571,128,1.66233766234,161,2.09090909091,76,0.987012987013,68,0.883116883117,2,0.025974025974,.000,0.0,139,381,4.94805194805,
Barry Clemens,POR,1975-1976, 6-6,SF,32,49,443,9.04081632653,70,143,.490,.000,.000,.000,31,35,.886,27,0.551020408163,43,0.877551020408,70,1.42857142857,33,0.673469387755,27,0.551020408163,7,0.142857142857,.000,0.0,57,171,3.48979591837,
