Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ben Poquette,DET,1977-1978, 6-9,PF,22,52,626,12.0384615385,95,225,.422,.000,.000,.000,42,60,.700,50,0.961538461538,95,1.82692307692,145,2.78846153846,20,0.384615384615,10,0.192307692308,22,0.423076923077,40,0.769230769231,69,232,4.46153846154,
Ben Poquette,DET,1978-1979, 6-9,PF,23,76,1337,17.5921052632,198,464,.427,.000,.000,.000,111,142,.782,99,1.30263157895,237,3.11842105263,336,4.42105263158,57,0.75,38,0.5,98,1.28947368421,65,0.855263157895,198,507,6.67105263158,
Ben Poquette,UTA,1979-1980, 6-9,C,24,82,2349,28.6463414634,296,566,.523,0,2,.000,139,167,.832,124,1.51219512195,436,5.31707317073,560,6.82926829268,131,1.59756097561,45,0.548780487805,162,1.9756097561,103,1.25609756098,283,731,8.91463414634,
Ben Poquette,UTA,1980-1981, 6-9,PF,25,82,2808,34.243902439,324,614,.528,3,6,.500,126,162,.778,160,1.9512195122,469,5.71951219512,629,7.67073170732,161,1.96341463415,67,0.817073170732,174,2.12195121951,122,1.48780487805,342,777,9.4756097561,
Ben Poquette,UTA,1981-1982, 6-9,PF,26,82,1698,20.7073170732,220,428,.514,3,10,.300,97,120,.808,117,1.42682926829,294,3.58536585366,411,5.01219512195,94,1.14634146341,51,0.621951219512,65,0.792682926829,69,0.841463414634,235,540,6.58536585366,
Ben Poquette,UTA,1982-1983, 6-9,PF,27,75,2331,31.08,329,697,.472,1,5,.200,166,221,.751,155,2.06666666667,366,4.88,521,6.94666666667,168,2.24,64,0.853333333333,116,1.54666666667,100,1.33333333333,264,825,11.0,
Ben Poquette,CLE,1983-1984, 6-9,PF,28,51,858,16.8235294118,75,171,.439,1,5,.200,34,43,.791,57,1.11764705882,125,2.45098039216,182,3.56862745098,49,0.960784313725,20,0.392156862745,33,0.647058823529,28,0.549019607843,114,185,3.62745098039,
Ben Poquette,CLE,1984-1985, 6-9,PF,29,79,1656,20.9620253165,210,457,.460,3,17,.176,109,137,.796,148,1.87341772152,325,4.11392405063,473,5.98734177215,79,1.0,47,0.594936708861,58,0.73417721519,70,0.886075949367,220,532,6.73417721519,
Ben Poquette,CLE,1985-1986, 6-9,PF,30,81,1496,18.4691358025,166,348,.477,2,10,.200,72,100,.720,121,1.49382716049,252,3.11111111111,373,4.6049382716,78,0.962962962963,33,0.407407407407,32,0.395061728395,68,0.83950617284,187,406,5.01234567901,
Ben Poquette,TOT,1986-1987, 6-9,PF,31,58,604,10.4137931034,62,122,.508,0,4,.000,40,50,.800,30,0.51724137931,71,1.22413793103,101,1.74137931034,35,0.603448275862,9,0.155172413793,34,0.586206896552,21,0.362068965517,77,164,2.8275862069,
Ben Poquette,CLE,1986-1987, 6-9,PF,31,37,437,11.8108108108,41,82,.500,0,3,.000,31,39,.795,20,0.540540540541,57,1.54054054054,77,2.08108108108,28,0.756756756757,6,0.162162162162,22,0.594594594595,17,0.459459459459,51,113,3.05405405405,
Ben Poquette,CHI,1986-1987, 6-9,PF,31,21,167,7.95238095238,21,40,.525,0,1,.000,9,11,.818,10,0.47619047619,14,0.666666666667,24,1.14285714286,7,0.333333333333,3,0.142857142857,12,0.571428571429,4,0.190476190476,26,51,2.42857142857,
