Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Benoit Benjamin,LAC,1985-1986, 7-0,C,21,79,2088,26.4303797468,324,661,.490,1,3,.333,229,307,.746,161,2.03797468354,439,5.55696202532,600,7.59493670886,79,1.0,64,0.810126582278,206,2.60759493671,145,1.83544303797,286,878,11.1139240506,
Benoit Benjamin,LAC,1986-1987, 7-0,C,22,72,2230,30.9722222222,320,713,.449,0,2,.000,188,263,.715,134,1.86111111111,452,6.27777777778,586,8.13888888889,135,1.875,60,0.833333333333,187,2.59722222222,184,2.55555555556,251,828,11.5,
Benoit Benjamin,LAC,1987-1988, 7-0,C,23,66,2171,32.8939393939,340,693,.491,0,8,.000,180,255,.706,112,1.69696969697,418,6.33333333333,530,8.0303030303,172,2.60606060606,50,0.757575757576,225,3.40909090909,223,3.37878787879,203,860,13.0303030303,
Benoit Benjamin,LAC,1988-1989, 7-0,C,24,79,2585,32.7215189873,491,907,.541,0,2,.000,317,426,.744,164,2.07594936709,532,6.73417721519,696,8.81012658228,157,1.98734177215,57,0.721518987342,221,2.79746835443,237,3.0,221,1299,16.4430379747,
Benoit Benjamin,LAC,1989-1990, 7-0,C,25,71,2313,32.5774647887,362,688,.526,0,1,.000,235,321,.732,156,2.19718309859,501,7.05633802817,657,9.25352112676,159,2.23943661972,59,0.830985915493,187,2.6338028169,187,2.6338028169,217,959,13.5070422535,
Benoit Benjamin,TOT,1990-1991, 7-0,C,26,70,2236,31.9428571429,386,778,.496,0,0,.000,210,295,.712,157,2.24285714286,566,8.08571428571,723,10.3285714286,119,1.7,54,0.771428571429,145,2.07142857143,235,3.35714285714,184,982,14.0285714286,
Benoit Benjamin,LAC,1990-1991, 7-0,C,26,39,1337,34.2820512821,229,465,.492,0,0,.000,123,169,.728,95,2.4358974359,374,9.58974358974,469,12.0256410256,74,1.89743589744,26,0.666666666667,91,2.33333333333,138,3.53846153846,110,581,14.8974358974,
Benoit Benjamin,SEA,1990-1991, 7-0,C,26,31,899,29.0,157,313,.502,0,0,.000,87,126,.690,62,2.0,192,6.1935483871,254,8.1935483871,45,1.45161290323,28,0.903225806452,54,1.74193548387,97,3.12903225806,74,401,12.935483871,
Benoit Benjamin,SEA,1991-1992, 7-0,C,27,63,1941,30.8095238095,354,740,.478,0,2,.000,171,249,.687,130,2.06349206349,383,6.07936507937,513,8.14285714286,76,1.20634920635,39,0.619047619048,118,1.87301587302,175,2.77777777778,185,879,13.9523809524,
Benoit Benjamin,TOT,1992-1993, 7-0,C,28,59,754,12.7796610169,133,271,.491,0,0,.000,69,104,.663,51,0.864406779661,158,2.67796610169,209,3.54237288136,22,0.372881355932,31,0.525423728814,48,0.813559322034,78,1.32203389831,134,335,5.67796610169,
Benoit Benjamin,SEA,1992-1993, 7-0,C,28,31,448,14.4516129032,81,163,.497,0,0,.000,47,67,.701,27,0.870967741935,86,2.77419354839,113,3.64516129032,12,0.387096774194,17,0.548387096774,35,1.12903225806,42,1.35483870968,73,209,6.74193548387,
Benoit Benjamin,LAL,1992-1993, 7-0,C,28,28,306,10.9285714286,52,108,.481,0,0,.000,22,37,.595,24,0.857142857143,72,2.57142857143,96,3.42857142857,10,0.357142857143,14,0.5,13,0.464285714286,36,1.28571428571,61,126,4.5,
Benoit Benjamin,NJN,1993-1994, 7-0,C,29,77,1817,23.5974025974,283,589,.480,0,0,.000,152,214,.710,135,1.75324675325,364,4.72727272727,499,6.48051948052,44,0.571428571429,35,0.454545454545,90,1.16883116883,97,1.25974025974,198,718,9.32467532468,
Benoit Benjamin,NJN,1994-1995, 7-0,C,30,61,1598,26.1967213115,271,531,.510,0,0,.000,133,175,.760,94,1.54098360656,346,5.67213114754,440,7.2131147541,38,0.622950819672,23,0.377049180328,64,1.04918032787,125,2.04918032787,151,675,11.0655737705,
Benoit Benjamin,TOT,1995-1996, 7-0,C,31,83,1896,22.843373494,294,590,.498,0,3,.000,140,194,.722,141,1.69879518072,398,4.79518072289,539,6.49397590361,64,0.771084337349,45,0.542168674699,85,1.02409638554,144,1.73493975904,224,728,8.77108433735,
Benoit Benjamin,VAN,1995-1996, 7-0,C,31,13,404,31.0769230769,71,161,.441,0,0,.000,39,56,.696,31,2.38461538462,72,5.53846153846,103,7.92307692308,16,1.23076923077,10,0.769230769231,15,1.15384615385,34,2.61538461538,40,181,13.9230769231,
Benoit Benjamin,MIL,1995-1996, 7-0,C,31,70,1492,21.3142857143,223,429,.520,0,3,.000,101,138,.732,110,1.57142857143,326,4.65714285714,436,6.22857142857,48,0.685714285714,35,0.5,70,1.0,110,1.57142857143,184,547,7.81428571429,
Benoit Benjamin,TOR,1996-1997, 7-0,C,32,4,44,11.0,5,12,.417,0,0,.000,3,4,.750,3,0.75,6,1.5,9,2.25,1,0.25,1,0.25,0,0.0,2,0.5,5,13,3.25,
Benoit Benjamin,PHI,1997-1998, 7-0,C,33,14,197,14.0714285714,22,41,.537,0,0,.000,19,30,.633,18,1.28571428571,35,2.5,53,3.78571428571,3,0.214285714286,4,0.285714285714,4,0.285714285714,12,0.857142857143,26,63,4.5,
Benoit Benjamin,PHI,1998-1999, 7-0,C,34,6,33,5.5,2,7,.286,0,0,.000,0,0,.000,3,0.5,5,0.833333333333,8,1.33333333333,1,0.166666666667,0,0.0,0,0.0,3,0.5,6,4,0.666666666667,
Benoit Benjamin,CLE,1999-2000, 7-0,C,35,3,8,2.66666666667,1,3,.333,0,0,.000,0,0,.000,0,0.0,1,0.333333333333,1,0.333333333333,0,0.0,0,0.0,1,0.333333333333,0,0.0,1,2,0.666666666667,
