Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bill McGill,CHZ,1962-1963, 6-9,C,23,60,590,9.83333333333,181,353,.513,.000,.000,.000,80,119,.672,.000,0.0,.000,0.0,161,2.68333333333,38,0.633333333333,.000,0.0,.000,0.0,.000,0.0,118,442,7.36666666667,
Bill McGill,TOT,1963-1964, 6-9,C,24,74,1784,24.1081081081,456,937,.487,.000,.000,.000,204,282,.723,.000,0.0,.000,0.0,414,5.59459459459,121,1.63513513514,.000,0.0,.000,0.0,.000,0.0,217,1116,15.0810810811,
Bill McGill,BAL,1963-1964, 6-9,C,24,6,47,7.83333333333,11,24,.458,.000,.000,.000,9,11,.818,.000,0.0,.000,0.0,16,2.66666666667,0,0.0,.000,0.0,.000,0.0,.000,0.0,5,31,5.16666666667,
Bill McGill,NYK,1963-1964, 6-9,C,24,68,1737,25.5441176471,445,913,.487,.000,.000,.000,195,271,.720,.000,0.0,.000,0.0,398,5.85294117647,121,1.77941176471,.000,0.0,.000,0.0,.000,0.0,212,1085,15.9558823529,
Bill McGill,TOT,1964-1965, 6-9,C,25,24,133,5.54166666667,21,65,.323,.000,.000,.000,13,17,.765,.000,0.0,.000,0.0,36,1.5,9,0.375,.000,0.0,.000,0.0,.000,0.0,32,55,2.29166666667,
Bill McGill,STL,1964-1965, 6-9,C,25,16,96,6.0,14,45,.311,.000,.000,.000,12,16,.750,.000,0.0,.000,0.0,24,1.5,6,0.375,.000,0.0,.000,0.0,.000,0.0,26,40,2.5,
Bill McGill,LAL,1964-1965, 6-9,C,25,8,37,4.625,7,20,.350,.000,.000,.000,1,1,1.000,.000,0.0,.000,0.0,12,1.5,3,0.375,.000,0.0,.000,0.0,.000,0.0,6,15,1.875,
Bill McGill,DNR,1968-1969, 6-9,C,29,78,1760,22.5641025641,411,745,.552,0,0,.000,180,264,.682,145,1.85897435897,315,4.03846153846,460,5.89743589744,102,1.30769230769,.000,0.0,.000,0.0,149,1.91025641026,289,1002,12.8461538462,
Bill McGill,TOT,1969-1970, 6-9,C,30,59,830,14.0677966102,201,369,.545,0,0,.000,77,108,.713,55,0.932203389831,160,2.71186440678,215,3.64406779661,60,1.01694915254,.000,0.0,.000,0.0,84,1.42372881356,140,479,8.1186440678,
Bill McGill,LAS,1969-1970, 6-9,C,30,27,492,18.2222222222,131,232,.565,0,0,.000,48,63,.762,33,1.22222222222,86,3.18518518519,119,4.40740740741,30,1.11111111111,.000,0.0,.000,0.0,42,1.55555555556,79,310,11.4814814815,
Bill McGill,PTP,1969-1970, 6-9,C,30,8,157,19.625,40,76,.526,0,0,.000,14,21,.667,9,1.125,30,3.75,39,4.875,13,1.625,.000,0.0,.000,0.0,18,2.25,20,94,11.75,
Bill McGill,DLC,1969-1970, 6-9,C,30,24,181,7.54166666667,30,61,.492,0,0,.000,15,24,.625,13,0.541666666667,44,1.83333333333,57,2.375,17,0.708333333333,.000,0.0,.000,0.0,24,1.0,41,75,3.125,
