Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bill Sharman,WSC,1950-1951, 6-1,SG,24,31,.000,0.0,141,381,.370,.000,.000,.000,96,108,.889,.000,0.0,.000,0.0,110,3.54838709677,39,1.25806451613,.000,0.0,.000,0.0,.000,0.0,86,378,12.1935483871,
Bill Sharman,BOS,1951-1952, 6-1,SG,25,63,1389,22.0476190476,244,628,.389,.000,.000,.000,183,213,.859,.000,0.0,.000,0.0,221,3.50793650794,151,2.39682539683,.000,0.0,.000,0.0,.000,0.0,181,671,10.6507936508,
Bill Sharman,BOS,1952-1953, 6-1,SG,26,71,2333,32.8591549296,403,925,.436,.000,.000,.000,341,401,.850,.000,0.0,.000,0.0,288,4.05633802817,191,2.69014084507,.000,0.0,.000,0.0,.000,0.0,240,1147,16.1549295775,
Bill Sharman,BOS,1953-1954, 6-1,SG,27,72,2467,34.2638888889,412,915,.450,.000,.000,.000,331,392,.844,.000,0.0,.000,0.0,255,3.54166666667,229,3.18055555556,.000,0.0,.000,0.0,.000,0.0,211,1155,16.0416666667,
Bill Sharman,BOS,1954-1955, 6-1,SG,28,68,2453,36.0735294118,453,1062,.427,.000,.000,.000,347,387,.897,.000,0.0,.000,0.0,302,4.44117647059,280,4.11764705882,.000,0.0,.000,0.0,.000,0.0,212,1253,18.4264705882,
Bill Sharman,BOS,1955-1956, 6-1,SG,29,72,2698,37.4722222222,538,1229,.438,.000,.000,.000,358,413,.867,.000,0.0,.000,0.0,259,3.59722222222,339,4.70833333333,.000,0.0,.000,0.0,.000,0.0,197,1434,19.9166666667,
Bill Sharman,BOS,1956-1957, 6-1,SG,30,67,2403,35.8656716418,516,1241,.416,.000,.000,.000,381,421,.905,.000,0.0,.000,0.0,286,4.26865671642,236,3.5223880597,.000,0.0,.000,0.0,.000,0.0,188,1413,21.0895522388,
Bill Sharman,BOS,1957-1958, 6-1,SG,31,63,2214,35.1428571429,550,1297,.424,.000,.000,.000,302,338,.893,.000,0.0,.000,0.0,295,4.68253968254,167,2.65079365079,.000,0.0,.000,0.0,.000,0.0,156,1402,22.253968254,
Bill Sharman,BOS,1958-1959, 6-1,SG,32,72,2382,33.0833333333,562,1377,.408,.000,.000,.000,342,367,.932,.000,0.0,.000,0.0,292,4.05555555556,179,2.48611111111,.000,0.0,.000,0.0,.000,0.0,173,1466,20.3611111111,
Bill Sharman,BOS,1959-1960, 6-1,SG,33,71,1916,26.985915493,559,1225,.456,.000,.000,.000,252,291,.866,.000,0.0,.000,0.0,262,3.69014084507,144,2.02816901408,.000,0.0,.000,0.0,.000,0.0,154,1370,19.2957746479,
Bill Sharman,BOS,1960-1961, 6-1,SG,34,61,1538,25.2131147541,383,908,.422,.000,.000,.000,210,228,.921,.000,0.0,.000,0.0,223,3.65573770492,146,2.39344262295,.000,0.0,.000,0.0,.000,0.0,127,976,16.0,
