Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bill Willoughby,ATL,1975-1976, 6-8,SF,18,62,870,14.0322580645,113,284,.398,.000,.000,.000,66,100,.660,103,1.66129032258,185,2.98387096774,288,4.64516129032,31,0.5,37,0.596774193548,29,0.467741935484,.000,0.0,87,292,4.70967741935,
Bill Willoughby,ATL,1976-1977, 6-8,SF,19,39,549,14.0769230769,75,169,.444,.000,.000,.000,43,63,.683,65,1.66666666667,105,2.69230769231,170,4.35897435897,13,0.333333333333,19,0.487179487179,23,0.589743589744,.000,0.0,64,193,4.94871794872,
Bill Willoughby,BUF,1977-1978, 6-8,SF,20,56,1079,19.2678571429,156,363,.430,.000,.000,.000,64,80,.800,76,1.35714285714,143,2.55357142857,219,3.91071428571,38,0.678571428571,24,0.428571428571,47,0.839285714286,56,1.0,131,376,6.71428571429,
Bill Willoughby,CLE,1979-1980, 6-8,SF,22,78,1447,18.5512820513,219,457,.479,1,9,.111,96,127,.756,122,1.5641025641,207,2.65384615385,329,4.21794871795,72,0.923076923077,32,0.410256410256,62,0.794871794872,68,0.871794871795,189,535,6.85897435897,
Bill Willoughby,HOU,1980-1981, 6-8,SF,23,55,1145,20.8181818182,150,287,.523,0,0,.000,49,64,.766,74,1.34545454545,153,2.78181818182,227,4.12727272727,64,1.16363636364,18,0.327272727273,31,0.563636363636,74,1.34545454545,102,349,6.34545454545,
Bill Willoughby,HOU,1981-1982, 6-8,SF,24,69,1475,21.3768115942,240,464,.517,3,7,.429,56,77,.727,107,1.55072463768,157,2.27536231884,264,3.82608695652,75,1.08695652174,31,0.449275362319,59,0.855072463768,78,1.13043478261,146,539,7.8115942029,
Bill Willoughby,TOT,1982-1983, 6-8,SF,25,62,1146,18.4838709677,147,324,.454,6,14,.429,43,55,.782,63,1.01612903226,138,2.22580645161,201,3.24193548387,64,1.03225806452,25,0.403225806452,17,0.274193548387,61,0.983870967742,139,343,5.53225806452,
Bill Willoughby,SAS,1982-1983, 6-8,SF,25,52,1062,20.4230769231,136,295,.461,6,13,.462,41,53,.774,61,1.17307692308,129,2.48076923077,190,3.65384615385,56,1.07692307692,24,0.461538461538,16,0.307692307692,56,1.07692307692,123,319,6.13461538462,
Bill Willoughby,NJN,1982-1983, 6-8,SF,25,10,84,8.4,11,29,.379,0,1,.000,2,2,1.000,2,0.2,9,0.9,11,1.1,8,0.8,1,0.1,1,0.1,5,0.5,16,24,2.4,
Bill Willoughby,NJN,1983-1984, 6-8,SF,26,67,936,13.9701492537,124,258,.481,0,7,.000,55,63,.873,75,1.11940298507,118,1.76119402985,193,2.88059701493,56,0.835820895522,23,0.34328358209,24,0.358208955224,53,0.791044776119,106,303,4.5223880597,
