Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bingo Smith,SDR,1969-1970, 6-5,SF,23,75,1198,15.9733333333,242,567,.427,.000,.000,.000,66,96,.688,.000,0.0,.000,0.0,328,4.37333333333,75,1.0,.000,0.0,.000,0.0,.000,0.0,119,550,7.33333333333,
Bingo Smith,CLE,1970-1971, 6-5,SG,24,77,2332,30.2857142857,495,1106,.448,.000,.000,.000,178,234,.761,.000,0.0,.000,0.0,429,5.57142857143,258,3.35064935065,.000,0.0,.000,0.0,.000,0.0,175,1168,15.1688311688,
Bingo Smith,CLE,1971-1972, 6-5,SF,25,82,2734,33.3414634146,527,1190,.443,.000,.000,.000,178,224,.795,.000,0.0,.000,0.0,502,6.12195121951,247,3.01219512195,.000,0.0,.000,0.0,.000,0.0,222,1232,15.0243902439,
Bingo Smith,CLE,1972-1973, 6-5,SG,26,73,1068,14.6301369863,268,603,.444,.000,.000,.000,64,81,.790,.000,0.0,.000,0.0,199,2.72602739726,108,1.47945205479,.000,0.0,.000,0.0,.000,0.0,80,600,8.21917808219,
Bingo Smith,CLE,1973-1974, 6-5,SF,27,82,2612,31.8536585366,536,1179,.455,.000,.000,.000,139,169,.822,134,1.63414634146,301,3.67073170732,435,5.30487804878,198,2.41463414634,89,1.08536585366,30,0.365853658537,.000,0.0,242,1211,14.7682926829,
Bingo Smith,CLE,1974-1975, 6-5,SF,28,82,2636,32.1463414634,585,1212,.483,.000,.000,.000,132,160,.825,108,1.31707317073,299,3.64634146341,407,4.96341463415,229,2.79268292683,80,0.975609756098,26,0.317073170732,.000,0.0,227,1302,15.8780487805,
Bingo Smith,CLE,1975-1976, 6-5,SG,29,81,2338,28.8641975309,495,1121,.442,.000,.000,.000,111,136,.816,83,1.02469135802,258,3.18518518519,341,4.20987654321,155,1.91358024691,58,0.716049382716,36,0.444444444444,.000,0.0,231,1101,13.5925925926,
Bingo Smith,CLE,1976-1977, 6-5,SF,30,81,2135,26.3580246914,513,1149,.446,.000,.000,.000,148,181,.818,92,1.13580246914,225,2.77777777778,317,3.91358024691,152,1.87654320988,61,0.753086419753,30,0.37037037037,.000,0.0,211,1174,14.4938271605,
Bingo Smith,CLE,1977-1978, 6-5,SG,31,82,1581,19.2804878049,369,840,.439,.000,.000,.000,108,135,.800,65,0.792682926829,142,1.73170731707,207,2.5243902439,91,1.10975609756,38,0.463414634146,21,0.256097560976,81,0.987804878049,155,846,10.3170731707,
Bingo Smith,CLE,1978-1979, 6-5,SG,32,72,1650,22.9166666667,361,784,.460,.000,.000,.000,83,106,.783,77,1.06944444444,129,1.79166666667,206,2.86111111111,121,1.68055555556,43,0.597222222222,7,0.0972222222222,75,1.04166666667,188,805,11.1805555556,
Bingo Smith,TOT,1979-1980, 6-5,SF,33,78,2123,27.2179487179,385,891,.432,23,81,.284,100,115,.870,94,1.20512820513,165,2.11538461538,259,3.32051282051,100,1.28205128205,62,0.794871794872,17,0.217948717949,81,1.03846153846,209,893,11.4487179487,
Bingo Smith,CLE,1979-1980, 6-5,SG,33,8,135,16.875,33,72,.458,1,5,.200,7,8,.875,2,0.25,12,1.5,14,1.75,7,0.875,3,0.375,2,0.25,9,1.125,21,74,9.25,
Bingo Smith,SDC,1979-1980, 6-5,SF,33,70,1988,28.4,352,819,.430,22,76,.289,93,107,.869,92,1.31428571429,153,2.18571428571,245,3.5,93,1.32857142857,59,0.842857142857,15,0.214285714286,72,1.02857142857,188,819,11.7,
