Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bob Boozer,CIN,1960-1961, 6-8,PF,23,79,1573,19.9113924051,250,603,.415,.000,.000,.000,166,247,.672,.000,0.0,.000,0.0,488,6.17721518987,109,1.37974683544,.000,0.0,.000,0.0,.000,0.0,193,666,8.43037974684,
Bob Boozer,CIN,1961-1962, 6-8,PF,24,79,2488,31.4936708861,410,936,.438,.000,.000,.000,263,372,.707,.000,0.0,.000,0.0,804,10.1772151899,130,1.64556962025,.000,0.0,.000,0.0,.000,0.0,275,1083,13.7088607595,
Bob Boozer,CIN,1962-1963, 6-8,PF,25,79,2488,31.4936708861,440,992,.444,.000,.000,.000,252,353,.714,.000,0.0,.000,0.0,878,11.1139240506,102,1.29113924051,.000,0.0,.000,0.0,.000,0.0,299,1132,14.3291139241,
Bob Boozer,TOT,1963-1964, 6-8,SF,26,81,2379,29.3703703704,468,1096,.427,.000,.000,.000,272,376,.723,.000,0.0,.000,0.0,596,7.35802469136,96,1.18518518519,.000,0.0,.000,0.0,.000,0.0,231,1208,14.9135802469,
Bob Boozer,CIN,1963-1964, 6-8,SF,26,32,727,22.71875,139,334,.416,.000,.000,.000,74,119,.622,.000,0.0,.000,0.0,178,5.5625,33,1.03125,.000,0.0,.000,0.0,.000,0.0,83,352,11.0,
Bob Boozer,NYK,1963-1964, 6-8,SF,26,49,1652,33.7142857143,329,762,.432,.000,.000,.000,198,257,.770,.000,0.0,.000,0.0,418,8.5306122449,63,1.28571428571,.000,0.0,.000,0.0,.000,0.0,148,856,17.4693877551,
Bob Boozer,NYK,1964-1965, 6-8,SF,27,80,2139,26.7375,424,963,.440,.000,.000,.000,288,375,.768,.000,0.0,.000,0.0,604,7.55,108,1.35,.000,0.0,.000,0.0,.000,0.0,183,1136,14.2,
Bob Boozer,LAL,1965-1966, 6-8,PF,28,78,1847,23.6794871795,365,754,.484,.000,.000,.000,225,289,.779,.000,0.0,.000,0.0,548,7.02564102564,87,1.11538461538,.000,0.0,.000,0.0,.000,0.0,196,955,12.2435897436,
Bob Boozer,CHI,1966-1967, 6-8,PF,29,80,2451,30.6375,538,1104,.487,.000,.000,.000,360,461,.781,.000,0.0,.000,0.0,679,8.4875,90,1.125,.000,0.0,.000,0.0,.000,0.0,212,1436,17.95,
Bob Boozer,CHI,1967-1968, 6-8,PF,30,77,2988,38.8051948052,622,1265,.492,.000,.000,.000,411,535,.768,.000,0.0,.000,0.0,756,9.81818181818,121,1.57142857143,.000,0.0,.000,0.0,.000,0.0,229,1655,21.4935064935,
Bob Boozer,CHI,1968-1969, 6-8,PF,31,79,2872,36.3544303797,661,1375,.481,.000,.000,.000,394,489,.806,.000,0.0,.000,0.0,614,7.77215189873,156,1.9746835443,.000,0.0,.000,0.0,.000,0.0,218,1716,21.7215189873,
Bob Boozer,SEA,1969-1970, 6-8,PF,32,82,2549,31.0853658537,493,1005,.491,.000,.000,.000,263,320,.822,.000,0.0,.000,0.0,717,8.74390243902,110,1.34146341463,.000,0.0,.000,0.0,.000,0.0,237,1249,15.2317073171,
Bob Boozer,MIL,1970-1971, 6-8,PF,33,80,1775,22.1875,290,645,.450,.000,.000,.000,148,181,.818,.000,0.0,.000,0.0,435,5.4375,128,1.6,.000,0.0,.000,0.0,.000,0.0,216,728,9.1,
