Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bob Cousy,BOS,1950-1951, 6-1,PG,22,69,.000,0.0,401,1138,.352,.000,.000,.000,276,365,.756,.000,0.0,.000,0.0,474,6.86956521739,341,4.94202898551,.000,0.0,.000,0.0,.000,0.0,185,1078,15.6231884058,
Bob Cousy,BOS,1951-1952, 6-1,PG,23,66,2681,40.6212121212,512,1388,.369,.000,.000,.000,409,506,.808,.000,0.0,.000,0.0,421,6.37878787879,441,6.68181818182,.000,0.0,.000,0.0,.000,0.0,190,1433,21.7121212121,
Bob Cousy,BOS,1952-1953, 6-1,PG,24,71,2945,41.4788732394,464,1320,.352,.000,.000,.000,479,587,.816,.000,0.0,.000,0.0,449,6.32394366197,547,7.70422535211,.000,0.0,.000,0.0,.000,0.0,227,1407,19.8169014085,
Bob Cousy,BOS,1953-1954, 6-1,PG,25,72,2857,39.6805555556,486,1262,.385,.000,.000,.000,411,522,.787,.000,0.0,.000,0.0,394,5.47222222222,518,7.19444444444,.000,0.0,.000,0.0,.000,0.0,201,1383,19.2083333333,
Bob Cousy,BOS,1954-1955, 6-1,PG,26,71,2747,38.6901408451,522,1316,.397,.000,.000,.000,460,570,.807,.000,0.0,.000,0.0,424,5.97183098592,557,7.84507042254,.000,0.0,.000,0.0,.000,0.0,165,1504,21.1830985915,
Bob Cousy,BOS,1955-1956, 6-1,PG,27,72,2767,38.4305555556,440,1223,.360,.000,.000,.000,476,564,.844,.000,0.0,.000,0.0,492,6.83333333333,642,8.91666666667,.000,0.0,.000,0.0,.000,0.0,206,1356,18.8333333333,
Bob Cousy,BOS,1956-1957, 6-1,PG,28,64,2364,36.9375,478,1264,.378,.000,.000,.000,363,442,.821,.000,0.0,.000,0.0,309,4.828125,478,7.46875,.000,0.0,.000,0.0,.000,0.0,134,1319,20.609375,
Bob Cousy,BOS,1957-1958, 6-1,PG,29,65,2222,34.1846153846,445,1262,.353,.000,.000,.000,277,326,.850,.000,0.0,.000,0.0,322,4.95384615385,463,7.12307692308,.000,0.0,.000,0.0,.000,0.0,136,1167,17.9538461538,
Bob Cousy,BOS,1958-1959, 6-1,PG,30,65,2403,36.9692307692,484,1260,.384,.000,.000,.000,329,385,.855,.000,0.0,.000,0.0,359,5.52307692308,557,8.56923076923,.000,0.0,.000,0.0,.000,0.0,135,1297,19.9538461538,
Bob Cousy,BOS,1959-1960, 6-1,PG,31,75,2588,34.5066666667,568,1481,.384,.000,.000,.000,319,403,.792,.000,0.0,.000,0.0,352,4.69333333333,715,9.53333333333,.000,0.0,.000,0.0,.000,0.0,146,1455,19.4,
Bob Cousy,BOS,1960-1961, 6-1,PG,32,76,2468,32.4736842105,513,1382,.371,.000,.000,.000,352,452,.779,.000,0.0,.000,0.0,331,4.35526315789,587,7.72368421053,.000,0.0,.000,0.0,.000,0.0,196,1378,18.1315789474,
Bob Cousy,BOS,1961-1962, 6-1,PG,33,75,2114,28.1866666667,462,1181,.391,.000,.000,.000,251,333,.754,.000,0.0,.000,0.0,261,3.48,584,7.78666666667,.000,0.0,.000,0.0,.000,0.0,135,1175,15.6666666667,
Bob Cousy,BOS,1962-1963, 6-1,PG,34,76,1975,25.9868421053,392,988,.397,.000,.000,.000,219,298,.735,.000,0.0,.000,0.0,193,2.53947368421,515,6.77631578947,.000,0.0,.000,0.0,.000,0.0,175,1003,13.1973684211,
Bob Cousy,CIN,1969-1970, 6-1,PG,41,7,34,4.85714285714,1,3,.333,.000,.000,.000,3,3,1.000,.000,0.0,.000,0.0,5,0.714285714286,10,1.42857142857,.000,0.0,.000,0.0,.000,0.0,11,5,0.714285714286,
