Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bob Dandridge,MIL,1969-1970, 6-6,SF,22,81,2461,30.3827160494,434,895,.485,.000,.000,.000,199,264,.754,.000,0.0,.000,0.0,625,7.71604938272,292,3.6049382716,.000,0.0,.000,0.0,.000,0.0,279,1067,13.1728395062,
Bob Dandridge,MIL,1970-1971, 6-6,SF,23,79,2862,36.2278481013,594,1167,.509,.000,.000,.000,264,376,.702,.000,0.0,.000,0.0,632,8.0,277,3.50632911392,.000,0.0,.000,0.0,.000,0.0,287,1452,18.3797468354,
Bob Dandridge,MIL,1971-1972, 6-6,SF,24,80,2957,36.9625,630,1264,.498,.000,.000,.000,215,291,.739,.000,0.0,.000,0.0,613,7.6625,249,3.1125,.000,0.0,.000,0.0,.000,0.0,297,1475,18.4375,
Bob Dandridge,MIL,1972-1973, 6-6,SF,25,73,2852,39.0684931507,638,1353,.472,.000,.000,.000,198,251,.789,.000,0.0,.000,0.0,600,8.21917808219,207,2.83561643836,.000,0.0,.000,0.0,.000,0.0,279,1474,20.1917808219,
Bob Dandridge,MIL,1973-1974, 6-6,SF,26,71,2521,35.5070422535,583,1158,.503,.000,.000,.000,175,214,.818,117,1.64788732394,362,5.0985915493,479,6.74647887324,201,2.83098591549,111,1.56338028169,41,0.577464788732,.000,0.0,271,1341,18.8873239437,
Bob Dandridge,MIL,1974-1975, 6-6,SF,27,80,3031,37.8875,691,1460,.473,.000,.000,.000,211,262,.805,142,1.775,409,5.1125,551,6.8875,243,3.0375,122,1.525,48,0.6,.000,0.0,330,1593,19.9125,
Bob Dandridge,MIL,1975-1976, 6-6,SF,28,73,2735,37.4657534247,650,1296,.502,.000,.000,.000,271,329,.824,171,2.34246575342,369,5.05479452055,540,7.39726027397,206,2.82191780822,111,1.52054794521,38,0.520547945205,.000,0.0,263,1571,21.5205479452,
Bob Dandridge,MIL,1976-1977, 6-6,SF,29,70,2501,35.7285714286,585,1253,.467,.000,.000,.000,283,367,.771,146,2.08571428571,294,4.2,440,6.28571428571,268,3.82857142857,95,1.35714285714,28,0.4,.000,0.0,222,1453,20.7571428571,
Bob Dandridge,WSB,1977-1978, 6-6,SF,30,75,2777,37.0266666667,560,1190,.471,.000,.000,.000,330,419,.788,137,1.82666666667,305,4.06666666667,442,5.89333333333,287,3.82666666667,101,1.34666666667,44,0.586666666667,241,3.21333333333,262,1450,19.3333333333,
Bob Dandridge,WSB,1978-1979, 6-6,SF,31,78,2629,33.7051282051,629,1260,.499,.000,.000,.000,331,401,.825,109,1.39743589744,338,4.33333333333,447,5.73076923077,365,4.67948717949,71,0.910256410256,57,0.730769230769,222,2.84615384615,259,1589,20.3717948718,
Bob Dandridge,WSB,1979-1980, 6-6,SF,32,45,1457,32.3777777778,329,729,.451,2,11,.182,123,152,.809,63,1.4,183,4.06666666667,246,5.46666666667,178,3.95555555556,29,0.644444444444,36,0.8,123,2.73333333333,112,783,17.4,
Bob Dandridge,WSB,1980-1981, 6-6,SF,33,23,545,23.6956521739,101,237,.426,0,1,.000,28,39,.718,19,0.826086956522,64,2.78260869565,83,3.60869565217,60,2.60869565217,16,0.695652173913,9,0.391304347826,33,1.4347826087,54,230,10.0,
Bob Dandridge,MIL,1981-1982, 6-6,SF,34,11,174,15.8181818182,21,55,.382,0,0,.000,10,17,.588,4,0.363636363636,13,1.18181818182,17,1.54545454545,13,1.18181818182,5,0.454545454545,2,0.181818181818,11,1.0,25,52,4.72727272727,
