Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bob McAdoo,BUF,1972-1973, 6-9,PF,21,80,2562,32.025,585,1293,.452,.000,.000,.000,271,350,.774,.000,0.0,.000,0.0,728,9.1,139,1.7375,.000,0.0,.000,0.0,.000,0.0,256,1441,18.0125,
Bob McAdoo,BUF,1973-1974, 6-9,C,22,74,3185,43.0405405405,901,1647,.547,.000,.000,.000,459,579,.793,281,3.7972972973,836,11.2972972973,1117,15.0945945946,170,2.2972972973,88,1.18918918919,246,3.32432432432,.000,0.0,252,2261,30.5540540541,
Bob McAdoo,BUF,1974-1975, 6-9,C,23,82,3539,43.1585365854,1095,2138,.512,.000,.000,.000,641,796,.805,307,3.74390243902,848,10.3414634146,1155,14.0853658537,179,2.18292682927,92,1.12195121951,174,2.12195121951,.000,0.0,278,2831,34.5243902439,
Bob McAdoo,BUF,1975-1976, 6-9,C,24,78,3328,42.6666666667,934,1918,.487,.000,.000,.000,559,734,.762,241,3.08974358974,724,9.28205128205,965,12.3717948718,315,4.03846153846,93,1.19230769231,160,2.05128205128,.000,0.0,298,2427,31.1153846154,
Bob McAdoo,TOT,1976-1977, 6-9,C,25,72,2798,38.8611111111,740,1445,.512,.000,.000,.000,381,516,.738,199,2.76388888889,727,10.0972222222,926,12.8611111111,205,2.84722222222,77,1.06944444444,99,1.375,.000,0.0,262,1861,25.8472222222,
Bob McAdoo,BUF,1976-1977, 6-9,C,25,20,767,38.35,182,400,.455,.000,.000,.000,110,158,.696,66,3.3,198,9.9,264,13.2,65,3.25,16,0.8,34,1.7,.000,0.0,74,474,23.7,
Bob McAdoo,NYK,1976-1977, 6-9,C,25,52,2031,39.0576923077,558,1045,.534,.000,.000,.000,271,358,.757,133,2.55769230769,529,10.1730769231,662,12.7307692308,140,2.69230769231,61,1.17307692308,65,1.25,.000,0.0,188,1387,26.6730769231,
Bob McAdoo,NYK,1977-1978, 6-9,C,26,79,3182,40.2784810127,814,1564,.520,.000,.000,.000,469,645,.727,236,2.98734177215,774,9.79746835443,1010,12.7848101266,298,3.77215189873,105,1.32911392405,126,1.59493670886,346,4.37974683544,297,2097,26.5443037975,
Bob McAdoo,TOT,1978-1979, 6-9,PF,27,60,2231,37.1833333333,596,1127,.529,.000,.000,.000,295,450,.656,130,2.16666666667,390,6.5,520,8.66666666667,168,2.8,74,1.23333333333,67,1.11666666667,217,3.61666666667,189,1487,24.7833333333,
Bob McAdoo,NYK,1978-1979, 6-9,PF,27,40,1594,39.85,429,793,.541,.000,.000,.000,218,335,.651,94,2.35,285,7.125,379,9.475,128,3.2,62,1.55,47,1.175,153,3.825,134,1076,26.9,
Bob McAdoo,BOS,1978-1979, 6-9,C,27,20,637,31.85,167,334,.500,.000,.000,.000,77,115,.670,36,1.8,105,5.25,141,7.05,40,2.0,12,0.6,20,1.0,64,3.2,55,411,20.55,
Bob McAdoo,DET,1979-1980, 6-9,PF,28,58,2097,36.1551724138,492,1025,.480,3,24,.125,235,322,.730,100,1.72413793103,367,6.3275862069,467,8.05172413793,200,3.44827586207,73,1.25862068966,65,1.12068965517,238,4.10344827586,178,1222,21.0689655172,
Bob McAdoo,TOT,1980-1981, 6-9,PF,29,16,321,20.0625,68,157,.433,0,1,.000,29,41,.707,17,1.0625,50,3.125,67,4.1875,30,1.875,17,1.0625,13,0.8125,32,2.0,38,165,10.3125,
Bob McAdoo,DET,1980-1981, 6-9,PF,29,6,168,28.0,30,82,.366,0,0,.000,12,20,.600,9,1.5,32,5.33333333333,41,6.83333333333,20,3.33333333333,8,1.33333333333,7,1.16666666667,18,3.0,16,72,12.0,
Bob McAdoo,NJN,1980-1981, 6-9,PF,29,10,153,15.3,38,75,.507,0,1,.000,17,21,.810,8,0.8,18,1.8,26,2.6,10,1.0,9,0.9,6,0.6,14,1.4,22,93,9.3,
Bob McAdoo,LAL,1981-1982, 6-9,C,30,41,746,18.1951219512,151,330,.458,0,5,.000,90,126,.714,45,1.09756097561,114,2.78048780488,159,3.87804878049,32,0.780487804878,22,0.536585365854,36,0.878048780488,51,1.24390243902,109,392,9.56097560976,
Bob McAdoo,LAL,1982-1983, 6-9,C,31,47,1019,21.6808510638,292,562,.520,0,1,.000,119,163,.730,76,1.6170212766,171,3.63829787234,247,5.25531914894,39,0.829787234043,40,0.851063829787,40,0.851063829787,68,1.44680851064,153,703,14.9574468085,
Bob McAdoo,LAL,1983-1984, 6-9,C,32,70,1456,20.8,352,748,.471,0,5,.000,212,264,.803,82,1.17142857143,207,2.95714285714,289,4.12857142857,74,1.05714285714,42,0.6,50,0.714285714286,127,1.81428571429,182,916,13.0857142857,
Bob McAdoo,LAL,1984-1985, 6-9,C,33,66,1254,19.0,284,546,.520,0,1,.000,122,162,.753,79,1.19696969697,216,3.27272727273,295,4.4696969697,67,1.01515151515,18,0.272727272727,53,0.80303030303,95,1.43939393939,170,690,10.4545454545,
Bob McAdoo,PHI,1985-1986, 6-9,C,34,29,609,21.0,116,251,.462,0,0,.000,62,81,.765,25,0.862068965517,78,2.68965517241,103,3.55172413793,35,1.20689655172,10,0.344827586207,18,0.620689655172,49,1.68965517241,64,294,10.1379310345,
