Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bob Thornton,NYK,1985-1986, 6-10,PF,23,71,1323,18.6338028169,125,274,.456,0,0,.000,86,162,.531,113,1.59154929577,177,2.49295774648,290,4.08450704225,43,0.605633802817,30,0.422535211268,7,0.0985915492958,83,1.16901408451,209,336,4.7323943662,
Bob Thornton,NYK,1986-1987, 6-10,PF,24,33,282,8.54545454545,29,67,.433,0,1,.000,13,20,.650,18,0.545454545455,38,1.15151515152,56,1.69696969697,8,0.242424242424,4,0.121212121212,3,0.0909090909091,24,0.727272727273,48,71,2.15151515152,
Bob Thornton,TOT,1987-1988, 6-10,PF,25,48,593,12.3541666667,65,130,.500,0,2,.000,34,55,.618,46,0.958333333333,66,1.375,112,2.33333333333,15,0.3125,11,0.229166666667,3,0.0625,35,0.729166666667,103,164,3.41666666667,
Bob Thornton,NYK,1987-1988, 6-10,PF,25,7,85,12.1428571429,6,19,.316,0,0,.000,5,8,.625,5,0.714285714286,8,1.14285714286,13,1.85714285714,4,0.571428571429,2,0.285714285714,0,0.0,8,1.14285714286,23,17,2.42857142857,
Bob Thornton,PHI,1987-1988, 6-10,PF,25,41,508,12.3902439024,59,111,.532,0,2,.000,29,47,.617,41,1.0,58,1.41463414634,99,2.41463414634,11,0.268292682927,9,0.219512195122,3,0.0731707317073,27,0.658536585366,80,147,3.58536585366,
Bob Thornton,PHI,1988-1989, 6-10,PF,26,54,449,8.31481481481,47,111,.423,1,3,.333,32,60,.533,36,0.666666666667,56,1.03703703704,92,1.7037037037,15,0.277777777778,8,0.148148148148,7,0.12962962963,23,0.425925925926,87,127,2.35185185185,
Bob Thornton,PHI,1989-1990, 6-10,PF,27,56,592,10.5714285714,48,112,.429,1,3,.333,26,51,.510,45,0.803571428571,88,1.57142857143,133,2.375,17,0.303571428571,20,0.357142857143,12,0.214285714286,35,0.625,105,123,2.19642857143,
Bob Thornton,MIN,1990-1991, 6-10,PF,28,12,110,9.16666666667,4,13,.308,0,0,.000,8,10,.800,1,0.0833333333333,14,1.16666666667,15,1.25,1,0.0833333333333,0,0.0,3,0.25,9,0.75,18,16,1.33333333333,
Bob Thornton,UTA,1991-1992, 6-10,PF,29,2,6,3.0,1,7,.143,0,0,.000,2,2,1.000,2,1.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4,2.0,
Bob Thornton,WSB,1995-1996, 6-10,PF,33,7,31,4.42857142857,1,6,.167,0,0,.000,1,2,.500,6,0.857142857143,6,0.857142857143,12,1.71428571429,0,0.0,1,0.142857142857,0,0.0,1,0.142857142857,7,3,0.428571428571,
