Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bob Weiss,PHI,1965-1966, 6-2,,23,7,30,4.28571428571,3,9,.333,.000,.000,.000,0,0,.000,.000,0.0,.000,0.0,7,1.0,4,0.571428571429,.000,0.0,.000,0.0,.000,0.0,10,6,0.857142857143,
Bob Weiss,PHI,1966-1967, 6-2,PG,24,6,29,4.83333333333,5,10,.500,.000,.000,.000,2,5,.400,.000,0.0,.000,0.0,3,0.5,10,1.66666666667,.000,0.0,.000,0.0,.000,0.0,8,12,2.0,
Bob Weiss,SEA,1967-1968, 6-2,PG,25,82,1614,19.6829268293,295,686,.430,.000,.000,.000,213,254,.839,.000,0.0,.000,0.0,150,1.82926829268,342,4.17073170732,.000,0.0,.000,0.0,.000,0.0,137,803,9.79268292683,
Bob Weiss,TOT,1968-1969, 6-2,PG,26,77,1478,19.1948051948,189,499,.379,.000,.000,.000,128,160,.800,.000,0.0,.000,0.0,162,2.1038961039,199,2.58441558442,.000,0.0,.000,0.0,.000,0.0,174,506,6.57142857143,
Bob Weiss,MIL,1968-1969, 6-2,PG,26,15,242,16.1333333333,36,114,.316,.000,.000,.000,27,34,.794,.000,0.0,.000,0.0,27,1.8,27,1.8,.000,0.0,.000,0.0,.000,0.0,24,99,6.6,
Bob Weiss,CHI,1968-1969, 6-2,PG,26,62,1236,19.935483871,153,385,.397,.000,.000,.000,101,126,.802,.000,0.0,.000,0.0,135,2.17741935484,172,2.77419354839,.000,0.0,.000,0.0,.000,0.0,150,407,6.56451612903,
Bob Weiss,CHI,1969-1970, 6-2,PG,27,82,2544,31.0243902439,365,855,.427,.000,.000,.000,213,253,.842,.000,0.0,.000,0.0,227,2.76829268293,474,5.78048780488,.000,0.0,.000,0.0,.000,0.0,206,943,11.5,
Bob Weiss,CHI,1970-1971, 6-2,PG,28,82,2237,27.2804878049,278,659,.422,.000,.000,.000,226,269,.840,.000,0.0,.000,0.0,189,2.30487804878,387,4.71951219512,.000,0.0,.000,0.0,.000,0.0,216,782,9.53658536585,
Bob Weiss,CHI,1971-1972, 6-2,PG,29,82,2450,29.8780487805,358,832,.430,.000,.000,.000,212,254,.835,.000,0.0,.000,0.0,170,2.07317073171,377,4.59756097561,.000,0.0,.000,0.0,.000,0.0,212,928,11.3170731707,
Bob Weiss,CHI,1972-1973, 6-2,PG,30,82,2086,25.4390243902,279,655,.426,.000,.000,.000,159,189,.841,.000,0.0,.000,0.0,148,1.80487804878,295,3.59756097561,.000,0.0,.000,0.0,.000,0.0,151,717,8.74390243902,
Bob Weiss,CHI,1973-1974, 6-2,SG,31,79,1708,21.6202531646,263,564,.466,.000,.000,.000,142,170,.835,32,0.405063291139,71,0.898734177215,103,1.30379746835,303,3.83544303797,104,1.3164556962,12,0.151898734177,.000,0.0,156,668,8.45569620253,
Bob Weiss,BUF,1974-1975, 6-2,PG,32,76,1338,17.6052631579,102,261,.391,.000,.000,.000,54,67,.806,21,0.276315789474,83,1.09210526316,104,1.36842105263,260,3.42105263158,82,1.07894736842,19,0.25,.000,0.0,146,258,3.39473684211,
Bob Weiss,BUF,1975-1976, 6-2,PG,33,66,995,15.0757575758,89,183,.486,.000,.000,.000,35,48,.729,13,0.19696969697,53,0.80303030303,66,1.0,150,2.27272727273,48,0.727272727273,14,0.212121212121,.000,0.0,94,213,3.22727272727,
Bob Weiss,WSB,1976-1977, 6-2,PG,34,62,768,12.3870967742,62,133,.466,.000,.000,.000,29,37,.784,15,0.241935483871,54,0.870967741935,69,1.11290322581,130,2.09677419355,53,0.854838709677,7,0.112903225806,.000,0.0,66,153,2.46774193548,
