Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bobby Jackson,DEN,1997-1998, 6-1,PG,24,68,2042,30.0294117647,310,791,.392,21,81,.259,149,183,.814,78,1.14705882353,224,3.29411764706,302,4.44117647059,317,4.66176470588,105,1.54411764706,11,0.161764705882,184,2.70588235294,160,790,11.6176470588,
Bobby Jackson,MIN,1998-1999, 6-1,PG,25,50,941,18.82,141,348,.405,10,27,.370,61,79,.772,43,0.86,92,1.84,135,2.7,167,3.34,39,0.78,3,0.06,75,1.5,75,353,7.06,
Bobby Jackson,MIN,1999-2000, 6-1,PG,26,73,1034,14.1643835616,140,346,.405,13,46,.283,76,98,.776,50,0.684931506849,103,1.41095890411,153,2.09589041096,172,2.35616438356,48,0.657534246575,7,0.0958904109589,58,0.794520547945,114,369,5.05479452055,
Bobby Jackson,SAC,2000-2001, 6-1,PG,27,79,1648,20.8607594937,231,526,.439,39,104,.375,65,88,.739,74,0.936708860759,172,2.17721518987,246,3.11392405063,161,2.03797468354,87,1.10126582278,7,0.0886075949367,103,1.30379746835,139,566,7.16455696203,
Bobby Jackson,SAC,2001-2002, 6-1,PG,28,81,1750,21.6049382716,334,754,.443,79,219,.361,149,184,.810,82,1.01234567901,169,2.08641975309,251,3.0987654321,164,2.02469135802,73,0.901234567901,11,0.135802469136,93,1.14814814815,145,896,11.0617283951,
Bobby Jackson,SAC,2002-2003, 6-1,PG,29,59,1676,28.406779661,340,732,.464,89,235,.379,126,149,.846,57,0.966101694915,162,2.74576271186,219,3.71186440678,182,3.08474576271,71,1.20338983051,3,0.0508474576271,106,1.79661016949,126,895,15.1694915254,
Bobby Jackson,SAC,2003-2004, 6-1,SG,30,50,1185,23.7,263,592,.444,81,219,.370,82,109,.752,55,1.1,119,2.38,174,3.48,105,2.1,49,0.98,8,0.16,63,1.26,106,689,13.78,
Bobby Jackson,SAC,2004-2005, 6-1,SG,31,25,536,21.44,109,255,.427,33,96,.344,50,58,.862,23,0.92,62,2.48,85,3.4,59,2.36,14,0.56,2,0.08,28,1.12,58,301,12.04,
Bobby Jackson,MEM,2005-2006, 6-1,PG,32,71,1775,25.0,286,748,.382,129,332,.389,107,146,.733,44,0.619718309859,179,2.52112676056,223,3.14084507042,195,2.74647887324,61,0.859154929577,1,0.0140845070423,101,1.42253521127,155,808,11.3802816901,
Bobby Jackson,NOK,2006-2007, 6-1,SG,33,56,1330,23.75,204,518,.394,54,165,.327,130,168,.774,42,0.75,136,2.42857142857,178,3.17857142857,141,2.51785714286,50,0.892857142857,6,0.107142857143,78,1.39285714286,98,592,10.5714285714,
Bobby Jackson,TOT,2007-2008, 6-1,SG,34,72,1389,19.2916666667,204,506,.403,81,226,.358,64,81,.790,33,0.458333333333,148,2.05555555556,181,2.51388888889,139,1.93055555556,45,0.625,5,0.0694444444444,59,0.819444444444,96,553,7.68055555556,
Bobby Jackson,NOH,2007-2008, 6-1,SG,34,46,891,19.3695652174,116,296,.392,53,144,.368,40,49,.816,23,0.5,87,1.89130434783,110,2.39130434783,76,1.65217391304,32,0.695652173913,3,0.0652173913043,31,0.673913043478,59,325,7.0652173913,
Bobby Jackson,HOU,2007-2008, 6-1,PG,34,26,498,19.1538461538,88,210,.419,28,82,.341,24,32,.750,10,0.384615384615,61,2.34615384615,71,2.73076923077,63,2.42307692308,13,0.5,2,0.0769230769231,28,1.07692307692,37,228,8.76923076923,
Bobby Jackson,SAC,2008-2009, 6-1,PG,35,71,1484,20.9014084507,193,485,.398,60,197,.305,86,101,.851,42,0.591549295775,158,2.22535211268,200,2.81690140845,143,2.01408450704,62,0.87323943662,4,0.056338028169,66,0.929577464789,100,532,7.49295774648,
