Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bobby Simmons,WAS,2001-2002, 6-7,SF,21,30,343,11.4333333333,43,95,.453,4,14,.286,22,30,.733,25,0.833333333333,27,0.9,52,1.73333333333,17,0.566666666667,13,0.433333333333,5,0.166666666667,14,0.466666666667,31,112,3.73333333333,
Bobby Simmons,WAS,2002-2003, 6-7,SG,22,36,378,10.5,44,112,.393,0,5,.000,32,35,.914,33,0.916666666667,44,1.22222222222,77,2.13888888889,20,0.555555555556,10,0.277777777778,3,0.0833333333333,8,0.222222222222,51,120,3.33333333333,
Bobby Simmons,LAC,2003-2004, 6-7,SF,23,56,1376,24.5714285714,147,373,.394,2,12,.167,141,169,.834,115,2.05357142857,147,2.625,262,4.67857142857,96,1.71428571429,51,0.910714285714,17,0.303571428571,73,1.30357142857,169,437,7.80357142857,
Bobby Simmons,LAC,2004-2005, 6-7,SF,24,75,2799,37.32,474,1017,.466,50,115,.435,231,273,.846,128,1.70666666667,318,4.24,446,5.94666666667,205,2.73333333333,106,1.41333333333,16,0.213333333333,135,1.8,227,1229,16.3866666667,
Bobby Simmons,MIL,2005-2006, 6-7,SF,25,75,2538,33.84,366,808,.453,105,250,.420,165,200,.825,91,1.21333333333,242,3.22666666667,333,4.44,172,2.29333333333,86,1.14666666667,21,0.28,123,1.64,254,1002,13.36,
Bobby Simmons,MIL,2007-2008, 6-7,SF,27,70,1521,21.7285714286,209,496,.421,60,171,.351,53,70,.757,67,0.957142857143,159,2.27142857143,226,3.22857142857,80,1.14285714286,50,0.714285714286,5,0.0714285714286,78,1.11428571429,140,531,7.58571428571,
Bobby Simmons,NJN,2008-2009, 6-7,SF,28,71,1729,24.3521126761,198,441,.449,117,262,.447,43,58,.741,72,1.01408450704,205,2.88732394366,277,3.9014084507,92,1.29577464789,50,0.704225352113,10,0.140845070423,62,0.87323943662,186,556,7.83098591549,
Bobby Simmons,NJN,2009-2010, 6-7,PF,29,23,395,17.1739130435,42,117,.359,20,63,.317,18,20,.900,11,0.478260869565,52,2.26086956522,63,2.73913043478,15,0.652173913043,15,0.652173913043,3,0.130434782609,19,0.826086956522,52,122,5.30434782609,
Bobby Simmons,SAS,2010-2011, 6-7,SF,30,2,16,8.0,0,3,.000,0,3,.000,0,0,.000,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,2,0,0.0,
Bobby Simmons,LAC,2011-2012, 6-7,SF,31,28,418,14.9285714286,28,90,.311,20,60,.333,4,7,.571,17,0.607142857143,38,1.35714285714,55,1.96428571429,11,0.392857142857,15,0.535714285714,3,0.107142857143,10,0.357142857143,41,80,2.85714285714,
