Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Brad Miller,CHH,1998-1999, 6-11,C,22,38,469,12.3421052632,78,138,.565,1,2,.500,81,102,.794,35,0.921052631579,82,2.15789473684,117,3.07894736842,22,0.578947368421,9,0.236842105263,18,0.473684210526,32,0.842105263158,65,238,6.26315789474,
Brad Miller,CHH,1999-2000, 6-11,C,23,55,961,17.4727272727,135,293,.461,0,2,.000,153,195,.785,113,2.05454545455,180,3.27272727273,293,5.32727272727,45,0.818181818182,23,0.418181818182,35,0.636363636364,48,0.872727272727,111,423,7.69090909091,
Brad Miller,CHI,2000-2001, 6-11,C,24,57,1434,25.1578947368,168,386,.435,1,5,.200,168,226,.743,144,2.52631578947,275,4.82456140351,419,7.35087719298,107,1.87719298246,33,0.578947368421,38,0.666666666667,73,1.28070175439,176,505,8.85964912281,
Brad Miller,TOT,2001-2002, 6-11,C,25,76,2263,29.7763157895,366,733,.499,3,7,.429,297,383,.775,252,3.31578947368,369,4.85526315789,621,8.17105263158,152,2.0,76,1.0,41,0.539473684211,115,1.51315789474,244,1032,13.5789473684,
Brad Miller,CHI,2001-2002, 6-11,C,25,48,1391,28.9791666667,208,452,.460,2,4,.500,190,253,.751,176,3.66666666667,225,4.6875,401,8.35416666667,101,2.10416666667,52,1.08333333333,29,0.604166666667,74,1.54166666667,156,608,12.6666666667,
Brad Miller,IND,2001-2002, 6-11,C,25,28,872,31.1428571429,158,281,.562,1,3,.333,107,130,.823,76,2.71428571429,144,5.14285714286,220,7.85714285714,51,1.82142857143,24,0.857142857143,12,0.428571428571,41,1.46428571429,88,424,15.1428571429,
Brad Miller,IND,2002-2003, 6-11,C,26,73,2270,31.095890411,329,667,.493,5,16,.313,292,357,.818,185,2.53424657534,418,5.72602739726,603,8.2602739726,193,2.64383561644,65,0.890410958904,43,0.58904109589,118,1.61643835616,203,955,13.0821917808,
Brad Miller,SAC,2003-2004, 6-11,PF,27,72,2621,36.4027777778,373,731,.510,12,38,.316,256,329,.778,191,2.65277777778,552,7.66666666667,743,10.3194444444,312,4.33333333333,68,0.944444444444,86,1.19444444444,144,2.0,247,1014,14.0833333333,
Brad Miller,SAC,2004-2005, 6-11,C,28,56,2089,37.3035714286,319,609,.524,5,19,.263,233,287,.812,139,2.48214285714,382,6.82142857143,521,9.30357142857,220,3.92857142857,69,1.23214285714,68,1.21428571429,82,1.46428571429,181,876,15.6428571429,
Brad Miller,SAC,2005-2006, 6-11,C,29,79,2923,37.0,434,877,.495,34,88,.386,280,338,.828,122,1.54430379747,493,6.24050632911,615,7.78481012658,374,4.73417721519,61,0.772151898734,62,0.784810126582,180,2.27848101266,234,1182,14.9620253165,
Brad Miller,SAC,2006-2007, 6-11,C,30,63,1783,28.3015873016,224,494,.453,5,33,.152,115,149,.772,79,1.25396825397,322,5.11111111111,401,6.36507936508,224,3.55555555556,38,0.603174603175,39,0.619047619048,108,1.71428571429,155,568,9.01587301587,
Brad Miller,SAC,2007-2008, 6-11,C,31,72,2513,34.9027777778,337,728,.463,28,90,.311,262,309,.848,167,2.31944444444,514,7.13888888889,681,9.45833333333,264,3.66666666667,69,0.958333333333,74,1.02777777778,164,2.27777777778,247,964,13.3888888889,
Brad Miller,TOT,2008-2009, 6-11,C,32,70,2100,30.0,292,614,.476,23,56,.411,224,272,.824,150,2.14285714286,395,5.64285714286,545,7.78571428571,234,3.34285714286,52,0.742857142857,36,0.514285714286,130,1.85714285714,223,831,11.8714285714,
Brad Miller,SAC,2008-2009, 6-11,C,32,43,1354,31.488372093,184,388,.474,20,43,.465,125,156,.801,83,1.93023255814,261,6.06976744186,344,8.0,148,3.44186046512,30,0.697674418605,24,0.558139534884,83,1.93023255814,135,513,11.9302325581,
Brad Miller,CHI,2008-2009, 6-11,C,32,27,746,27.6296296296,108,226,.478,3,13,.231,99,116,.853,67,2.48148148148,134,4.96296296296,201,7.44444444444,86,3.18518518519,22,0.814814814815,12,0.444444444444,47,1.74074074074,88,318,11.7777777778,
Brad Miller,CHI,2009-2010, 6-11,C,33,82,1950,23.7804878049,250,581,.430,37,132,.280,182,220,.827,83,1.01219512195,316,3.85365853659,399,4.86585365854,154,1.87804878049,44,0.536585365854,29,0.353658536585,107,1.30487804878,189,719,8.76829268293,
Brad Miller,HOU,2010-2011, 6-11,C,34,60,1015,16.9166666667,132,296,.446,40,107,.374,78,94,.830,44,0.733333333333,178,2.96666666667,222,3.7,145,2.41666666667,28,0.466666666667,21,0.35,54,0.9,98,382,6.36666666667,
Brad Miller,MIN,2011-2012, 6-11,C,35,15,146,9.73333333333,9,27,.333,7,15,.467,10,12,.833,4,0.266666666667,15,1.0,19,1.26666666667,24,1.6,4,0.266666666667,2,0.133333333333,12,0.8,10,35,2.33333333333,
