Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Brendan Haywood,WAS,2001-2002, 7-0,C,22,62,1266,20.4193548387,109,221,.493,0,0,.000,97,160,.606,143,2.3064516129,179,2.88709677419,322,5.1935483871,29,0.467741935484,21,0.338709677419,91,1.46774193548,50,0.806451612903,158,315,5.08064516129,
Brendan Haywood,WAS,2002-2003, 7-0,C,23,81,1930,23.8271604938,173,339,.510,0,0,.000,155,245,.633,192,2.37037037037,212,2.61728395062,404,4.98765432099,29,0.358024691358,32,0.395061728395,119,1.46913580247,65,0.802469135802,225,501,6.18518518519,
Brendan Haywood,WAS,2003-2004, 7-0,C,24,77,1484,19.2727272727,200,388,.515,0,1,.000,137,234,.585,186,2.41558441558,201,2.61038961039,387,5.02597402597,43,0.558441558442,32,0.415584415584,100,1.2987012987,80,1.03896103896,154,537,6.97402597403,
Brendan Haywood,WAS,2004-2005, 7-0,C,25,68,1865,27.4264705882,239,427,.560,0,0,.000,159,261,.609,202,2.97058823529,262,3.85294117647,464,6.82352941176,57,0.838235294118,52,0.764705882353,114,1.67647058824,96,1.41176470588,218,637,9.36764705882,
Brendan Haywood,WAS,2005-2006, 7-0,C,26,79,1879,23.7848101266,222,432,.514,0,0,.000,131,224,.585,200,2.53164556962,267,3.37974683544,467,5.91139240506,46,0.582278481013,30,0.379746835443,104,1.3164556962,97,1.22784810127,232,575,7.27848101266,
Brendan Haywood,WAS,2006-2007, 7-0,C,27,77,1740,22.5974025974,198,355,.558,0,0,.000,115,210,.548,195,2.53246753247,282,3.66233766234,477,6.19480519481,47,0.61038961039,34,0.441558441558,88,1.14285714286,90,1.16883116883,208,511,6.63636363636,
Brendan Haywood,WAS,2007-2008, 7-0,C,28,80,2228,27.85,316,599,.528,0,0,.000,216,294,.735,273,3.4125,303,3.7875,576,7.2,71,0.8875,31,0.3875,133,1.6625,108,1.35,216,848,10.6,
Brendan Haywood,WAS,2008-2009, 7-0,C,29,6,175,29.1666666667,24,50,.480,0,0,.000,10,21,.476,13,2.16666666667,31,5.16666666667,44,7.33333333333,8,1.33333333333,4,0.666666666667,15,2.5,9,1.5,14,58,9.66666666667,
Brendan Haywood,TOT,2009-2010, 7-0,C,30,77,2355,30.5844155844,276,491,.562,0,1,.000,152,245,.620,278,3.61038961039,437,5.67532467532,715,9.28571428571,43,0.558441558442,26,0.337662337662,158,2.05194805195,99,1.28571428571,209,704,9.14285714286,
Brendan Haywood,WAS,2009-2010, 7-0,C,30,49,1614,32.9387755102,188,335,.561,0,0,.000,102,158,.646,200,4.08163265306,307,6.26530612245,507,10.3469387755,18,0.367346938776,18,0.367346938776,101,2.0612244898,67,1.36734693878,145,478,9.75510204082,
Brendan Haywood,DAL,2009-2010, 7-0,C,30,28,741,26.4642857143,88,156,.564,0,1,.000,50,87,.575,78,2.78571428571,130,4.64285714286,208,7.42857142857,25,0.892857142857,8,0.285714285714,57,2.03571428571,32,1.14285714286,64,226,8.07142857143,
Brendan Haywood,DAL,2010-2011, 7-0,C,31,72,1331,18.4861111111,128,223,.574,0,1,.000,64,177,.362,129,1.79166666667,247,3.43055555556,376,5.22222222222,19,0.263888888889,16,0.222222222222,74,1.02777777778,51,0.708333333333,146,320,4.44444444444,
Brendan Haywood,DAL,2011-2012, 7-0,C,32,54,1146,21.2222222222,118,228,.518,0,0,.000,45,96,.469,139,2.57407407407,185,3.42592592593,324,6.0,19,0.351851851852,24,0.444444444444,54,1.0,46,0.851851851852,121,281,5.2037037037,
Brendan Haywood,CHA,2012-2013, 7-0,C,33,60,1155,19.25,93,216,.431,0,1,.000,30,66,.455,125,2.08333333333,164,2.73333333333,289,4.81666666667,28,0.466666666667,16,0.266666666667,47,0.783333333333,50,0.833333333333,124,216,3.6,
