Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Brent Barry,LAC,1995-1996, 6-6,SG,24,79,1898,24.0253164557,283,597,.474,123,296,.416,111,137,.810,38,0.481012658228,130,1.64556962025,168,2.12658227848,230,2.91139240506,95,1.20253164557,22,0.278481012658,120,1.51898734177,196,800,10.1265822785,
Brent Barry,LAC,1996-1997, 6-6,SG,25,59,1094,18.5423728814,155,379,.409,56,173,.324,76,93,.817,30,0.508474576271,80,1.35593220339,110,1.86440677966,154,2.61016949153,51,0.864406779661,15,0.254237288136,76,1.28813559322,88,442,7.49152542373,
Brent Barry,TOT,1997-1998, 6-6,SG,26,58,1600,27.5862068966,213,506,.421,90,229,.393,115,134,.858,29,0.5,142,2.44827586207,171,2.94827586207,153,2.63793103448,64,1.10344827586,27,0.465517241379,104,1.79310344828,118,631,10.8793103448,
Brent Barry,LAC,1997-1998, 6-6,SG,26,41,1341,32.7073170732,190,444,.428,78,195,.400,103,122,.844,27,0.658536585366,116,2.82926829268,143,3.48780487805,132,3.21951219512,50,1.21951219512,23,0.560975609756,95,2.31707317073,88,561,13.6829268293,
Brent Barry,MIA,1997-1998, 6-6,SG,26,17,259,15.2352941176,23,62,.371,12,34,.353,12,12,1.000,2,0.117647058824,26,1.52941176471,28,1.64705882353,21,1.23529411765,14,0.823529411765,4,0.235294117647,9,0.529411764706,30,70,4.11764705882,
Brent Barry,CHI,1998-1999, 6-6,SG,27,37,1181,31.9189189189,141,356,.396,52,172,.302,78,101,.772,39,1.05405405405,105,2.83783783784,144,3.89189189189,116,3.13513513514,42,1.13513513514,11,0.297297297297,72,1.94594594595,98,412,11.1351351351,
Brent Barry,SEA,1999-2000, 6-6,SG,28,80,2726,34.075,327,707,.463,164,399,.411,127,157,.809,50,0.625,322,4.025,372,4.65,291,3.6375,103,1.2875,31,0.3875,142,1.775,228,945,11.8125,
Brent Barry,SEA,2000-2001, 6-6,SG,29,67,1778,26.5373134328,198,401,.494,109,229,.476,84,103,.816,33,0.492537313433,178,2.65671641791,211,3.14925373134,225,3.35820895522,80,1.19402985075,14,0.208955223881,86,1.28358208955,126,589,8.79104477612,
Brent Barry,SEA,2001-2002, 6-6,SG,30,81,3040,37.5308641975,401,790,.508,164,387,.424,198,234,.846,58,0.716049382716,383,4.72839506173,441,5.44444444444,426,5.25925925926,147,1.81481481481,37,0.456790123457,165,2.03703703704,182,1164,14.3703703704,
Brent Barry,SEA,2002-2003, 6-6,SG,31,75,2480,33.0666666667,264,577,.458,118,293,.403,128,161,.795,48,0.64,253,3.37333333333,301,4.01333333333,384,5.12,113,1.50666666667,15,0.2,142,1.89333333333,199,774,10.32,
Brent Barry,SEA,2003-2004, 6-6,SG,32,59,1803,30.5593220339,215,427,.504,114,252,.452,91,110,.827,21,0.35593220339,183,3.10169491525,204,3.45762711864,342,5.79661016949,85,1.4406779661,16,0.271186440678,139,2.35593220339,121,635,10.7627118644,
Brent Barry,SAS,2004-2005, 6-6,SG,33,81,1742,21.5061728395,194,459,.423,100,280,.357,113,135,.837,29,0.358024691358,161,1.98765432099,190,2.34567901235,178,2.1975308642,39,0.481481481481,20,0.246913580247,64,0.79012345679,123,601,7.41975308642,
Brent Barry,SAS,2005-2006, 6-6,SG,34,74,1259,17.0135135135,156,345,.452,80,202,.396,39,59,.661,29,0.391891891892,130,1.75675675676,159,2.14864864865,123,1.66216216216,39,0.527027027027,27,0.364864864865,52,0.702702702703,99,431,5.82432432432,
Brent Barry,SAS,2006-2007, 6-6,SG,35,75,1631,21.7466666667,202,425,.475,128,287,.446,103,117,.880,17,0.226666666667,143,1.90666666667,160,2.13333333333,138,1.84,56,0.746666666667,12,0.16,61,0.813333333333,88,635,8.46666666667,
Brent Barry,SAS,2007-2008, 6-6,SF,36,31,554,17.8709677419,77,160,.481,48,112,.429,19,20,.950,12,0.387096774194,43,1.38709677419,55,1.77419354839,54,1.74193548387,17,0.548387096774,3,0.0967741935484,18,0.58064516129,43,221,7.12903225806,
Brent Barry,HOU,2008-2009, 6-6,SG,37,56,857,15.3035714286,70,172,.407,49,131,.374,19,20,.950,17,0.303571428571,77,1.375,94,1.67857142857,78,1.39285714286,24,0.428571428571,3,0.0535714285714,48,0.857142857143,45,208,3.71428571429,
