Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Brian Cook,LAL,2003-2004, 6-9,C,23,35,442,12.6285714286,67,141,.475,0,5,.000,21,28,.750,31,0.885714285714,70,2.0,101,2.88571428571,20,0.571428571429,16,0.457142857143,16,0.457142857143,17,0.485714285714,64,155,4.42857142857,
Brian Cook,LAL,2004-2005, 6-9,C,24,72,1087,15.0972222222,176,422,.417,78,199,.392,28,37,.757,63,0.875,153,2.125,216,3.0,35,0.486111111111,23,0.319444444444,26,0.361111111111,29,0.402777777778,139,458,6.36111111111,
Brian Cook,LAL,2005-2006, 6-9,PF,25,81,1535,18.950617284,261,511,.511,36,84,.429,84,101,.832,88,1.08641975309,186,2.2962962963,274,3.38271604938,74,0.913580246914,37,0.456790123457,32,0.395061728395,61,0.753086419753,205,642,7.92592592593,
Brian Cook,LAL,2006-2007, 6-9,PF,26,65,1018,15.6615384615,185,408,.453,46,115,.400,34,47,.723,61,0.938461538462,154,2.36923076923,215,3.30769230769,65,1.0,25,0.384615384615,27,0.415384615385,51,0.784615384615,134,450,6.92307692308,
Brian Cook,TOT,2007-2008, 6-9,PF,27,51,629,12.3333333333,88,234,.376,43,115,.374,19,21,.905,28,0.549019607843,81,1.58823529412,109,2.13725490196,27,0.529411764706,13,0.254901960784,12,0.235294117647,39,0.764705882353,93,238,4.66666666667,
Brian Cook,LAL,2007-2008, 6-9,PF,27,6,70,11.6666666667,4,21,.190,2,10,.200,4,4,1.000,4,0.666666666667,6,1.0,10,1.66666666667,3,0.5,2,0.333333333333,0,0.0,4,0.666666666667,6,14,2.33333333333,
Brian Cook,ORL,2007-2008, 6-9,PF,27,45,559,12.4222222222,84,213,.394,41,105,.390,15,17,.882,24,0.533333333333,75,1.66666666667,99,2.2,24,0.533333333333,11,0.244444444444,12,0.266666666667,35,0.777777777778,87,224,4.97777777778,
Brian Cook,TOT,2008-2009, 6-9,PF,28,30,171,5.7,28,76,.368,13,30,.433,5,6,.833,7,0.233333333333,25,0.833333333333,32,1.06666666667,5,0.166666666667,3,0.1,3,0.1,13,0.433333333333,26,74,2.46666666667,
Brian Cook,ORL,2008-2009, 6-9,PF,28,21,146,6.95238095238,23,60,.383,11,25,.440,5,6,.833,6,0.285714285714,21,1.0,27,1.28571428571,4,0.190476190476,3,0.142857142857,0,0.0,11,0.52380952381,23,62,2.95238095238,
Brian Cook,HOU,2008-2009, 6-9,PF,28,9,25,2.77777777778,5,16,.313,2,5,.400,0,0,.000,1,0.111111111111,4,0.444444444444,5,0.555555555556,1,0.111111111111,0,0.0,3,0.333333333333,2,0.222222222222,3,12,1.33333333333,
Brian Cook,HOU,2009-2010, 6-9,PF,29,15,44,2.93333333333,7,23,.304,2,9,.222,5,7,.714,1,0.0666666666667,8,0.533333333333,9,0.6,1,0.0666666666667,0,0.0,2,0.133333333333,6,0.4,5,21,1.4,
Brian Cook,LAC,2010-2011, 6-9,PF,30,40,447,11.175,72,170,.424,34,79,.430,15,24,.625,19,0.475,77,1.925,96,2.4,15,0.375,12,0.3,11,0.275,25,0.625,75,193,4.825,
Brian Cook,TOT,2011-2012, 6-9,PF,31,32,276,8.625,31,98,.316,10,50,.200,9,10,.900,10,0.3125,53,1.65625,63,1.96875,10,0.3125,6,0.1875,5,0.15625,11,0.34375,48,81,2.53125,
Brian Cook,LAC,2011-2012, 6-9,PF,31,16,121,7.5625,11,49,.224,5,27,.185,4,4,1.000,4,0.25,19,1.1875,23,1.4375,2,0.125,2,0.125,4,0.25,4,0.25,26,31,1.9375,
Brian Cook,WAS,2011-2012, 6-9,PF,31,16,155,9.6875,20,49,.408,5,23,.217,5,6,.833,6,0.375,34,2.125,40,2.5,8,0.5,4,0.25,1,0.0625,7,0.4375,22,50,3.125,
