Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bruce Bowen,MIA,1996-1997, 6-7,SF,25,1,1,1.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0,0.0,
Bruce Bowen,BOS,1997-1998, 6-7,SF,26,61,1305,21.393442623,122,298,.409,20,59,.339,76,122,.623,79,1.29508196721,95,1.55737704918,174,2.85245901639,81,1.32786885246,87,1.4262295082,29,0.475409836066,52,0.852459016393,174,340,5.5737704918,
Bruce Bowen,BOS,1998-1999, 6-7,SF,27,30,494,16.4666666667,26,93,.280,7,26,.269,11,24,.458,15,0.5,37,1.23333333333,52,1.73333333333,28,0.933333333333,21,0.7,9,0.3,13,0.433333333333,51,70,2.33333333333,
Bruce Bowen,TOT,1999-2000, 6-7,SF,28,69,878,12.7246376812,72,194,.371,27,58,.466,25,43,.581,27,0.391304347826,69,1.0,96,1.39130434783,34,0.492753623188,23,0.333333333333,15,0.217391304348,19,0.275362318841,118,196,2.84057971014,
Bruce Bowen,PHI,1999-2000, 6-7,SF,28,42,311,7.40476190476,26,73,.356,1,2,.500,6,12,.500,14,0.333333333333,22,0.52380952381,36,0.857142857143,16,0.380952380952,9,0.214285714286,5,0.119047619048,5,0.119047619048,37,59,1.40476190476,
Bruce Bowen,MIA,1999-2000, 6-7,SF,28,27,567,21.0,46,121,.380,26,56,.464,19,31,.613,13,0.481481481481,47,1.74074074074,60,2.22222222222,18,0.666666666667,14,0.518518518519,10,0.37037037037,14,0.518518518519,81,137,5.07407407407,
Bruce Bowen,MIA,2000-2001, 6-7,SF,29,82,2685,32.743902439,211,581,.363,103,307,.336,98,161,.609,45,0.548780487805,200,2.43902439024,245,2.98780487805,132,1.60975609756,83,1.01219512195,53,0.646341463415,74,0.90243902439,269,623,7.59756097561,
Bruce Bowen,SAS,2001-2002, 6-7,SF,30,59,1699,28.7966101695,155,398,.389,56,148,.378,46,96,.479,42,0.71186440678,120,2.03389830508,162,2.74576271186,88,1.49152542373,62,1.05084745763,25,0.423728813559,66,1.1186440678,116,412,6.98305084746,
Bruce Bowen,SAS,2002-2003, 6-7,SF,31,82,2566,31.2926829268,223,479,.466,101,229,.441,36,89,.404,59,0.719512195122,180,2.19512195122,239,2.91463414634,113,1.37804878049,66,0.80487804878,42,0.512195121951,72,0.878048780488,195,583,7.10975609756,
Bruce Bowen,SAS,2003-2004, 6-7,SF,32,82,2624,32.0,211,502,.420,77,212,.363,66,114,.579,45,0.548780487805,208,2.53658536585,253,3.08536585366,113,1.37804878049,84,1.0243902439,33,0.40243902439,90,1.09756097561,166,565,6.89024390244,
Bruce Bowen,SAS,2004-2005, 6-7,SF,33,82,2627,32.0365853659,251,598,.420,102,253,.403,71,112,.634,50,0.609756097561,235,2.86585365854,285,3.4756097561,126,1.53658536585,55,0.670731707317,39,0.475609756098,57,0.69512195122,175,675,8.23170731707,
Bruce Bowen,SAS,2005-2006, 6-7,SF,34,82,2755,33.5975609756,232,536,.433,104,245,.424,51,84,.607,35,0.426829268293,285,3.4756097561,320,3.90243902439,126,1.53658536585,79,0.963414634146,30,0.365853658537,67,0.817073170732,191,619,7.5487804878,
Bruce Bowen,SAS,2006-2007, 6-7,SF,35,82,2464,30.0487804878,189,467,.405,89,232,.384,43,73,.589,23,0.280487804878,200,2.43902439024,223,2.71951219512,117,1.42682926829,62,0.756097560976,25,0.30487804878,65,0.792682926829,175,510,6.21951219512,
Bruce Bowen,SAS,2007-2008, 6-7,SF,36,81,2448,30.2222222222,174,428,.407,90,215,.419,45,69,.652,33,0.407407407407,201,2.48148148148,234,2.88888888889,91,1.12345679012,54,0.666666666667,22,0.271604938272,46,0.567901234568,177,483,5.96296296296,
Bruce Bowen,SAS,2008-2009, 6-7,SF,37,80,1506,18.825,79,187,.422,42,98,.429,14,26,.538,16,0.2,129,1.6125,145,1.8125,40,0.5,36,0.45,13,0.1625,25,0.3125,123,214,2.675,
