Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Bryon Russell,UTA,1993-1994, 6-7,SF,23,67,1121,16.7313432836,135,279,.484,2,22,.091,62,101,.614,61,0.910447761194,120,1.79104477612,181,2.70149253731,54,0.805970149254,68,1.01492537313,19,0.283582089552,55,0.820895522388,138,334,4.98507462687,
Bryon Russell,UTA,1994-1995, 6-7,SF,24,63,860,13.6507936508,104,238,.437,13,44,.295,62,93,.667,44,0.698412698413,97,1.53968253968,141,2.2380952381,34,0.539682539683,48,0.761904761905,11,0.174603174603,42,0.666666666667,101,283,4.49206349206,
Bryon Russell,UTA,1995-1996, 6-7,SF,25,59,577,9.77966101695,56,142,.394,14,40,.350,48,67,.716,28,0.474576271186,62,1.05084745763,90,1.52542372881,29,0.491525423729,29,0.491525423729,8,0.135593220339,36,0.610169491525,66,174,2.94915254237,
Bryon Russell,UTA,1996-1997, 6-7,SF,26,81,2525,31.1728395062,297,620,.479,108,264,.409,171,244,.701,79,0.975308641975,252,3.11111111111,331,4.08641975309,123,1.51851851852,129,1.59259259259,27,0.333333333333,94,1.16049382716,237,873,10.7777777778,
Bryon Russell,UTA,1997-1998, 6-7,SF,27,82,2219,27.0609756098,226,525,.430,73,214,.341,213,278,.766,78,0.951219512195,248,3.0243902439,326,3.9756097561,101,1.23170731707,90,1.09756097561,31,0.378048780488,81,0.987804878049,229,738,9.0,
Bryon Russell,UTA,1998-1999, 6-7,SF,28,50,1770,35.4,217,468,.464,52,147,.354,136,171,.795,65,1.3,201,4.02,266,5.32,74,1.48,76,1.52,15,0.3,76,1.52,154,622,12.44,
Bryon Russell,UTA,1999-2000, 6-7,SF,29,82,2900,35.3658536585,408,914,.446,106,268,.396,237,316,.750,99,1.20731707317,328,4.0,427,5.20731707317,158,1.92682926829,128,1.56097560976,23,0.280487804878,101,1.23170731707,255,1159,14.1341463415,
Bryon Russell,UTA,2000-2001, 6-7,SF,30,78,2473,31.7051282051,308,700,.440,95,230,.413,222,285,.779,94,1.20512820513,236,3.02564102564,330,4.23076923077,160,2.05128205128,96,1.23076923077,20,0.25641025641,113,1.44871794872,229,933,11.9615384615,
Bryon Russell,UTA,2001-2002, 6-7,SG,31,66,1998,30.2727272727,222,584,.380,77,226,.341,115,140,.821,79,1.19696969697,216,3.27272727273,295,4.4696969697,136,2.06060606061,64,0.969696969697,19,0.287878787879,110,1.66666666667,205,636,9.63636363636,
Bryon Russell,WAS,2002-2003, 6-7,SF,32,70,1388,19.8285714286,108,306,.353,46,140,.329,53,69,.768,43,0.614285714286,165,2.35714285714,208,2.97142857143,72,1.02857142857,70,1.0,7,0.1,55,0.785714285714,130,315,4.5,
Bryon Russell,LAL,2003-2004, 6-7,SF,33,72,945,13.125,98,244,.402,43,112,.384,50,65,.769,32,0.444444444444,114,1.58333333333,146,2.02777777778,71,0.986111111111,32,0.444444444444,12,0.166666666667,37,0.513888888889,110,289,4.01388888889,
Bryon Russell,DEN,2004-2005, 6-7,SF,34,70,1026,14.6571428571,95,252,.377,56,149,.376,61,77,.792,50,0.714285714286,122,1.74285714286,172,2.45714285714,72,1.02857142857,44,0.628571428571,11,0.157142857143,35,0.5,130,307,4.38571428571,
Bryon Russell,DEN,2005-2006, 6-7,SF,35,1,3,3.0,0,0,.000,0,0,.000,0,0,.000,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0,0.0,
