Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Caldwell Jones,SDA,1973-1974, 6-11,C,23,79,2929,37.0759493671,507,1091,.465,2,8,.250,171,230,.743,322,4.07594936709,773,9.78481012658,1095,13.8607594937,144,1.82278481013,64,0.810126582278,316,4.0,155,1.96202531646,319,1187,15.0253164557,
Caldwell Jones,SDA,1974-1975, 6-11,C,24,76,3004,39.5263157895,606,1240,.489,3,11,.273,264,335,.788,311,4.09210526316,763,10.0394736842,1074,14.1315789474,162,2.13157894737,60,0.789473684211,246,3.23684210526,192,2.52631578947,269,1479,19.4605263158,
Caldwell Jones,TOT,1975-1976, 6-11,C,25,76,2674,35.1842105263,423,900,.470,0,7,.000,140,186,.753,246,3.23684210526,607,7.98684210526,853,11.2236842105,147,1.93421052632,81,1.06578947368,218,2.86842105263,166,2.18421052632,321,986,12.9736842105,
Caldwell Jones,SDS,1975-1976, 6-11,C,25,10,407,40.7,69,160,.431,0,0,.000,21,33,.636,42,4.2,94,9.4,136,13.6,22,2.2,13,1.3,37,3.7,23,2.3,42,159,15.9,
Caldwell Jones,KEN,1975-1976, 6-11,C,25,15,457,30.4666666667,80,171,.468,0,0,.000,26,37,.703,59,3.93333333333,99,6.6,158,10.5333333333,13,0.866666666667,17,1.13333333333,16,1.06666666667,36,2.4,73,186,12.4,
Caldwell Jones,SSL,1975-1976, 6-11,C,25,51,1810,35.4901960784,274,569,.482,0,7,.000,93,116,.802,145,2.8431372549,414,8.11764705882,559,10.9607843137,112,2.19607843137,51,1.0,165,3.23529411765,107,2.09803921569,206,641,12.568627451,
Caldwell Jones,PHI,1976-1977, 6-11,C,26,82,2023,24.6707317073,215,424,.507,.000,.000,.000,64,116,.552,190,2.31707317073,476,5.80487804878,666,8.12195121951,92,1.12195121951,43,0.524390243902,200,2.43902439024,.000,0.0,301,494,6.0243902439,
Caldwell Jones,PHI,1977-1978, 6-11,C,27,80,1636,20.45,169,359,.471,.000,.000,.000,96,153,.627,165,2.0625,405,5.0625,570,7.125,92,1.15,26,0.325,127,1.5875,128,1.6,281,434,5.425,
Caldwell Jones,PHI,1978-1979, 6-11,C,28,78,2171,27.8333333333,302,637,.474,.000,.000,.000,121,162,.747,177,2.26923076923,570,7.30769230769,747,9.57692307692,151,1.9358974359,39,0.5,157,2.01282051282,156,2.0,303,725,9.29487179487,
Caldwell Jones,PHI,1979-1980, 6-11,C,29,80,2771,34.6375,232,532,.436,0,2,.000,124,178,.697,219,2.7375,731,9.1375,950,11.875,164,2.05,43,0.5375,162,2.025,218,2.725,298,588,7.35,
Caldwell Jones,PHI,1980-1981, 6-11,C,30,81,2639,32.5802469136,218,485,.449,0,0,.000,148,193,.767,200,2.46913580247,613,7.56790123457,813,10.037037037,122,1.50617283951,53,0.654320987654,134,1.65432098765,168,2.07407407407,271,584,7.20987654321,
Caldwell Jones,PHI,1981-1982, 6-11,C,31,81,2446,30.1975308642,231,465,.497,0,3,.000,179,219,.817,164,2.02469135802,544,6.71604938272,708,8.74074074074,100,1.23456790123,38,0.469135802469,146,1.8024691358,155,1.91358024691,301,641,7.91358024691,
Caldwell Jones,HOU,1982-1983, 6-11,C,32,82,2440,29.756097561,307,677,.453,0,2,.000,162,206,.786,222,2.70731707317,446,5.43902439024,668,8.14634146341,138,1.68292682927,46,0.560975609756,131,1.59756097561,171,2.08536585366,278,776,9.46341463415,
Caldwell Jones,HOU,1983-1984, 6-11,C,33,81,2506,30.9382716049,318,633,.502,1,3,.333,164,196,.837,168,2.07407407407,414,5.11111111111,582,7.18518518519,156,1.92592592593,46,0.567901234568,80,0.987654320988,158,1.95061728395,335,801,9.88888888889,
Caldwell Jones,CHI,1984-1985, 6-11,C,34,42,885,21.0714285714,53,115,.461,0,2,.000,36,47,.766,49,1.16666666667,162,3.85714285714,211,5.02380952381,34,0.809523809524,12,0.285714285714,31,0.738095238095,40,0.952380952381,125,142,3.38095238095,
Caldwell Jones,POR,1985-1986, 6-11,C,35,80,1437,17.9625,126,254,.496,0,7,.000,124,150,.827,105,1.3125,250,3.125,355,4.4375,74,0.925,38,0.475,61,0.7625,102,1.275,244,376,4.7,
Caldwell Jones,POR,1986-1987, 6-11,PF,36,78,1578,20.2307692308,111,224,.496,0,2,.000,97,124,.782,114,1.46153846154,341,4.37179487179,455,5.83333333333,64,0.820512820513,23,0.294871794872,77,0.987179487179,87,1.11538461538,227,319,4.08974358974,
Caldwell Jones,POR,1987-1988, 6-11,C,37,79,1778,22.5063291139,128,263,.487,0,4,.000,78,106,.736,105,1.32911392405,303,3.83544303797,408,5.16455696203,81,1.0253164557,29,0.367088607595,99,1.25316455696,82,1.03797468354,251,334,4.22784810127,
Caldwell Jones,POR,1988-1989, 6-11,PF,38,72,1279,17.7638888889,77,183,.421,0,1,.000,48,61,.787,88,1.22222222222,212,2.94444444444,300,4.16666666667,59,0.819444444444,24,0.333333333333,85,1.18055555556,83,1.15277777778,166,202,2.80555555556,
Caldwell Jones,SAS,1989-1990, 6-11,PF,39,72,885,12.2916666667,67,144,.465,1,5,.200,38,54,.704,76,1.05555555556,154,2.13888888889,230,3.19444444444,20,0.277777777778,20,0.277777777778,27,0.375,48,0.666666666667,146,173,2.40277777778,
