Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Calvin Booth,WAS,1999-2000, 6-11,C,23,11,143,13.0,16,46,.348,0,0,.000,10,14,.714,15,1.36363636364,17,1.54545454545,32,2.90909090909,7,0.636363636364,3,0.272727272727,14,1.27272727273,6,0.545454545455,23,42,3.81818181818,
Calvin Booth,TOT,2000-2001, 6-11,C,24,55,933,16.9636363636,120,252,.476,0,0,.000,53,78,.679,77,1.4,169,3.07272727273,246,4.47272727273,42,0.763636363636,29,0.527272727273,111,2.01818181818,53,0.963636363636,146,293,5.32727272727,
Calvin Booth,WAS,2000-2001, 6-11,C,24,40,640,16.0,74,168,.440,0,0,.000,33,45,.733,53,1.325,121,3.025,174,4.35,23,0.575,17,0.425,81,2.025,36,0.9,91,181,4.525,
Calvin Booth,DAL,2000-2001, 6-11,C,24,15,293,19.5333333333,46,84,.548,0,0,.000,20,33,.606,24,1.6,48,3.2,72,4.8,19,1.26666666667,12,0.8,30,2.0,17,1.13333333333,55,112,7.46666666667,
Calvin Booth,SEA,2001-2002, 6-11,C,25,15,279,18.6,35,82,.427,0,0,.000,23,24,.958,20,1.33333333333,34,2.26666666667,54,3.6,16,1.06666666667,6,0.4,13,0.866666666667,16,1.06666666667,47,93,6.2,
Calvin Booth,SEA,2002-2003, 6-11,C,26,47,575,12.2340425532,52,119,.437,0,2,.000,34,47,.723,32,0.68085106383,77,1.63829787234,109,2.31914893617,12,0.255319148936,11,0.234042553191,33,0.702127659574,22,0.468085106383,74,138,2.93617021277,
Calvin Booth,SEA,2003-2004, 6-11,C,27,71,1206,16.985915493,135,290,.466,0,2,.000,75,94,.798,86,1.21126760563,194,2.7323943662,280,3.94366197183,28,0.394366197183,17,0.239436619718,101,1.42253521127,45,0.633802816901,150,345,4.85915492958,
Calvin Booth,TOT,2004-2005, 6-11,C,28,51,451,8.8431372549,49,108,.454,0,1,.000,26,32,.813,29,0.56862745098,78,1.52941176471,107,2.09803921569,8,0.156862745098,15,0.294117647059,28,0.549019607843,16,0.313725490196,78,124,2.43137254902,
Calvin Booth,DAL,2004-2005, 6-11,C,28,34,262,7.70588235294,34,79,.430,0,1,.000,14,16,.875,16,0.470588235294,42,1.23529411765,58,1.70588235294,4,0.117647058824,11,0.323529411765,16,0.470588235294,8,0.235294117647,55,82,2.41176470588,
Calvin Booth,MIL,2004-2005, 6-11,C,28,17,189,11.1176470588,15,29,.517,0,0,.000,12,16,.750,13,0.764705882353,36,2.11764705882,49,2.88235294118,4,0.235294117647,4,0.235294117647,12,0.705882352941,8,0.470588235294,23,42,2.47058823529,
Calvin Booth,WAS,2005-2006, 6-11,C,29,33,250,7.57575757576,20,47,.426,1,2,.500,5,9,.556,19,0.575757575758,33,1.0,52,1.57575757576,12,0.363636363636,9,0.272727272727,9,0.272727272727,8,0.242424242424,44,46,1.39393939394,
Calvin Booth,WAS,2006-2007, 6-11,C,30,44,380,8.63636363636,31,66,.470,1,2,.500,6,10,.600,27,0.613636363636,54,1.22727272727,81,1.84090909091,18,0.409090909091,4,0.0909090909091,29,0.659090909091,9,0.204545454545,71,69,1.56818181818,
Calvin Booth,PHI,2007-2008, 6-11,C,31,31,204,6.58064516129,9,27,.333,0,0,.000,6,10,.600,6,0.193548387097,32,1.03225806452,38,1.22580645161,8,0.258064516129,6,0.193548387097,18,0.58064516129,4,0.129032258065,35,24,0.774193548387,
Calvin Booth,TOT,2008-2009, 6-11,C,32,8,56,7.0,5,10,.500,0,0,.000,6,8,.750,5,0.625,6,0.75,11,1.375,0,0.0,1,0.125,2,0.25,1,0.125,10,16,2.0,
Calvin Booth,MIN,2008-2009, 6-11,C,32,1,1,1.0,0,0,.000,0,0,.000,0,0,.000,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,
Calvin Booth,SAC,2008-2009, 6-11,C,32,7,55,7.85714285714,5,10,.500,0,0,.000,6,8,.750,4,0.571428571429,6,0.857142857143,10,1.42857142857,0,0.0,1,0.142857142857,2,0.285714285714,1,0.142857142857,10,16,2.28571428571,
