Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Carlos Arroyo,TOT,2001-2002, 6-2,PG,22,37,371,10.027027027,49,111,.441,0,2,.000,13,18,.722,12,0.324324324324,28,0.756756756757,40,1.08108108108,70,1.89189189189,11,0.297297297297,1,0.027027027027,23,0.621621621622,30,111,3.0,
Carlos Arroyo,TOR,2001-2002, 6-2,PG,22,17,96,5.64705882353,13,29,.448,0,0,.000,4,6,.667,3,0.176470588235,9,0.529411764706,12,0.705882352941,21,1.23529411765,6,0.352941176471,0,0.0,12,0.705882352941,12,30,1.76470588235,
Carlos Arroyo,DEN,2001-2002, 6-2,PG,22,20,275,13.75,36,82,.439,0,2,.000,9,12,.750,9,0.45,19,0.95,28,1.4,49,2.45,5,0.25,1,0.05,11,0.55,18,81,4.05,
Carlos Arroyo,UTA,2002-2003, 6-2,PG,23,44,287,6.52272727273,50,109,.459,3,7,.429,18,22,.818,11,0.25,15,0.340909090909,26,0.590909090909,53,1.20454545455,12,0.272727272727,1,0.0227272727273,30,0.681818181818,28,121,2.75,
Carlos Arroyo,UTA,2003-2004, 6-2,PG,24,71,2008,28.2816901408,339,768,.441,38,117,.325,181,225,.804,41,0.577464788732,144,2.02816901408,185,2.60563380282,355,5.0,63,0.887323943662,5,0.0704225352113,156,2.19718309859,165,897,12.6338028169,
Carlos Arroyo,TOT,2004-2005, 6-2,PG,25,70,1448,20.6857142857,167,429,.389,8,30,.267,119,149,.799,26,0.371428571429,78,1.11428571429,104,1.48571428571,280,4.0,44,0.628571428571,4,0.0571428571429,107,1.52857142857,143,461,6.58571428571,
Carlos Arroyo,UTA,2004-2005, 6-2,PG,25,30,742,24.7333333333,93,232,.401,7,18,.389,53,63,.841,11,0.366666666667,35,1.16666666667,46,1.53333333333,152,5.06666666667,20,0.666666666667,3,0.1,55,1.83333333333,67,246,8.2,
Carlos Arroyo,DET,2004-2005, 6-2,PG,25,40,706,17.65,74,197,.376,1,12,.083,66,86,.767,15,0.375,43,1.075,58,1.45,128,3.2,24,0.6,1,0.025,52,1.3,76,215,5.375,
Carlos Arroyo,TOT,2005-2006, 6-2,PG,26,77,1194,15.5064935065,168,378,.444,7,20,.350,106,137,.774,33,0.428571428571,97,1.25974025974,130,1.68831168831,232,3.01298701299,38,0.493506493506,4,0.0519480519481,83,1.07792207792,119,449,5.83116883117,
Carlos Arroyo,DET,2005-2006, 6-2,PG,26,50,600,12.0,57,157,.363,2,6,.333,42,58,.724,24,0.48,46,0.92,70,1.4,155,3.1,19,0.38,3,0.06,45,0.9,77,158,3.16,
Carlos Arroyo,ORL,2005-2006, 6-2,SG,26,27,594,22.0,111,221,.502,5,14,.357,64,79,.810,9,0.333333333333,51,1.88888888889,60,2.22222222222,77,2.85185185185,19,0.703703703704,1,0.037037037037,38,1.40740740741,42,291,10.7777777778,
Carlos Arroyo,ORL,2006-2007, 6-2,PG,27,72,1304,18.1111111111,203,478,.425,14,51,.275,132,166,.795,31,0.430555555556,103,1.43055555556,134,1.86111111111,202,2.80555555556,39,0.541666666667,2,0.0277777777778,90,1.25,131,552,7.66666666667,
Carlos Arroyo,ORL,2007-2008, 6-2,PG,28,62,1269,20.4677419355,157,348,.451,29,84,.345,87,102,.853,10,0.161290322581,103,1.66129032258,113,1.82258064516,219,3.53225806452,26,0.41935483871,2,0.0322580645161,77,1.24193548387,85,430,6.93548387097,
Carlos Arroyo,MIA,2009-2010, 6-2,PG,30,72,1585,22.0138888889,178,375,.475,7,25,.280,76,90,.844,26,0.361111111111,104,1.44444444444,130,1.80555555556,225,3.125,36,0.5,6,0.0833333333333,54,0.75,102,439,6.09722222222,
Carlos Arroyo,TOT,2010-2011, 6-2,PG,31,64,1185,18.515625,120,273,.440,31,69,.449,39,47,.830,20,0.3125,83,1.296875,103,1.609375,125,1.953125,21,0.328125,1,0.015625,60,0.9375,71,310,4.84375,
Carlos Arroyo,MIA,2010-2011, 6-2,PG,31,49,995,20.306122449,109,238,.458,28,64,.438,28,35,.800,13,0.265306122449,67,1.36734693878,80,1.63265306122,100,2.04081632653,14,0.285714285714,1,0.0204081632653,43,0.877551020408,60,274,5.59183673469,
Carlos Arroyo,BOS,2010-2011, 6-2,PG,31,15,190,12.6666666667,11,35,.314,3,5,.600,11,12,.917,7,0.466666666667,16,1.06666666667,23,1.53333333333,25,1.66666666667,7,0.466666666667,0,0.0,17,1.13333333333,11,36,2.4,
