Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Charles Barkley,PHI,1984-1985, 6-6,PF,21,82,2347,28.6219512195,427,783,.545,1,6,.167,293,400,.733,266,3.24390243902,437,5.32926829268,703,8.57317073171,155,1.89024390244,95,1.15853658537,80,0.975609756098,209,2.5487804878,301,1148,14.0,
Charles Barkley,PHI,1985-1986, 6-6,PF,22,80,2952,36.9,595,1041,.572,17,75,.227,396,578,.685,354,4.425,672,8.4,1026,12.825,312,3.9,173,2.1625,125,1.5625,350,4.375,333,1603,20.0375,
Charles Barkley,PHI,1986-1987, 6-6,PF,23,68,2740,40.2941176471,557,937,.594,21,104,.202,429,564,.761,390,5.73529411765,604,8.88235294118,994,14.6176470588,331,4.86764705882,119,1.75,104,1.52941176471,322,4.73529411765,252,1564,23.0,
Charles Barkley,PHI,1987-1988, 6-6,PF,24,80,3170,39.625,753,1283,.587,44,157,.280,714,951,.751,385,4.8125,566,7.075,951,11.8875,254,3.175,100,1.25,103,1.2875,304,3.8,278,2264,28.3,
Charles Barkley,PHI,1988-1989, 6-6,PF,25,79,3088,39.0886075949,700,1208,.579,35,162,.216,602,799,.753,403,5.10126582278,583,7.37974683544,986,12.4810126582,325,4.11392405063,126,1.59493670886,67,0.848101265823,254,3.21518987342,262,2037,25.7848101266,
Charles Barkley,PHI,1989-1990, 6-6,PF,26,79,3085,39.0506329114,706,1177,.600,20,92,.217,557,744,.749,361,4.56962025316,548,6.93670886076,909,11.5063291139,307,3.88607594937,148,1.87341772152,50,0.632911392405,243,3.07594936709,250,1989,25.1772151899,
Charles Barkley,PHI,1990-1991, 6-6,PF,27,67,2498,37.2835820896,665,1167,.570,44,155,.284,475,658,.722,258,3.85074626866,422,6.29850746269,680,10.1492537313,284,4.23880597015,110,1.64179104478,33,0.492537313433,210,3.13432835821,173,1849,27.5970149254,
Charles Barkley,PHI,1991-1992, 6-6,PF,28,75,2881,38.4133333333,622,1126,.552,32,137,.234,454,653,.695,271,3.61333333333,559,7.45333333333,830,11.0666666667,308,4.10666666667,136,1.81333333333,44,0.586666666667,235,3.13333333333,196,1730,23.0666666667,
Charles Barkley,PHO,1992-1993, 6-6,PF,29,76,2859,37.6184210526,716,1376,.520,67,220,.305,445,582,.765,237,3.11842105263,691,9.09210526316,928,12.2105263158,385,5.06578947368,119,1.56578947368,74,0.973684210526,233,3.06578947368,197,1944,25.5789473684,
Charles Barkley,PHO,1993-1994, 6-6,PF,30,65,2298,35.3538461538,518,1046,.495,48,178,.270,318,452,.704,198,3.04615384615,529,8.13846153846,727,11.1846153846,296,4.55384615385,101,1.55384615385,37,0.569230769231,206,3.16923076923,160,1402,21.5692307692,
Charles Barkley,PHO,1994-1995, 6-6,PF,31,68,2382,35.0294117647,554,1141,.486,74,219,.338,379,507,.748,203,2.98529411765,553,8.13235294118,756,11.1176470588,276,4.05882352941,110,1.61764705882,45,0.661764705882,150,2.20588235294,201,1561,22.9558823529,
Charles Barkley,PHO,1995-1996, 6-6,PF,32,71,2632,37.0704225352,580,1160,.500,49,175,.280,440,566,.777,243,3.42253521127,578,8.14084507042,821,11.5633802817,262,3.69014084507,114,1.60563380282,56,0.788732394366,218,3.07042253521,208,1649,23.2253521127,
Charles Barkley,HOU,1996-1997, 6-6,PF,33,53,2009,37.9056603774,335,692,.484,58,205,.283,288,415,.694,212,4.0,504,9.50943396226,716,13.5094339623,248,4.67924528302,69,1.30188679245,25,0.471698113208,151,2.84905660377,153,1016,19.1698113208,
Charles Barkley,HOU,1997-1998, 6-6,PF,34,68,2243,32.9852941176,361,744,.485,18,84,.214,296,397,.746,241,3.54411764706,553,8.13235294118,794,11.6764705882,217,3.19117647059,71,1.04411764706,28,0.411764705882,147,2.16176470588,187,1036,15.2352941176,
Charles Barkley,HOU,1998-1999, 6-6,PF,35,42,1526,36.3333333333,240,502,.478,4,25,.160,192,267,.719,167,3.97619047619,349,8.30952380952,516,12.2857142857,192,4.57142857143,43,1.02380952381,13,0.309523809524,100,2.38095238095,89,676,16.0952380952,
Charles Barkley,HOU,1999-2000, 6-6,PF,36,20,620,31.0,106,222,.477,6,26,.231,71,110,.645,71,3.55,138,6.9,209,10.45,63,3.15,14,0.7,4,0.2,44,2.2,48,289,14.45,
