Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Charlie Scott,VIR,1970-1971, 6-5,SG,22,84,3185,37.9166666667,902,1947,.463,16,65,.246,456,611,.746,150,1.78571428571,288,3.42857142857,438,5.21428571429,472,5.61904761905,.000,0.0,.000,0.0,319,3.79761904762,298,2276,27.0952380952,
Charlie Scott,TOT,1971-1972, 6-5,
   <td align="right" >79,23,79,3238,40.9873417722,1033,2305,.448,29,110,.264,542,675,.803,174,2.20253164557,223,2.82278481013,397,5.0253164557,373,4.72151898734,.000,0.0,.000,0.0,340,4.30379746835,280,2637,33.3797468354,
Charlie Scott,VIR,1971-1972, 6-5,SG,23,73,3061,41.9315068493,985,2192,.449,29,110,.264,525,654,.803,174,2.38356164384,200,2.7397260274,374,5.12328767123,347,4.75342465753,.000,0.0,.000,0.0,340,4.65753424658,261,2524,34.5753424658,
Charlie Scott,PHO,1971-1972, 6-5,PG,23,6,177,29.5,48,113,.425,.000,.000,.000,17,21,.810,.000,0.0,.000,0.0,23,3.83333333333,26,4.33333333333,.000,0.0,.000,0.0,.000,0.0,19,113,18.8333333333,
Charlie Scott,PHO,1972-1973, 6-5,PG,24,81,3062,37.8024691358,806,1809,.446,.000,.000,.000,436,556,.784,.000,0.0,.000,0.0,342,4.22222222222,495,6.11111111111,.000,0.0,.000,0.0,.000,0.0,306,2048,25.2839506173,
Charlie Scott,PHO,1973-1974, 6-5,PG,25,52,2003,38.5192307692,538,1171,.459,.000,.000,.000,246,315,.781,64,1.23076923077,158,3.03846153846,222,4.26923076923,271,5.21153846154,99,1.90384615385,22,0.423076923077,.000,0.0,194,1322,25.4230769231,
Charlie Scott,PHO,1974-1975, 6-5,PG,26,69,2592,37.5652173913,703,1594,.441,.000,.000,.000,274,351,.781,72,1.04347826087,201,2.91304347826,273,3.95652173913,311,4.50724637681,111,1.60869565217,24,0.347826086957,.000,0.0,296,1680,24.347826087,
Charlie Scott,BOS,1975-1976, 6-5,SG,27,82,2913,35.5243902439,588,1309,.449,.000,.000,.000,267,335,.797,106,1.29268292683,252,3.07317073171,358,4.36585365854,341,4.15853658537,103,1.25609756098,24,0.292682926829,.000,0.0,356,1443,17.5975609756,
Charlie Scott,BOS,1976-1977, 6-5,SG,28,43,1581,36.7674418605,326,734,.444,.000,.000,.000,129,173,.746,52,1.20930232558,139,3.23255813953,191,4.44186046512,196,4.55813953488,60,1.39534883721,12,0.279069767442,.000,0.0,155,781,18.1627906977,
Charlie Scott,TOT,1977-1978, 6-5,SG,29,79,2473,31.3037974684,435,994,.438,.000,.000,.000,194,260,.746,62,0.784810126582,187,2.36708860759,249,3.15189873418,378,4.78481012658,110,1.39240506329,17,0.215189873418,238,3.01265822785,252,1064,13.4683544304,
Charlie Scott,BOS,1977-1978, 6-5,SG,29,31,1080,34.8387096774,210,485,.433,.000,.000,.000,84,118,.712,24,0.774193548387,77,2.48387096774,101,3.25806451613,143,4.61290322581,51,1.64516129032,6,0.193548387097,105,3.38709677419,97,504,16.2580645161,
Charlie Scott,LAL,1977-1978, 6-5,SG,29,48,1393,29.0208333333,225,509,.442,.000,.000,.000,110,142,.775,38,0.791666666667,110,2.29166666667,148,3.08333333333,235,4.89583333333,59,1.22916666667,11,0.229166666667,133,2.77083333333,155,560,11.6666666667,
Charlie Scott,DEN,1978-1979, 6-5,PG,30,79,2617,33.1265822785,393,854,.460,.000,.000,.000,161,215,.749,54,0.683544303797,156,1.9746835443,210,2.6582278481,428,5.41772151899,78,0.987341772152,30,0.379746835443,255,3.22784810127,284,947,11.9873417722,
Charlie Scott,DEN,1979-1980, 6-5,SG,31,69,1860,26.9565217391,276,688,.401,2,11,.182,85,118,.720,51,0.739130434783,115,1.66666666667,166,2.40579710145,250,3.6231884058,47,0.68115942029,23,0.333333333333,163,2.36231884058,197,639,9.26086956522,
