Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chauncey Billups,TOT,1997-1998, 6-3,PG,21,80,2216,27.7,280,749,.374,107,325,.329,226,266,.850,62,0.775,128,1.6,190,2.375,314,3.925,107,1.3375,4,0.05,174,2.175,172,893,11.1625,
Chauncey Billups,BOS,1997-1998, 6-3,PG,21,51,1296,25.4117647059,177,454,.390,64,189,.339,147,180,.817,40,0.78431372549,73,1.43137254902,113,2.21568627451,217,4.25490196078,77,1.50980392157,2,0.0392156862745,118,2.3137254902,118,565,11.0784313725,
Chauncey Billups,TOR,1997-1998, 6-3,PG,21,29,920,31.724137931,103,295,.349,43,136,.316,79,86,.919,22,0.758620689655,55,1.89655172414,77,2.65517241379,97,3.34482758621,30,1.03448275862,2,0.0689655172414,56,1.93103448276,54,328,11.3103448276,
Chauncey Billups,DEN,1998-1999, 6-3,SG,22,45,1488,33.0666666667,191,495,.386,85,235,.362,157,172,.913,24,0.533333333333,72,1.6,96,2.13333333333,173,3.84444444444,58,1.28888888889,14,0.311111111111,98,2.17777777778,115,624,13.8666666667,
Chauncey Billups,DEN,1999-2000, 6-3,SG,23,13,305,23.4615384615,34,101,.337,7,41,.171,37,44,.841,8,0.615384615385,26,2.0,34,2.61538461538,39,3.0,10,0.769230769231,2,0.153846153846,24,1.84615384615,27,112,8.61538461538,
Chauncey Billups,MIN,2000-2001, 6-3,SG,24,77,1790,23.2467532468,248,587,.422,73,194,.376,144,171,.842,32,0.415584415584,126,1.63636363636,158,2.05194805195,260,3.37662337662,51,0.662337662338,11,0.142857142857,111,1.44155844156,178,713,9.25974025974,
Chauncey Billups,MIN,2001-2002, 6-3,PG,25,82,2355,28.7195121951,348,823,.423,124,315,.394,207,234,.885,35,0.426829268293,191,2.32926829268,226,2.75609756098,450,5.48780487805,66,0.80487804878,17,0.207317073171,138,1.68292682927,169,1027,12.5243902439,
Chauncey Billups,DET,2002-2003, 6-3,PG,26,74,2327,31.4459459459,366,870,.421,149,380,.392,318,362,.878,38,0.513513513514,235,3.17567567568,273,3.68918918919,287,3.87837837838,63,0.851351351351,15,0.202702702703,134,1.81081081081,136,1199,16.2027027027,
Chauncey Billups,DET,2003-2004, 6-3,PG,27,78,2758,35.358974359,392,996,.394,130,335,.388,404,460,.878,35,0.448717948718,241,3.08974358974,276,3.53846153846,446,5.71794871795,84,1.07692307692,8,0.102564102564,189,2.42307692308,177,1318,16.8974358974,
Chauncey Billups,DET,2004-2005, 6-3,PG,28,80,2866,35.825,404,913,.442,165,387,.426,343,382,.898,48,0.6,223,2.7875,271,3.3875,464,5.8,81,1.0125,9,0.1125,180,2.25,194,1316,16.45,
Chauncey Billups,DET,2005-2006, 6-3,PG,29,81,2925,36.1111111111,423,1012,.418,184,425,.433,465,520,.894,41,0.506172839506,211,2.6049382716,252,3.11111111111,699,8.62962962963,71,0.876543209877,8,0.0987654320988,170,2.0987654321,160,1495,18.4567901235,
