Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chico Vaughn,STL,1962-1963, 6-2,SG,22,77,1845,23.961038961,295,708,.417,.000,.000,.000,188,261,.720,.000,0.0,.000,0.0,258,3.35064935065,252,3.27272727273,.000,0.0,.000,0.0,.000,0.0,201,778,10.1038961039,
Chico Vaughn,STL,1963-1964, 6-2,SG,23,68,1340,19.7058823529,238,538,.442,.000,.000,.000,107,148,.723,.000,0.0,.000,0.0,126,1.85294117647,129,1.89705882353,.000,0.0,.000,0.0,.000,0.0,166,583,8.57352941176,
Chico Vaughn,STL,1964-1965, 6-2,SG,24,75,1965,26.2,344,811,.424,.000,.000,.000,182,242,.752,.000,0.0,.000,0.0,173,2.30666666667,157,2.09333333333,.000,0.0,.000,0.0,.000,0.0,192,870,11.6,
Chico Vaughn,TOT,1965-1966, 6-2,PG,25,56,1219,21.7678571429,182,474,.384,.000,.000,.000,106,144,.736,.000,0.0,.000,0.0,109,1.94642857143,140,2.5,.000,0.0,.000,0.0,.000,0.0,99,470,8.39285714286,
Chico Vaughn,STL,1965-1966, 6-2,PG,25,19,445,23.4210526316,72,192,.375,.000,.000,.000,46,62,.742,.000,0.0,.000,0.0,46,2.42105263158,36,1.89473684211,.000,0.0,.000,0.0,.000,0.0,39,190,10.0,
Chico Vaughn,DET,1965-1966, 6-2,PG,25,37,774,20.9189189189,110,282,.390,.000,.000,.000,60,82,.732,.000,0.0,.000,0.0,63,1.7027027027,104,2.81081081081,.000,0.0,.000,0.0,.000,0.0,60,280,7.56756756757,
Chico Vaughn,DET,1966-1967, 6-2,SG,26,51,680,13.3333333333,85,226,.376,.000,.000,.000,50,74,.676,.000,0.0,.000,0.0,67,1.3137254902,75,1.47058823529,.000,0.0,.000,0.0,.000,0.0,54,220,4.3137254902,
Chico Vaughn,PTP,1967-1968, 6-2,SG,27,74,2858,38.6216216216,512,1350,.379,137,410,.334,308,416,.740,.000,0.0,.000,0.0,298,4.02702702703,142,1.91891891892,.000,0.0,.000,0.0,171,2.31081081081,203,1469,19.8513513514,
Chico Vaughn,MNP,1968-1969, 6-2,SG,28,69,2301,33.347826087,415,1170,.355,145,523,.277,253,329,.769,44,0.63768115942,121,1.75362318841,165,2.39130434783,107,1.55072463768,.000,0.0,.000,0.0,150,2.17391304348,178,1228,17.7971014493,
Chico Vaughn,PTP,1969-1970, 6-2,SG,29,21,401,19.0952380952,66,180,.367,24,82,.293,48,70,.686,17,0.809523809524,11,0.52380952381,28,1.33333333333,22,1.04761904762,.000,0.0,.000,0.0,23,1.09523809524,53,204,9.71428571429,
