Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chris Andersen,DEN,2001-2002, 6-10,C,23,24,262,10.9166666667,25,74,.338,0,4,.000,22,28,.786,38,1.58333333333,38,1.58333333333,76,3.16666666667,7,0.291666666667,7,0.291666666667,28,1.16666666667,13,0.541666666667,35,72,3.0,
Chris Andersen,DEN,2002-2003, 6-10,C,24,59,907,15.3728813559,114,285,.400,0,1,.000,77,140,.550,109,1.84745762712,165,2.79661016949,274,4.64406779661,32,0.542372881356,30,0.508474576271,60,1.01694915254,60,1.01694915254,90,305,5.16949152542,
Chris Andersen,DEN,2003-2004, 6-10,PF,25,71,1029,14.4929577465,90,203,.443,0,1,.000,63,107,.589,89,1.25352112676,209,2.94366197183,298,4.19718309859,35,0.492957746479,34,0.478873239437,114,1.60563380282,48,0.676056338028,119,243,3.42253521127,
Chris Andersen,NOH,2004-2005, 6-10,C,26,67,1430,21.3432835821,191,358,.534,0,3,.000,131,190,.689,137,2.0447761194,273,4.07462686567,410,6.11940298507,71,1.05970149254,14,0.208955223881,100,1.49253731343,64,0.955223880597,144,513,7.65671641791,
Chris Andersen,NOK,2005-2006, 6-10,C,27,32,570,17.8125,56,98,.571,0,0,.000,49,103,.476,61,1.90625,94,2.9375,155,4.84375,6,0.1875,8,0.25,41,1.28125,26,0.8125,84,161,5.03125,
Chris Andersen,NOH,2007-2008, 6-10,C,29,5,34,6.8,2,7,.286,0,0,.000,2,4,.500,2,0.4,7,1.4,9,1.8,0,0.0,0,0.0,4,0.8,1,0.2,6,6,1.2,
Chris Andersen,DEN,2008-2009, 6-10,C,30,71,1460,20.5633802817,160,292,.548,2,10,.200,130,181,.718,163,2.29577464789,279,3.92957746479,442,6.22535211268,31,0.43661971831,41,0.577464788732,175,2.46478873239,69,0.971830985915,174,452,6.3661971831,
Chris Andersen,DEN,2009-2010, 6-10,PF,31,76,1695,22.3026315789,142,251,.566,0,3,.000,164,236,.695,147,1.93421052632,336,4.42105263158,483,6.35526315789,33,0.434210526316,42,0.552631578947,143,1.88157894737,59,0.776315789474,171,448,5.89473684211,
Chris Andersen,DEN,2010-2011, 6-10,C,32,45,732,16.2666666667,82,137,.599,0,1,.000,86,135,.637,75,1.66666666667,144,3.2,219,4.86666666667,20,0.444444444444,23,0.511111111111,58,1.28888888889,25,0.555555555556,79,250,5.55555555556,
Chris Andersen,DEN,2011-2012, 6-10,C,33,32,486,15.1875,59,108,.546,0,0,.000,50,82,.610,48,1.5,100,3.125,148,4.625,6,0.1875,19,0.59375,46,1.4375,17,0.53125,52,168,5.25,
Chris Andersen,MIA,2012-2013, 6-10,,34,23,298,12.9565217391,30,59,.508,0,1,.000,24,34,.706,26,1.13043478261,53,2.30434782609,79,3.4347826087,7,0.304347826087,10,0.434782608696,19,0.826086956522,10,0.434782608696,49,84,3.65217391304,
