Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chris Engler,GSW,1982-1983, 6-11,C,23,54,369,6.83333333333,38,94,.404,0,0,.000,5,16,.313,43,0.796296296296,61,1.12962962963,104,1.92592592593,11,0.203703703704,7,0.12962962963,17,0.314814814815,24,0.444444444444,95,81,1.5,
Chris Engler,GSW,1983-1984, 6-11,C,24,46,360,7.82608695652,33,83,.398,0,0,.000,14,23,.609,27,0.586956521739,70,1.52173913043,97,2.10869565217,11,0.239130434783,9,0.195652173913,3,0.0652173913043,24,0.521739130435,68,80,1.73913043478,
Chris Engler,TOT,1984-1985, 6-11,C,25,11,82,7.45454545455,8,20,.400,0,0,.000,5,9,.556,12,1.09090909091,18,1.63636363636,30,2.72727272727,0,0.0,2,0.181818181818,5,0.454545454545,2,0.181818181818,5,21,1.90909090909,
Chris Engler,NJN,1984-1985, 6-11,C,25,7,76,10.8571428571,7,16,.438,0,0,.000,5,9,.556,10,1.42857142857,17,2.42857142857,27,3.85714285714,0,0.0,2,0.285714285714,4,0.571428571429,1,0.142857142857,4,19,2.71428571429,
Chris Engler,CHI,1984-1985, 6-11,C,25,3,3,1.0,1,2,.500,0,0,.000,0,0,.000,1,0.333333333333,1,0.333333333333,2,0.666666666667,0,0.0,0,0.0,0,0.0,1,0.333333333333,1,2,0.666666666667,
Chris Engler,MIL,1984-1985, 6-11,C,25,1,3,3.0,0,2,.000,0,0,.000,0,0,.000,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0,0.0,
Chris Engler,TOT,1986-1987, 6-11,C,27,30,195,6.5,23,51,.451,0,0,.000,12,16,.750,23,0.766666666667,34,1.13333333333,57,1.9,8,0.266666666667,5,0.166666666667,11,0.366666666667,12,0.4,33,58,1.93333333333,
Chris Engler,POR,1986-1987, 6-11,C,27,7,17,2.42857142857,4,8,.500,0,0,.000,3,3,1.000,6,0.857142857143,2,0.285714285714,8,1.14285714286,1,0.142857142857,1,0.142857142857,1,0.142857142857,2,0.285714285714,0,11,1.57142857143,
Chris Engler,MIL,1986-1987, 6-11,C,27,5,48,9.6,3,12,.250,0,0,.000,1,1,1.000,3,0.6,13,2.6,16,3.2,3,0.6,1,0.2,1,0.2,0,0.0,10,7,1.4,
Chris Engler,NJN,1986-1987, 6-11,C,27,18,130,7.22222222222,16,31,.516,0,0,.000,8,12,.667,14,0.777777777778,19,1.05555555556,33,1.83333333333,4,0.222222222222,3,0.166666666667,9,0.5,10,0.555555555556,23,40,2.22222222222,
Chris Engler,NJN,1987-1988, 6-11,C,28,54,399,7.38888888889,36,88,.409,0,0,.000,31,35,.886,32,0.592592592593,66,1.22222222222,98,1.81481481481,15,0.277777777778,9,0.166666666667,6,0.111111111111,29,0.537037037037,73,103,1.90740740741,
