Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chris Kaman,LAC,2003-2004, 7-0,C,21,82,1843,22.4756097561,200,435,.460,0,2,.000,99,142,.697,126,1.53658536585,335,4.08536585366,461,5.62195121951,85,1.03658536585,23,0.280487804878,73,0.890243902439,155,1.89024390244,211,499,6.08536585366,
Chris Kaman,LAC,2004-2005, 7-0,C,22,63,1632,25.9047619048,246,495,.497,0,1,.000,80,121,.661,135,2.14285714286,288,4.57142857143,423,6.71428571429,73,1.15873015873,26,0.412698412698,68,1.07936507937,115,1.8253968254,182,572,9.07936507937,
Chris Kaman,LAC,2005-2006, 7-0,C,23,78,2560,32.8205128205,369,706,.523,0,2,.000,194,252,.770,187,2.39743589744,563,7.21794871795,750,9.61538461538,79,1.01282051282,45,0.576923076923,108,1.38461538462,176,2.25641025641,269,932,11.9487179487,
Chris Kaman,LAC,2006-2007, 7-0,C,24,75,2176,29.0133333333,294,652,.451,0,1,.000,166,224,.741,160,2.13333333333,428,5.70666666667,588,7.84,79,1.05333333333,41,0.546666666667,116,1.54666666667,147,1.96,251,754,10.0533333333,
Chris Kaman,LAC,2007-2008, 7-0,C,25,56,2083,37.1964285714,338,700,.483,0,4,.000,202,265,.762,173,3.08928571429,538,9.60714285714,711,12.6964285714,107,1.91071428571,33,0.589285714286,155,2.76785714286,164,2.92857142857,179,878,15.6785714286,
Chris Kaman,LAC,2008-2009, 7-0,C,26,31,921,29.7096774194,161,305,.528,0,0,.000,51,75,.680,75,2.41935483871,172,5.54838709677,247,7.96774193548,46,1.48387096774,17,0.548387096774,45,1.45161290323,84,2.70967741935,93,373,12.0322580645,
Chris Kaman,LAC,2009-2010, 7-0,C,27,76,2608,34.3157894737,589,1202,.490,0,6,.000,230,307,.749,184,2.42105263158,520,6.84210526316,704,9.26315789474,120,1.57894736842,37,0.486842105263,94,1.23684210526,223,2.93421052632,213,1408,18.5263157895,
Chris Kaman,LAC,2010-2011, 7-0,C,28,32,838,26.1875,177,376,.471,0,0,.000,43,57,.754,51,1.59375,174,5.4375,225,7.03125,46,1.4375,16,0.5,48,1.5,58,1.8125,75,397,12.40625,
Chris Kaman,NOH,2011-2012, 7-0,C,29,47,1372,29.1914893617,266,597,.446,0,0,.000,84,107,.785,89,1.89361702128,275,5.85106382979,364,7.74468085106,101,2.14893617021,25,0.531914893617,77,1.63829787234,129,2.74468085106,106,616,13.1063829787,
Chris Kaman,DAL,2012-2013, 7-0,C,30,49,1094,22.3265306122,249,492,.506,0,1,.000,63,80,.788,72,1.4693877551,215,4.38775510204,287,5.85714285714,41,0.836734693878,19,0.387755102041,42,0.857142857143,78,1.59183673469,106,561,11.4489795918,
