Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chris Mihm,CLE,2000-2001, 7-0,C,21,59,1166,19.7627118644,173,391,.442,0,1,.000,100,126,.794,106,1.79661016949,174,2.94915254237,280,4.74576271186,16,0.271186440678,20,0.338983050847,53,0.898305084746,80,1.35593220339,156,446,7.5593220339,
Chris Mihm,CLE,2001-2002, 7-0,C,22,74,1659,22.4189189189,221,526,.420,3,7,.429,124,179,.693,133,1.7972972973,259,3.5,392,5.2972972973,24,0.324324324324,18,0.243243243243,89,1.2027027027,97,1.31081081081,260,569,7.68918918919,
Chris Mihm,CLE,2002-2003, 7-0,C,23,52,809,15.5576923077,116,287,.404,0,3,.000,76,105,.724,93,1.78846153846,138,2.65384615385,231,4.44230769231,28,0.538461538462,18,0.346153846154,38,0.730769230769,48,0.923076923077,124,308,5.92307692308,
Chris Mihm,TOT,2003-2004, 7-0,C-,24,76,1330,17.5,186,381,.488,0,0,.000,110,166,.663,156,2.05263157895,257,3.38157894737,413,5.43421052632,21,0.276315789474,37,0.486842105263,63,0.828947368421,90,1.18421052632,208,482,6.34210526316,
Chris Mihm,CLE,2003-2004, 7-0,PF,24,22,391,17.7727272727,59,127,.465,0,0,.000,34,48,.708,47,2.13636363636,93,4.22727272727,140,6.36363636364,10,0.454545454545,9,0.409090909091,22,1.0,25,1.13636363636,58,152,6.90909090909,
Chris Mihm,BOS,2003-2004, 7-0,C,24,54,939,17.3888888889,127,254,.500,0,0,.000,76,118,.644,109,2.01851851852,164,3.03703703704,273,5.05555555556,11,0.203703703704,28,0.518518518519,41,0.759259259259,65,1.2037037037,150,330,6.11111111111,
Chris Mihm,LAL,2004-2005, 7-0,C,25,75,1870,24.9333333333,280,552,.507,0,2,.000,175,258,.678,197,2.62666666667,305,4.06666666667,502,6.69333333333,50,0.666666666667,14,0.186666666667,108,1.44,110,1.46666666667,237,735,9.8,
Chris Mihm,LAL,2005-2006, 7-0,C,26,59,1541,26.1186440678,230,459,.501,0,0,.000,144,201,.716,137,2.32203389831,236,4.0,373,6.32203389831,61,1.03389830508,16,0.271186440678,73,1.23728813559,83,1.40677966102,214,604,10.2372881356,
Chris Mihm,LAL,2007-2008, 7-0,C,28,23,278,12.0869565217,32,95,.337,0,0,.000,18,27,.667,28,1.21739130435,49,2.13043478261,77,3.34782608696,13,0.565217391304,4,0.173913043478,14,0.608695652174,17,0.739130434783,42,82,3.5652173913,
Chris Mihm,LAL,2008-2009, 7-0,C,29,18,105,5.83333333333,15,40,.375,0,0,.000,6,7,.857,15,0.833333333333,19,1.05555555556,34,1.88888888889,10,0.555555555556,1,0.0555555555556,6,0.333333333333,10,0.555555555556,23,36,2.0,
