Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chris Webber,GSW,1993-1994, 6-9,C,20,76,2438,32.0789473684,572,1037,.552,0,14,.000,189,355,.532,305,4.01315789474,389,5.11842105263,694,9.13157894737,272,3.57894736842,93,1.22368421053,164,2.15789473684,206,2.71052631579,247,1333,17.5394736842,
Chris Webber,WSB,1994-1995, 6-9,PF,21,54,2067,38.2777777778,464,938,.495,40,145,.276,117,233,.502,200,3.7037037037,318,5.88888888889,518,9.59259259259,256,4.74074074074,83,1.53703703704,85,1.57407407407,167,3.09259259259,186,1085,20.0925925926,
Chris Webber,WSB,1995-1996, 6-9,PF,22,15,558,37.2,150,276,.543,15,34,.441,41,69,.594,37,2.46666666667,77,5.13333333333,114,7.6,75,5.0,27,1.8,9,0.6,49,3.26666666667,51,356,23.7333333333,
Chris Webber,WSB,1996-1997, 6-9,PF,23,72,2806,38.9722222222,604,1167,.518,60,151,.397,177,313,.565,238,3.30555555556,505,7.01388888889,743,10.3194444444,331,4.59722222222,122,1.69444444444,137,1.90277777778,230,3.19444444444,258,1445,20.0694444444,
Chris Webber,WAS,1997-1998, 6-9,C,24,71,2809,39.5633802817,647,1341,.482,65,205,.317,196,333,.589,176,2.47887323944,498,7.01408450704,674,9.49295774648,273,3.84507042254,111,1.56338028169,124,1.74647887324,185,2.60563380282,269,1555,21.9014084507,
Chris Webber,SAC,1998-1999, 6-9,PF,25,42,1719,40.9285714286,378,778,.486,4,34,.118,79,174,.454,149,3.54761904762,396,9.42857142857,545,12.9761904762,173,4.11904761905,60,1.42857142857,89,2.11904761905,148,3.52380952381,145,839,19.9761904762,
Chris Webber,SAC,1999-2000, 6-9,PF,26,75,2880,38.4,748,1548,.483,27,95,.284,311,414,.751,189,2.52,598,7.97333333333,787,10.4933333333,345,4.6,120,1.6,128,1.70666666667,218,2.90666666667,264,1834,24.4533333333,
Chris Webber,SAC,2000-2001, 6-9,PF,27,70,2836,40.5142857143,786,1635,.481,2,28,.071,324,461,.703,179,2.55714285714,598,8.54285714286,777,11.1,294,4.2,93,1.32857142857,118,1.68571428571,195,2.78571428571,226,1898,27.1142857143,
Chris Webber,SAC,2001-2002, 6-9,PF,28,54,2071,38.3518518519,532,1075,.495,5,19,.263,253,338,.749,150,2.77777777778,396,7.33333333333,546,10.1111111111,258,4.77777777778,90,1.66666666667,76,1.40740740741,158,2.92592592593,181,1322,24.4814814815,
Chris Webber,SAC,2002-2003, 6-9,PF,29,67,2622,39.1343283582,661,1433,.461,5,21,.238,215,354,.607,160,2.38805970149,544,8.11940298507,704,10.5074626866,364,5.4328358209,106,1.58208955224,88,1.31343283582,215,3.20895522388,204,1542,23.0149253731,
Chris Webber,SAC,2003-2004, 6-9,PF,30,23,831,36.1304347826,174,421,.413,1,5,.200,81,114,.711,48,2.08695652174,152,6.60869565217,200,8.69565217391,105,4.5652173913,31,1.34782608696,20,0.869565217391,60,2.60869565217,76,430,18.6956521739,
Chris Webber,TOT,2004-2005, 6-9,PF,31,67,2370,35.3731343284,555,1283,.433,15,44,.341,181,228,.794,130,1.94029850746,482,7.19402985075,612,9.13432835821,318,4.74626865672,94,1.40298507463,53,0.791044776119,182,2.71641791045,214,1306,19.4925373134,
Chris Webber,SAC,2004-2005, 6-9,PF,31,46,1668,36.2608695652,412,917,.449,11,29,.379,143,179,.799,94,2.04347826087,353,7.67391304348,447,9.71739130435,252,5.47826086957,68,1.47826086957,34,0.739130434783,133,2.89130434783,144,978,21.2608695652,
Chris Webber,PHI,2004-2005, 6-9,PF,31,21,702,33.4285714286,143,366,.391,4,15,.267,38,49,.776,36,1.71428571429,129,6.14285714286,165,7.85714285714,66,3.14285714286,26,1.2380952381,19,0.904761904762,49,2.33333333333,70,328,15.619047619,
Chris Webber,PHI,2005-2006, 6-9,PF,32,75,2893,38.5733333333,617,1422,.434,21,77,.273,263,348,.756,184,2.45333333333,557,7.42666666667,741,9.88,256,3.41333333333,103,1.37333333333,62,0.826666666667,182,2.42666666667,219,1518,20.24,
Chris Webber,TOT,2006-2007, 6-9,PF,33,61,1821,29.8524590164,289,639,.452,4,11,.364,102,160,.638,124,2.03278688525,313,5.13114754098,437,7.16393442623,188,3.08196721311,60,0.983606557377,41,0.672131147541,107,1.75409836066,143,684,11.2131147541,
Chris Webber,PHI,2006-2007, 6-9,PF,33,18,544,30.2222222222,89,230,.387,2,5,.400,18,28,.643,37,2.05555555556,112,6.22222222222,149,8.27777777778,61,3.38888888889,18,1.0,15,0.833333333333,33,1.83333333333,36,198,11.0,
Chris Webber,DET,2006-2007, 6-9,PF,33,43,1277,29.6976744186,200,409,.489,2,6,.333,84,132,.636,87,2.02325581395,201,4.67441860465,288,6.6976744186,127,2.95348837209,42,0.976744186047,26,0.604651162791,74,1.72093023256,107,486,11.3023255814,
Chris Webber,GSW,2007-2008, 6-9,PF,34,9,126,14.0,15,31,.484,0,0,.000,5,12,.417,2,0.222222222222,30,3.33333333333,32,3.55555555556,18,2.0,4,0.444444444444,6,0.666666666667,11,1.22222222222,17,35,3.88888888889,
