Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chuck Person,IND,1986-1987, 6-8,SF,22,82,2956,36.0487804878,635,1358,.468,49,138,.355,222,297,.747,168,2.0487804878,509,6.20731707317,677,8.25609756098,295,3.59756097561,90,1.09756097561,16,0.19512195122,211,2.57317073171,310,1541,18.7926829268,
Chuck Person,IND,1987-1988, 6-8,SF,23,79,2807,35.5316455696,575,1252,.459,59,177,.333,132,197,.670,171,2.16455696203,365,4.62025316456,536,6.78481012658,309,3.91139240506,73,0.924050632911,8,0.101265822785,210,2.6582278481,266,1341,16.9746835443,
Chuck Person,IND,1988-1989, 6-8,SF,24,80,3012,37.65,711,1453,.489,63,205,.307,243,307,.792,144,1.8,372,4.65,516,6.45,289,3.6125,83,1.0375,18,0.225,308,3.85,280,1728,21.6,
Chuck Person,IND,1989-1990, 6-8,SF,25,77,2714,35.2467532468,605,1242,.487,94,253,.372,211,270,.781,126,1.63636363636,319,4.14285714286,445,5.77922077922,230,2.98701298701,53,0.688311688312,20,0.25974025974,170,2.20779220779,217,1515,19.6753246753,
Chuck Person,IND,1990-1991, 6-8,SF,26,80,2566,32.075,620,1231,.504,69,203,.340,165,229,.721,121,1.5125,296,3.7,417,5.2125,238,2.975,56,0.7,17,0.2125,184,2.3,221,1474,18.425,
Chuck Person,IND,1991-1992, 6-8,SF,27,81,2923,36.0864197531,616,1284,.480,132,354,.373,133,197,.675,114,1.40740740741,312,3.85185185185,426,5.25925925926,382,4.71604938272,68,0.83950617284,18,0.222222222222,216,2.66666666667,247,1497,18.4814814815,
Chuck Person,MIN,1992-1993, 6-8,SF,28,78,2985,38.2692307692,541,1248,.433,118,332,.355,109,168,.649,98,1.25641025641,335,4.29487179487,433,5.55128205128,343,4.39743589744,67,0.858974358974,30,0.384615384615,219,2.80769230769,198,1309,16.7820512821,
Chuck Person,MIN,1993-1994, 6-8,SF,29,77,2029,26.3506493506,356,843,.422,100,272,.368,82,108,.759,55,0.714285714286,198,2.57142857143,253,3.28571428571,185,2.4025974026,45,0.584415584416,12,0.155844155844,121,1.57142857143,164,894,11.6103896104,
Chuck Person,SAS,1994-1995, 6-8,SF,30,81,2033,25.0987654321,317,750,.423,172,445,.387,66,102,.647,49,0.604938271605,209,2.58024691358,258,3.18518518519,106,1.30864197531,45,0.555555555556,12,0.148148148148,102,1.25925925926,198,872,10.7654320988,
Chuck Person,SAS,1995-1996, 6-8,SF,31,80,2131,26.6375,308,705,.437,190,463,.410,67,104,.644,76,0.95,337,4.2125,413,5.1625,100,1.25,49,0.6125,26,0.325,91,1.1375,197,873,10.9125,
Chuck Person,SAS,1997-1998, 6-8,PF,33,61,1455,23.8524590164,143,398,.359,95,276,.344,28,37,.757,17,0.27868852459,187,3.06557377049,204,3.34426229508,86,1.40983606557,29,0.475409836066,10,0.16393442623,67,1.09836065574,121,409,6.70491803279,
Chuck Person,CHH,1998-1999, 6-8,SF,34,50,990,19.8,112,289,.388,55,157,.350,24,32,.750,17,0.34,115,2.3,132,2.64,60,1.2,20,0.4,8,0.16,41,0.82,90,303,6.06,
Chuck Person,SEA,1999-2000, 6-8,SF,35,37,340,9.18918918919,37,123,.301,24,95,.253,4,8,.500,6,0.162162162162,47,1.27027027027,53,1.43243243243,22,0.594594594595,5,0.135135135135,2,0.0540540540541,12,0.324324324324,56,102,2.75675675676,
