Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Chucky Atkins,ORL,1999-2000, 5-11,PG,25,82,1626,19.8292682927,314,741,.424,57,163,.350,97,133,.729,20,0.243902439024,106,1.29268292683,126,1.53658536585,306,3.73170731707,52,0.634146341463,3,0.0365853658537,142,1.73170731707,137,782,9.53658536585,
Chucky Atkins,DET,2000-2001, 5-11,PG,26,81,2363,29.1728395062,380,952,.399,121,339,.357,90,130,.692,28,0.345679012346,145,1.79012345679,173,2.13580246914,330,4.07407407407,67,0.827160493827,5,0.0617283950617,149,1.83950617284,184,971,11.987654321,
Chucky Atkins,DET,2001-2002, 5-11,PG,27,79,2285,28.9240506329,368,790,.466,138,336,.411,83,120,.692,31,0.392405063291,127,1.60759493671,158,2.0,263,3.32911392405,72,0.911392405063,11,0.139240506329,128,1.62025316456,177,957,12.1139240506,
Chucky Atkins,DET,2002-2003, 5-11,PG,28,65,1398,21.5076923077,168,465,.361,86,242,.355,40,49,.816,21,0.323076923077,75,1.15384615385,96,1.47692307692,175,2.69230769231,27,0.415384615385,4,0.0615384615385,77,1.18461538462,108,462,7.10769230769,
Chucky Atkins,TOT,2003-2004, 5-11,PG,29,64,1544,24.125,192,484,.397,81,241,.336,73,97,.753,9,0.140625,84,1.3125,93,1.453125,223,3.484375,45,0.703125,2,0.03125,92,1.4375,102,538,8.40625,
Chucky Atkins,DET,2003-2004, 5-11,PG,29,40,751,18.775,88,235,.374,42,130,.323,31,43,.721,6,0.15,42,1.05,48,1.2,95,2.375,19,0.475,1,0.025,48,1.2,60,249,6.225,
Chucky Atkins,BOS,2003-2004, 5-11,PG,29,24,793,33.0416666667,104,249,.418,39,111,.351,42,54,.778,3,0.125,42,1.75,45,1.875,128,5.33333333333,26,1.08333333333,1,0.0416666666667,44,1.83333333333,42,289,12.0416666667,
Chucky Atkins,LAL,2004-2005, 5-11,PG,30,82,2903,35.4024390244,388,910,.426,176,455,.387,163,203,.803,31,0.378048780488,166,2.0243902439,197,2.40243902439,358,4.36585365854,73,0.890243902439,2,0.0243902439024,151,1.84146341463,181,1115,13.5975609756,
Chucky Atkins,TOT,2005-2006, 5-11,PG,31,71,1713,24.1267605634,226,573,.394,97,274,.354,129,163,.791,23,0.323943661972,97,1.3661971831,120,1.69014084507,198,2.78873239437,43,0.605633802817,2,0.0281690140845,87,1.22535211268,152,678,9.54929577465,
Chucky Atkins,WAS,2005-2006, 5-11,SG,31,28,552,19.7142857143,66,174,.379,33,92,.359,22,31,.710,12,0.428571428571,33,1.17857142857,45,1.60714285714,69,2.46428571429,14,0.5,0,0.0,30,1.07142857143,58,187,6.67857142857,
Chucky Atkins,MEM,2005-2006, 5-11,PG,31,43,1161,27.0,160,399,.401,64,182,.352,107,132,.811,11,0.255813953488,64,1.48837209302,75,1.74418604651,129,3.0,29,0.674418604651,2,0.046511627907,57,1.32558139535,94,491,11.4186046512,
Chucky Atkins,MEM,2006-2007, 5-11,PG,32,75,2064,27.52,310,715,.434,116,306,.379,252,311,.810,18,0.24,121,1.61333333333,139,1.85333333333,346,4.61333333333,50,0.666666666667,4,0.0533333333333,127,1.69333333333,136,988,13.1733333333,
Chucky Atkins,DEN,2007-2008, 5-11,SG,33,24,352,14.6666666667,42,122,.344,25,79,.316,4,9,.444,3,0.125,28,1.16666666667,31,1.29166666667,47,1.95833333333,9,0.375,1,0.0416666666667,10,0.416666666667,27,113,4.70833333333,
Chucky Atkins,TOT,2008-2009, 5-11,PG,34,33,412,12.4848484848,34,113,.301,15,57,.263,15,16,.938,5,0.151515151515,19,0.575757575758,24,0.727272727273,59,1.78787878788,10,0.30303030303,2,0.0606060606061,23,0.69696969697,27,98,2.9696969697,
Chucky Atkins,DEN,2008-2009, 5-11,PG,34,14,115,8.21428571429,9,27,.333,5,17,.294,4,4,1.000,0,0.0,6,0.428571428571,6,0.428571428571,28,2.0,2,0.142857142857,1,0.0714285714286,10,0.714285714286,5,27,1.92857142857,
Chucky Atkins,OKC,2008-2009, 5-11,PG,34,19,297,15.6315789474,25,86,.291,10,40,.250,11,12,.917,5,0.263157894737,13,0.684210526316,18,0.947368421053,31,1.63157894737,8,0.421052631579,1,0.0526315789474,13,0.684210526316,22,71,3.73684210526,
Chucky Atkins,DET,2009-2010, 5-11,PG,35,40,644,16.1,57,157,.363,22,73,.301,25,27,.926,5,0.125,24,0.6,29,0.725,91,2.275,17,0.425,0,0.0,32,0.8,53,161,4.025,
