Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Cliff Hagan,STL,1956-1957, 6-4,SF,25,67,971,14.4925373134,134,371,.361,.000,.000,.000,100,145,.690,.000,0.0,.000,0.0,247,3.68656716418,86,1.28358208955,.000,0.0,.000,0.0,.000,0.0,165,368,5.49253731343,
Cliff Hagan,STL,1957-1958, 6-4,SF,26,70,2190,31.2857142857,503,1135,.443,.000,.000,.000,385,501,.768,.000,0.0,.000,0.0,707,10.1,175,2.5,.000,0.0,.000,0.0,.000,0.0,267,1391,19.8714285714,
Cliff Hagan,STL,1958-1959, 6-4,SF,27,72,2702,37.5277777778,646,1417,.456,.000,.000,.000,415,536,.774,.000,0.0,.000,0.0,783,10.875,245,3.40277777778,.000,0.0,.000,0.0,.000,0.0,275,1707,23.7083333333,
Cliff Hagan,STL,1959-1960, 6-4,SF,28,75,2798,37.3066666667,719,1549,.464,.000,.000,.000,421,524,.803,.000,0.0,.000,0.0,803,10.7066666667,299,3.98666666667,.000,0.0,.000,0.0,.000,0.0,270,1859,24.7866666667,
Cliff Hagan,STL,1960-1961, 6-4,SF,29,77,2701,35.0779220779,661,1490,.444,.000,.000,.000,383,467,.820,.000,0.0,.000,0.0,715,9.28571428571,381,4.94805194805,.000,0.0,.000,0.0,.000,0.0,286,1705,22.1428571429,
Cliff Hagan,STL,1961-1962, 6-4,SF,30,77,2784,36.1558441558,701,1490,.470,.000,.000,.000,362,439,.825,.000,0.0,.000,0.0,633,8.22077922078,370,4.80519480519,.000,0.0,.000,0.0,.000,0.0,282,1764,22.9090909091,
Cliff Hagan,STL,1962-1963, 6-4,SF,31,79,1716,21.7215189873,491,1055,.465,.000,.000,.000,244,305,.800,.000,0.0,.000,0.0,341,4.3164556962,193,2.44303797468,.000,0.0,.000,0.0,.000,0.0,211,1226,15.5189873418,
Cliff Hagan,STL,1963-1964, 6-4,SF,32,77,2279,29.5974025974,572,1280,.447,.000,.000,.000,269,331,.813,.000,0.0,.000,0.0,377,4.8961038961,193,2.50649350649,.000,0.0,.000,0.0,.000,0.0,273,1413,18.3506493506,
Cliff Hagan,STL,1964-1965, 6-4,SF,33,77,1739,22.5844155844,393,901,.436,.000,.000,.000,214,268,.799,.000,0.0,.000,0.0,276,3.58441558442,136,1.76623376623,.000,0.0,.000,0.0,.000,0.0,182,1000,12.987012987,
Cliff Hagan,STL,1965-1966, 6-4,SF,34,74,1851,25.0135135135,419,942,.445,.000,.000,.000,176,206,.854,.000,0.0,.000,0.0,234,3.16216216216,164,2.21621621622,.000,0.0,.000,0.0,.000,0.0,177,1014,13.7027027027,
Cliff Hagan,DLC,1967-1968, 6-4,SF,36,56,1737,31.0178571429,371,759,.489,0,3,.000,277,351,.789,.000,0.0,.000,0.0,334,5.96428571429,276,4.92857142857,.000,0.0,.000,0.0,216,3.85714285714,202,1019,18.1964285714,
Cliff Hagan,DLC,1968-1969, 6-4,SF,37,35,579,16.5428571429,132,259,.510,0,1,.000,123,144,.854,46,1.31428571429,56,1.6,102,2.91428571429,122,3.48571428571,.000,0.0,.000,0.0,74,2.11428571429,73,387,11.0571428571,
Cliff Hagan,DLC,1969-1970, 6-4,SF,38,3,27,9.0,8,13,.615,0,1,.000,1,2,.500,1,0.333333333333,2,0.666666666667,3,1.0,6,2.0,.000,0.0,.000,0.0,4,1.33333333333,2,17,5.66666666667,
