Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Clifford Robinson,POR,1989-1990, 6-10,PF,23,82,1565,19.0853658537,298,751,.397,12,44,.273,138,251,.550,110,1.34146341463,198,2.41463414634,308,3.75609756098,72,0.878048780488,53,0.646341463415,53,0.646341463415,129,1.57317073171,226,746,9.09756097561,
Clifford Robinson,POR,1990-1991, 6-10,PF,24,82,1940,23.6585365854,373,806,.463,6,19,.316,205,314,.653,123,1.5,226,2.75609756098,349,4.25609756098,151,1.84146341463,78,0.951219512195,76,0.926829268293,133,1.62195121951,263,957,11.6707317073,
Clifford Robinson,POR,1991-1992, 6-10,SF,25,82,2124,25.9024390244,398,854,.466,1,11,.091,219,330,.664,140,1.70731707317,276,3.36585365854,416,5.07317073171,137,1.67073170732,85,1.03658536585,107,1.30487804878,154,1.87804878049,274,1016,12.3902439024,
Clifford Robinson,POR,1992-1993, 6-10,PF,26,82,2575,31.4024390244,632,1336,.473,19,77,.247,287,416,.690,165,2.01219512195,377,4.59756097561,542,6.60975609756,182,2.21951219512,98,1.19512195122,163,1.98780487805,173,2.10975609756,287,1570,19.1463414634,
Clifford Robinson,POR,1993-1994, 6-10,C,27,82,2853,34.7926829268,641,1404,.457,13,53,.245,352,460,.765,164,2.0,386,4.70731707317,550,6.70731707317,159,1.93902439024,118,1.43902439024,111,1.35365853659,169,2.06097560976,263,1647,20.0853658537,
Clifford Robinson,POR,1994-1995, 6-10,SF,28,75,2725,36.3333333333,597,1320,.452,142,383,.371,265,382,.694,152,2.02666666667,271,3.61333333333,423,5.64,198,2.64,79,1.05333333333,82,1.09333333333,158,2.10666666667,240,1601,21.3466666667,
Clifford Robinson,POR,1995-1996, 6-10,SF,29,78,2980,38.2051282051,553,1306,.423,178,471,.378,360,542,.664,123,1.57692307692,320,4.10256410256,443,5.67948717949,190,2.4358974359,86,1.10256410256,68,0.871794871795,194,2.48717948718,248,1644,21.0769230769,
Clifford Robinson,POR,1996-1997, 6-10,SF,30,81,3077,37.987654321,444,1043,.426,121,350,.346,215,309,.696,90,1.11111111111,231,2.85185185185,321,3.96296296296,261,3.22222222222,99,1.22222222222,66,0.814814814815,172,2.12345679012,251,1224,15.1111111111,
Clifford Robinson,PHO,1997-1998, 6-10,SF,31,80,2359,29.4875,429,895,.479,27,84,.321,248,360,.689,152,1.9,258,3.225,410,5.125,170,2.125,92,1.15,90,1.125,140,1.75,249,1133,14.1625,
Clifford Robinson,PHO,1998-1999, 6-10,SF,32,50,1740,34.8,299,629,.475,58,139,.417,163,234,.697,69,1.38,158,3.16,227,4.54,128,2.56,75,1.5,59,1.18,88,1.76,154,819,16.38,
Clifford Robinson,PHO,1999-2000, 6-10,SF,33,80,2839,35.4875,530,1142,.464,120,324,.370,298,381,.782,105,1.3125,254,3.175,359,4.4875,224,2.8,90,1.125,61,0.7625,166,2.075,239,1478,18.475,
Clifford Robinson,PHO,2000-2001, 6-10,PF,34,82,2751,33.5487804878,501,1186,.422,90,249,.361,253,357,.709,105,1.28048780488,229,2.79268292683,334,4.07317073171,237,2.89024390244,87,1.06097560976,82,1.0,186,2.26829268293,258,1345,16.4024390244,
Clifford Robinson,DET,2001-2002, 6-10,PF,35,80,2855,35.6875,454,1069,.425,115,304,.378,143,206,.694,79,0.9875,307,3.8375,386,4.825,202,2.525,89,1.1125,95,1.1875,151,1.8875,243,1166,14.575,
Clifford Robinson,DET,2002-2003, 6-10,PF,36,81,2825,34.8765432099,372,935,.398,87,259,.336,161,238,.676,81,1.0,237,2.92592592593,318,3.92592592593,268,3.30864197531,87,1.07407407407,88,1.08641975309,158,1.95061728395,259,992,12.2469135802,
Clifford Robinson,GSW,2003-2004, 6-10,PF,37,82,2846,34.7073170732,366,945,.387,112,314,.357,123,173,.711,54,0.658536585366,268,3.26829268293,322,3.92682926829,271,3.30487804878,68,0.829268292683,73,0.890243902439,173,2.10975609756,237,967,11.7926829268,
Clifford Robinson,TOT,2004-2005, 6-10,C-,38,71,1689,23.7887323944,202,523,.386,67,193,.347,62,97,.639,54,0.760563380282,155,2.18309859155,209,2.94366197183,104,1.46478873239,62,0.87323943662,53,0.746478873239,66,0.929577464789,181,533,7.50704225352,
Clifford Robinson,GSW,2004-2005, 6-10,C,38,42,1090,25.9523809524,141,354,.398,42,127,.331,35,58,.603,31,0.738095238095,83,1.97619047619,114,2.71428571429,74,1.7619047619,44,1.04761904762,39,0.928571428571,41,0.97619047619,107,359,8.54761904762,
Clifford Robinson,NJN,2004-2005, 6-10,PF,38,29,599,20.6551724138,61,169,.361,25,66,.379,27,39,.692,23,0.793103448276,72,2.48275862069,95,3.27586206897,30,1.03448275862,18,0.620689655172,14,0.48275862069,25,0.862068965517,74,174,6.0,
Clifford Robinson,NJN,2005-2006, 6-10,PF,39,80,1863,23.2875,219,513,.427,60,175,.343,52,79,.658,55,0.6875,212,2.65,267,3.3375,89,1.1125,44,0.55,40,0.5,62,0.775,206,550,6.875,
Clifford Robinson,NJN,2006-2007, 6-10,C,40,50,955,19.1,81,218,.372,25,66,.379,16,36,.444,31,0.62,91,1.82,122,2.44,51,1.02,12,0.24,23,0.46,30,0.6,98,203,4.06,
