Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Damon Stoudamire,TOR,1995-1996, 5-10,PG,22,70,2865,40.9285714286,481,1129,.426,133,337,.395,236,296,.797,59,0.842857142857,222,3.17142857143,281,4.01428571429,653,9.32857142857,98,1.4,19,0.271428571429,267,3.81428571429,166,1331,19.0142857143,
Damon Stoudamire,TOR,1996-1997, 5-10,PG,23,81,3311,40.8765432099,564,1407,.401,176,496,.355,330,401,.823,86,1.06172839506,244,3.01234567901,330,4.07407407407,709,8.75308641975,123,1.51851851852,13,0.16049382716,288,3.55555555556,162,1634,20.1728395062,
Damon Stoudamire,TOT,1997-1998, 5-10,PG,24,71,2839,39.985915493,448,1091,.411,91,304,.299,238,287,.829,87,1.22535211268,211,2.97183098592,298,4.19718309859,580,8.16901408451,113,1.59154929577,7,0.0985915492958,223,3.14084507042,150,1225,17.2535211268,
Damon Stoudamire,TOR,1997-1998, 5-10,PG,24,49,2033,41.4897959184,354,833,.425,65,205,.317,179,212,.844,63,1.28571428571,154,3.14285714286,217,4.42857142857,399,8.14285714286,80,1.63265306122,5,0.102040816327,159,3.24489795918,112,952,19.4285714286,
Damon Stoudamire,POR,1997-1998, 5-10,PG,24,22,806,36.6363636364,94,258,.364,26,99,.263,59,75,.787,24,1.09090909091,57,2.59090909091,81,3.68181818182,181,8.22727272727,33,1.5,2,0.0909090909091,64,2.90909090909,38,273,12.4090909091,
Damon Stoudamire,POR,1998-1999, 5-10,PG,25,50,1673,33.46,249,629,.396,44,142,.310,89,122,.730,41,0.82,126,2.52,167,3.34,312,6.24,49,0.98,4,0.08,110,2.2,81,631,12.62,
Damon Stoudamire,POR,1999-2000, 5-10,PG,26,78,2372,30.4102564103,386,894,.432,80,212,.377,122,145,.841,61,0.782051282051,182,2.33333333333,243,3.11538461538,405,5.19230769231,77,0.987179487179,1,0.0128205128205,149,1.91025641026,173,974,12.4871794872,
Damon Stoudamire,POR,2000-2001, 5-10,PG,27,82,2655,32.3780487805,406,935,.434,82,219,.374,172,207,.831,69,0.841463414634,234,2.85365853659,303,3.69512195122,468,5.70731707317,106,1.29268292683,8,0.0975609756098,191,2.32926829268,202,1066,13.0,
Damon Stoudamire,POR,2001-2002, 5-10,PG,28,75,2796,37.28,369,918,.402,104,295,.353,174,196,.888,78,1.04,214,2.85333333333,292,3.89333333333,490,6.53333333333,67,0.893333333333,7,0.0933333333333,149,1.98666666667,153,1016,13.5466666667,
Damon Stoudamire,POR,2002-2003, 5-10,PG,29,59,1315,22.2881355932,156,415,.376,44,114,.386,53,67,.791,40,0.677966101695,115,1.94915254237,155,2.62711864407,204,3.45762711864,39,0.661016949153,6,0.101694915254,82,1.38983050847,67,409,6.93220338983,
Damon Stoudamire,POR,2003-2004, 5-10,PG,30,82,3118,38.0243902439,408,1018,.401,156,427,.365,127,145,.876,52,0.634146341463,256,3.12195121951,308,3.75609756098,500,6.09756097561,99,1.20731707317,9,0.109756097561,180,2.19512195122,173,1099,13.4024390244,
Damon Stoudamire,POR,2004-2005, 5-10,PG,31,81,2762,34.0987654321,457,1165,.392,181,490,.369,182,199,.915,56,0.691358024691,254,3.13580246914,310,3.82716049383,458,5.65432098765,86,1.06172839506,2,0.0246913580247,164,2.02469135802,158,1277,15.7654320988,
Damon Stoudamire,MEM,2005-2006, 5-10,PG,32,27,862,31.9259259259,114,287,.397,36,104,.346,53,62,.855,23,0.851851851852,72,2.66666666667,95,3.51851851852,128,4.74074074074,19,0.703703703704,1,0.037037037037,55,2.03703703704,49,317,11.7407407407,
Damon Stoudamire,MEM,2006-2007, 5-10,PG,33,62,1501,24.2096774194,171,437,.391,59,175,.337,66,83,.795,31,0.5,108,1.74193548387,139,2.24193548387,299,4.82258064516,47,0.758064516129,2,0.0322580645161,101,1.62903225806,95,467,7.53225806452,
Damon Stoudamire,TOT,2007-2008, 5-10,PG,34,60,1037,17.2833333333,120,337,.356,50,149,.336,27,34,.794,20,0.333333333333,98,1.63333333333,118,1.96666666667,165,2.75,30,0.5,2,0.0333333333333,80,1.33333333333,76,317,5.28333333333,
Damon Stoudamire,MEM,2007-2008, 5-10,PG,34,29,624,21.5172413793,77,194,.397,36,94,.383,21,26,.808,14,0.48275862069,57,1.96551724138,71,2.44827586207,112,3.86206896552,19,0.655172413793,0,0.0,50,1.72413793103,46,211,7.27586206897,
Damon Stoudamire,SAS,2007-2008, 5-10,PG,34,31,413,13.3225806452,43,143,.301,14,55,.255,6,8,.750,6,0.193548387097,41,1.32258064516,47,1.51612903226,53,1.70967741935,11,0.354838709677,2,0.0645161290323,30,0.967741935484,30,106,3.41935483871,
