Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Dan Dickau,ATL,2002-2003, 6-0,PG,24,50,515,10.3,70,170,.412,22,61,.361,21,26,.808,9,0.18,34,0.68,43,0.86,85,1.7,14,0.28,2,0.04,53,1.06,66,183,3.66,
Dan Dickau,TOT,2003-2004, 6-0,PG,25,43,294,6.83720930233,37,98,.378,10,30,.333,11,14,.786,7,0.162790697674,19,0.441860465116,26,0.604651162791,38,0.883720930233,17,0.395348837209,0,0.0,26,0.604651162791,44,95,2.20930232558,
Dan Dickau,ATL,2003-2004, 6-0,PG,25,23,143,6.21739130435,21,49,.429,3,10,.300,4,6,.667,4,0.173913043478,12,0.521739130435,16,0.695652173913,18,0.782608695652,9,0.391304347826,0,0.0,13,0.565217391304,22,49,2.13043478261,
Dan Dickau,POR,2003-2004, 6-0,PG,25,20,151,7.55,16,49,.327,7,20,.350,7,8,.875,3,0.15,7,0.35,10,0.5,20,1.0,8,0.4,0,0.0,13,0.65,22,46,2.3,
Dan Dickau,TOT,2004-2005, 6-0,PG,26,71,2090,29.4366197183,306,756,.405,85,245,.347,190,228,.833,34,0.478873239437,146,2.05633802817,180,2.53521126761,347,4.88732394366,76,1.07042253521,4,0.056338028169,145,2.04225352113,201,887,12.4929577465,
Dan Dickau,DAL,2004-2005, 6-0,PG,26,4,16,4.0,1,8,.125,1,3,.333,2,3,.667,0,0.0,1,0.25,1,0.25,1,0.25,0,0.0,0,0.0,1,0.25,1,5,1.25,
Dan Dickau,NOH,2004-2005, 6-0,PG,26,67,2074,30.9552238806,305,748,.408,84,242,.347,188,225,.836,34,0.507462686567,145,2.16417910448,179,2.67164179104,346,5.16417910448,76,1.13432835821,4,0.0597014925373,144,2.14925373134,200,882,13.1641791045,
Dan Dickau,BOS,2005-2006, 6-0,PG,27,19,234,12.3157894737,17,46,.370,10,20,.500,18,18,1.000,5,0.263157894737,11,0.578947368421,16,0.842105263158,40,2.10526315789,11,0.578947368421,1,0.0526315789474,18,0.947368421053,40,62,3.26315789474,
Dan Dickau,POR,2006-2007, 6-0,PG,28,50,444,8.88,54,151,.358,16,61,.262,42,53,.792,7,0.14,36,0.72,43,0.86,70,1.4,14,0.28,1,0.02,27,0.54,55,166,3.32,
Dan Dickau,LAC,2007-2008, 6-0,PG,29,67,1040,15.5223880597,124,296,.419,36,108,.333,68,82,.829,13,0.194029850746,84,1.25373134328,97,1.44776119403,172,2.5671641791,32,0.477611940299,3,0.044776119403,55,0.820895522388,108,352,5.25373134328,
