Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Dana Barros,SEA,1989-1990, 5-11,PG,22,81,1630,20.1234567901,299,738,.405,95,238,.399,89,110,.809,35,0.432098765432,97,1.1975308642,132,1.62962962963,205,2.53086419753,53,0.654320987654,1,0.0123456790123,123,1.51851851852,97,782,9.65432098765,
Dana Barros,SEA,1990-1991, 5-11,PG,23,66,750,11.3636363636,154,311,.495,32,81,.395,78,85,.918,17,0.257575757576,54,0.818181818182,71,1.07575757576,111,1.68181818182,23,0.348484848485,1,0.0151515151515,54,0.818181818182,40,418,6.33333333333,
Dana Barros,SEA,1991-1992, 5-11,PG,24,75,1331,17.7466666667,238,493,.483,83,186,.446,60,79,.759,17,0.226666666667,64,0.853333333333,81,1.08,125,1.66666666667,51,0.68,4,0.0533333333333,56,0.746666666667,84,619,8.25333333333,
Dana Barros,SEA,1992-1993, 5-11,PG,25,69,1243,18.0144927536,214,474,.451,64,169,.379,49,59,.831,18,0.260869565217,89,1.28985507246,107,1.55072463768,151,2.1884057971,63,0.913043478261,3,0.0434782608696,58,0.840579710145,78,541,7.84057971014,
Dana Barros,PHI,1993-1994, 5-11,PG,26,81,2519,31.0987654321,412,878,.469,135,354,.381,116,145,.800,28,0.345679012346,168,2.07407407407,196,2.41975308642,424,5.23456790123,107,1.32098765432,5,0.0617283950617,167,2.06172839506,96,1075,13.2716049383,
Dana Barros,PHI,1994-1995, 5-11,PG,27,82,3318,40.4634146341,571,1165,.490,197,425,.464,347,386,.899,27,0.329268292683,247,3.01219512195,274,3.34146341463,619,7.5487804878,149,1.81707317073,4,0.0487804878049,242,2.9512195122,159,1686,20.5609756098,
Dana Barros,BOS,1995-1996, 5-11,PG,28,80,2328,29.1,379,805,.471,150,368,.408,130,147,.884,21,0.2625,171,2.1375,192,2.4,306,3.825,58,0.725,3,0.0375,120,1.5,116,1038,12.975,
Dana Barros,BOS,1996-1997, 5-11,PG,29,24,708,29.5,110,253,.435,43,105,.410,37,43,.860,5,0.208333333333,43,1.79166666667,48,2.0,81,3.375,26,1.08333333333,6,0.25,39,1.625,34,300,12.5,
Dana Barros,BOS,1997-1998, 5-11,PG,30,80,1686,21.075,281,609,.461,100,246,.407,122,144,.847,28,0.35,125,1.5625,153,1.9125,286,3.575,83,1.0375,6,0.075,107,1.3375,124,784,9.8,
Dana Barros,BOS,1998-1999, 5-11,PG,31,50,1156,23.12,168,371,.453,64,160,.400,64,73,.877,16,0.32,89,1.78,105,2.1,208,4.16,52,1.04,5,0.1,88,1.76,64,464,9.28,
Dana Barros,BOS,1999-2000, 5-11,PG,32,72,1139,15.8194444444,196,435,.451,59,144,.410,66,76,.868,13,0.180555555556,86,1.19444444444,99,1.375,133,1.84722222222,31,0.430555555556,4,0.0555555555556,66,0.916666666667,80,517,7.18055555556,
Dana Barros,DET,2000-2001, 5-11,PG,33,60,1079,17.9833333333,183,412,.444,44,105,.419,68,80,.850,6,0.1,88,1.46666666667,94,1.56666666667,110,1.83333333333,30,0.5,2,0.0333333333333,60,1.0,63,478,7.96666666667,
Dana Barros,DET,2001-2002, 5-11,PG,34,29,582,20.0689655172,74,192,.385,24,71,.338,21,27,.778,1,0.0344827586207,56,1.93103448276,57,1.96551724138,78,2.68965517241,14,0.48275862069,2,0.0689655172414,33,1.13793103448,37,193,6.65517241379,
Dana Barros,BOS,2003-2004, 5-11,SG,36,1,11,11.0,2,3,.667,0,0,.000,2,2,1.000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6,6.0,
