Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Danny Ainge,BOS,1981-1982, 6-4,SG,22,53,564,10.641509434,79,221,.357,5,17,.294,56,65,.862,25,0.471698113208,31,0.584905660377,56,1.05660377358,87,1.64150943396,37,0.698113207547,3,0.0566037735849,53,1.0,86,219,4.1320754717,
Danny Ainge,BOS,1982-1983, 6-4,SG,23,80,2048,25.6,357,720,.496,5,29,.172,72,97,.742,83,1.0375,131,1.6375,214,2.675,251,3.1375,109,1.3625,6,0.075,98,1.225,259,791,9.8875,
Danny Ainge,BOS,1983-1984, 6-4,SG,24,71,1154,16.2535211268,166,361,.460,6,22,.273,46,56,.821,29,0.408450704225,87,1.22535211268,116,1.6338028169,162,2.28169014085,41,0.577464788732,4,0.056338028169,70,0.985915492958,143,384,5.40845070423,
Danny Ainge,BOS,1984-1985, 6-4,SG,25,75,2564,34.1866666667,419,792,.529,15,56,.268,118,136,.868,76,1.01333333333,192,2.56,268,3.57333333333,399,5.32,122,1.62666666667,6,0.08,149,1.98666666667,228,971,12.9466666667,
Danny Ainge,BOS,1985-1986, 6-4,SG,26,80,2407,30.0875,353,701,.504,26,73,.356,123,136,.904,47,0.5875,188,2.35,235,2.9375,405,5.0625,94,1.175,7,0.0875,129,1.6125,204,855,10.6875,
Danny Ainge,BOS,1986-1987, 6-4,SG,27,71,2499,35.1971830986,410,844,.486,85,192,.443,148,165,.897,49,0.69014084507,193,2.71830985915,242,3.40845070423,400,5.6338028169,101,1.42253521127,14,0.197183098592,141,1.98591549296,189,1053,14.8309859155,
Danny Ainge,BOS,1987-1988, 6-4,SG,28,81,3018,37.2592592593,482,982,.491,148,357,.415,158,180,.878,59,0.728395061728,190,2.34567901235,249,3.07407407407,503,6.20987654321,115,1.41975308642,17,0.20987654321,153,1.88888888889,203,1270,15.6790123457,
Danny Ainge,TOT,1988-1989, 6-4,PG,29,73,2377,32.5616438356,480,1051,.457,116,305,.380,205,240,.854,71,0.972602739726,184,2.52054794521,255,3.49315068493,402,5.50684931507,93,1.27397260274,8,0.109589041096,145,1.98630136986,186,1281,17.5479452055,
Danny Ainge,BOS,1988-1989, 6-4,PG,29,45,1349,29.9777777778,271,589,.460,58,155,.374,114,128,.891,37,0.822222222222,117,2.6,154,3.42222222222,215,4.77777777778,52,1.15555555556,1,0.0222222222222,82,1.82222222222,108,714,15.8666666667,
Danny Ainge,SAC,1988-1989, 6-4,PG,29,28,1028,36.7142857143,209,462,.452,58,150,.387,91,112,.813,34,1.21428571429,67,2.39285714286,101,3.60714285714,187,6.67857142857,41,1.46428571429,7,0.25,63,2.25,78,567,20.25,
Danny Ainge,SAC,1989-1990, 6-4,PG,30,75,2727,36.36,506,1154,.438,108,289,.374,222,267,.831,69,0.92,257,3.42666666667,326,4.34666666667,453,6.04,113,1.50666666667,18,0.24,185,2.46666666667,238,1342,17.8933333333,
Danny Ainge,POR,1990-1991, 6-4,SG,31,80,1710,21.375,337,714,.472,102,251,.406,114,138,.826,45,0.5625,160,2.0,205,2.5625,285,3.5625,63,0.7875,13,0.1625,100,1.25,195,890,11.125,
Danny Ainge,POR,1991-1992, 6-4,SG,32,81,1595,19.6913580247,299,676,.442,78,230,.339,108,131,.824,40,0.493827160494,108,1.33333333333,148,1.82716049383,202,2.49382716049,73,0.901234567901,12,0.148148148148,70,0.864197530864,148,784,9.67901234568,
Danny Ainge,PHO,1992-1993, 6-4,SG,33,80,2163,27.0375,337,730,.462,150,372,.403,123,145,.848,49,0.6125,165,2.0625,214,2.675,260,3.25,69,0.8625,8,0.1,113,1.4125,175,947,11.8375,
Danny Ainge,PHO,1993-1994, 6-4,SG,34,68,1555,22.8676470588,224,537,.417,80,244,.328,78,94,.830,28,0.411764705882,103,1.51470588235,131,1.92647058824,180,2.64705882353,57,0.838235294118,8,0.117647058824,81,1.19117647059,140,606,8.91176470588,
Danny Ainge,PHO,1994-1995, 6-4,SG,35,74,1374,18.5675675676,194,422,.460,78,214,.364,105,130,.808,25,0.337837837838,84,1.13513513514,109,1.47297297297,210,2.83783783784,46,0.621621621622,7,0.0945945945946,79,1.06756756757,155,571,7.71621621622,
