Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Danny Fortson,DEN,1997-1998, 6-7,PF,21,80,1811,22.6375,276,611,.452,1,3,.333,263,339,.776,182,2.275,266,3.325,448,5.6,76,0.95,44,0.55,30,0.375,157,1.9625,314,816,10.2,
Danny Fortson,DEN,1998-1999, 6-7,PF,22,50,1417,28.34,191,386,.495,0,3,.000,168,231,.727,210,4.2,371,7.42,581,11.62,32,0.64,31,0.62,22,0.44,77,1.54,212,550,11.0,
Danny Fortson,BOS,1999-2000, 6-7,PF,23,55,856,15.5636363636,140,265,.528,0,0,.000,139,189,.735,141,2.56363636364,225,4.09090909091,366,6.65454545455,29,0.527272727273,20,0.363636363636,5,0.0909090909091,67,1.21818181818,180,419,7.61818181818,
Danny Fortson,GSW,2000-2001, 6-7,PF,24,6,203,33.8333333333,29,50,.580,0,0,.000,42,54,.778,29,4.83333333333,69,11.5,98,16.3333333333,5,0.833333333333,2,0.333333333333,0,0.0,10,1.66666666667,22,100,16.6666666667,
Danny Fortson,GSW,2001-2002, 6-7,PF,25,77,2216,28.7792207792,309,722,.428,1,4,.250,245,308,.795,290,3.76623376623,609,7.90909090909,899,11.6753246753,127,1.64935064935,44,0.571428571429,17,0.220779220779,160,2.07792207792,255,864,11.2207792208,
Danny Fortson,GSW,2002-2003, 6-7,PF,26,17,223,13.1176470588,20,54,.370,0,1,.000,19,29,.655,28,1.64705882353,45,2.64705882353,73,4.29411764706,12,0.705882352941,9,0.529411764706,0,0.0,15,0.882352941176,43,59,3.47058823529,
Danny Fortson,DAL,2003-2004, 6-7,C,27,56,625,11.1607142857,71,139,.511,0,0,.000,75,92,.815,114,2.03571428571,136,2.42857142857,250,4.46428571429,9,0.160714285714,12,0.214285714286,11,0.196428571429,37,0.660714285714,148,217,3.875,
Danny Fortson,SEA,2004-2005, 6-7,C,28,62,1047,16.8870967742,118,226,.522,0,0,.000,227,258,.880,157,2.53225806452,191,3.08064516129,348,5.61290322581,8,0.129032258065,15,0.241935483871,7,0.112903225806,91,1.46774193548,265,463,7.46774193548,
Danny Fortson,SEA,2005-2006, 6-7,C,29,23,276,12.0,27,51,.529,0,0,.000,33,43,.767,31,1.34782608696,47,2.04347826087,78,3.39130434783,2,0.0869565217391,4,0.173913043478,2,0.0869565217391,26,1.13043478261,76,87,3.78260869565,
Danny Fortson,SEA,2006-2007, 6-7,C,30,14,158,11.2857142857,15,30,.500,0,1,.000,10,13,.769,13,0.928571428571,30,2.14285714286,43,3.07142857143,1,0.0714285714286,1,0.0714285714286,0,0.0,15,1.07142857143,38,40,2.85714285714,
