Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Danny Young,SEA,1984-1985, 6-3,PG,22,3,26,8.66666666667,2,10,.200,0,1,.000,0,0,.000,0,0.0,3,1.0,3,1.0,2,0.666666666667,3,1.0,0,0.0,2,0.666666666667,2,4,1.33333333333,
Danny Young,SEA,1985-1986, 6-3,PG,23,82,1901,23.1829268293,227,449,.506,24,74,.324,90,106,.849,29,0.353658536585,91,1.10975609756,120,1.46341463415,303,3.69512195122,110,1.34146341463,9,0.109756097561,92,1.12195121951,113,568,6.92682926829,
Danny Young,SEA,1986-1987, 6-3,PG,24,73,1482,20.301369863,132,288,.458,29,79,.367,59,71,.831,23,0.315068493151,90,1.23287671233,113,1.54794520548,353,4.83561643836,74,1.01369863014,3,0.041095890411,85,1.16438356164,72,352,4.82191780822,
Danny Young,SEA,1987-1988, 6-3,PG,25,77,949,12.3246753247,89,218,.408,22,77,.286,43,53,.811,18,0.233766233766,57,0.74025974026,75,0.974025974026,218,2.83116883117,52,0.675324675325,2,0.025974025974,37,0.480519480519,69,243,3.15584415584,
Danny Young,POR,1988-1989, 6-3,PG,26,48,952,19.8333333333,115,250,.460,17,50,.340,50,64,.781,17,0.354166666667,57,1.1875,74,1.54166666667,123,2.5625,55,1.14583333333,3,0.0625,45,0.9375,50,297,6.1875,
Danny Young,POR,1989-1990, 6-3,PG,27,82,1393,16.987804878,138,328,.421,16,59,.271,91,112,.813,29,0.353658536585,93,1.13414634146,122,1.48780487805,231,2.81707317073,82,1.0,4,0.0487804878049,80,0.975609756098,84,383,4.67073170732,
Danny Young,POR,1990-1991, 6-3,PG,28,75,897,11.96,103,271,.380,36,104,.346,41,45,.911,22,0.293333333333,53,0.706666666667,75,1.0,141,1.88,50,0.666666666667,7,0.0933333333333,50,0.666666666667,49,283,3.77333333333,
Danny Young,TOT,1991-1992, 6-3,PG,29,62,1023,16.5,100,255,.392,23,70,.329,57,67,.851,16,0.258064516129,59,0.951612903226,75,1.20967741935,172,2.77419354839,46,0.741935483871,4,0.0645161290323,47,0.758064516129,53,280,4.51612903226,
Danny Young,POR,1991-1992, 6-3,PG,29,18,134,7.44444444444,16,40,.400,3,10,.300,10,14,.714,0,0.0,9,0.5,9,0.5,20,1.11111111111,6,0.333333333333,0,0.0,5,0.277777777778,6,45,2.5,
Danny Young,LAC,1991-1992, 6-3,PG,29,44,889,20.2045454545,84,215,.391,20,60,.333,47,53,.887,16,0.363636363636,50,1.13636363636,66,1.5,152,3.45454545455,40,0.909090909091,4,0.0909090909091,42,0.954545454545,47,235,5.34090909091,
Danny Young,DET,1992-1993, 6-3,PG,30,65,836,12.8615384615,69,167,.413,22,68,.324,28,32,.875,13,0.2,34,0.523076923077,47,0.723076923077,119,1.83076923077,31,0.476923076923,5,0.0769230769231,30,0.461538461538,36,188,2.89230769231,
Danny Young,MIL,1994-1995, 6-3,PG,32,7,77,11.0,9,17,.529,5,12,.417,1,1,1.000,1,0.142857142857,4,0.571428571429,5,0.714285714286,12,1.71428571429,4,0.571428571429,0,0.0,4,0.571428571429,8,24,3.42857142857,
