Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Darko Milicic,DET,2003-2004, 7-0,C,18,34,159,4.67647058824,17,65,.262,0,1,.000,14,24,.583,11,0.323529411765,32,0.941176470588,43,1.26470588235,7,0.205882352941,7,0.205882352941,15,0.441176470588,13,0.382352941176,33,48,1.41176470588,
Darko Milicic,DET,2004-2005, 7-0,C,19,37,254,6.86486486486,25,76,.329,0,0,.000,17,24,.708,3,0.0810810810811,40,1.08108108108,43,1.16216216216,7,0.189189189189,2,0.0540540540541,17,0.459459459459,16,0.432432432432,31,67,1.81081081081,
Darko Milicic,TOT,2005-2006, 7-0,C,20,55,767,13.9454545455,119,234,.509,0,2,.000,28,50,.560,44,0.8,107,1.94545454545,151,2.74545454545,41,0.745454545455,14,0.254545454545,77,1.4,51,0.927272727273,92,266,4.83636363636,
Darko Milicic,DET,2005-2006, 7-0,C,20,25,140,5.6,17,33,.515,0,2,.000,3,8,.375,10,0.4,18,0.72,28,1.12,9,0.36,3,0.12,15,0.6,15,0.6,25,37,1.48,
Darko Milicic,ORL,2005-2006, 7-0,C,20,30,627,20.9,102,201,.507,0,0,.000,25,42,.595,34,1.13333333333,89,2.96666666667,123,4.1,32,1.06666666667,11,0.366666666667,62,2.06666666667,36,1.2,67,229,7.63333333333,
Darko Milicic,ORL,2006-2007, 7-0,PF,21,80,1913,23.9125,249,548,.454,0,1,.000,141,230,.613,145,1.8125,292,3.65,437,5.4625,90,1.125,44,0.55,140,1.75,124,1.55,219,639,7.9875,
Darko Milicic,MEM,2007-2008, 7-0,C,22,70,1663,23.7571428571,219,500,.438,0,1,.000,67,121,.554,127,1.81428571429,297,4.24285714286,424,6.05714285714,58,0.828571428571,32,0.457142857143,114,1.62857142857,101,1.44285714286,185,505,7.21428571429,
Darko Milicic,MEM,2008-2009, 7-0,C,23,61,1034,16.9508196721,137,266,.515,0,0,.000,59,105,.562,83,1.3606557377,181,2.96721311475,264,4.32786885246,34,0.55737704918,22,0.360655737705,51,0.83606557377,48,0.786885245902,134,333,5.45901639344,
Darko Milicic,TOT,2009-2010, 7-0,C,24,32,685,21.40625,100,204,.490,0,1,.000,15,28,.536,47,1.46875,104,3.25,151,4.71875,47,1.46875,22,0.6875,34,1.0625,35,1.09375,82,215,6.71875,
Darko Milicic,NYK,2009-2010, 7-0,C,24,8,71,8.875,8,17,.471,0,0,.000,0,0,.000,5,0.625,13,1.625,18,2.25,4,0.5,4,0.5,1,0.125,2,0.25,7,16,2.0,
Darko Milicic,MIN,2009-2010, 7-0,C,24,24,614,25.5833333333,92,187,.492,0,1,.000,15,28,.536,42,1.75,91,3.79166666667,133,5.54166666667,43,1.79166666667,18,0.75,33,1.375,33,1.375,75,199,8.29166666667,
Darko Milicic,MIN,2010-2011, 7-0,C,25,69,1686,24.4347826087,271,578,.469,0,0,.000,64,115,.557,133,1.92753623188,227,3.28985507246,360,5.21739130435,104,1.50724637681,54,0.782608695652,140,2.02898550725,151,2.1884057971,229,606,8.78260869565,
Darko Milicic,MIN,2011-2012, 7-0,C,26,29,472,16.275862069,59,130,.454,0,0,.000,16,37,.432,35,1.20689655172,62,2.13793103448,97,3.34482758621,17,0.586206896552,9,0.310344827586,25,0.862068965517,32,1.10344827586,59,134,4.62068965517,
Darko Milicic,BOS,2012-2013, 7-0,C,27,1,5,5.0,0,1,.000,0,0,.000,0,0,.000,0,0.0,1,1.0,1,1.0,0,0.0,0,0.0,0,0.0,2,2.0,1,0,0.0,
