Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Darrell Griffith,UTA,1980-1981, 6-4,SG,22,81,2867,35.3950617284,716,1544,.464,10,52,.192,229,320,.716,79,0.975308641975,209,2.58024691358,288,3.55555555556,194,2.3950617284,106,1.30864197531,40,0.493827160494,231,2.85185185185,219,1671,20.6296296296,
Darrell Griffith,UTA,1981-1982, 6-4,SG,23,80,2597,32.4625,689,1429,.482,15,52,.288,189,271,.697,128,1.6,177,2.2125,305,3.8125,187,2.3375,95,1.1875,34,0.425,193,2.4125,213,1582,19.775,
Darrell Griffith,UTA,1982-1983, 6-4,SG,24,77,2787,36.1948051948,752,1554,.484,38,132,.288,167,246,.679,100,1.2987012987,204,2.64935064935,304,3.94805194805,270,3.50649350649,138,1.79220779221,33,0.428571428571,252,3.27272727273,184,1709,22.1948051948,
Darrell Griffith,UTA,1983-1984, 6-4,SG,25,82,2650,32.3170731707,697,1423,.490,91,252,.361,151,217,.696,95,1.15853658537,243,2.96341463415,338,4.12195121951,283,3.4512195122,114,1.39024390244,23,0.280487804878,243,2.96341463415,202,1636,19.9512195122,
Darrell Griffith,UTA,1984-1985, 6-4,SG,26,78,2776,35.5897435897,728,1593,.457,92,257,.358,216,298,.725,124,1.58974358974,220,2.82051282051,344,4.41025641026,243,3.11538461538,133,1.70512820513,30,0.384615384615,247,3.16666666667,178,1764,22.6153846154,
Darrell Griffith,UTA,1986-1987, 6-4,SG,28,76,1843,24.25,463,1038,.446,67,200,.335,149,212,.703,81,1.06578947368,146,1.92105263158,227,2.98684210526,129,1.69736842105,97,1.27631578947,29,0.381578947368,135,1.77631578947,167,1142,15.0263157895,
Darrell Griffith,UTA,1987-1988, 6-4,SG,29,52,1052,20.2307692308,251,585,.429,28,102,.275,59,92,.641,36,0.692307692308,91,1.75,127,2.44230769231,91,1.75,52,1.0,5,0.0961538461538,67,1.28846153846,102,589,11.3269230769,
Darrell Griffith,UTA,1988-1989, 6-4,SG,30,82,2382,29.0487804878,466,1045,.446,61,196,.311,142,182,.780,77,0.939024390244,253,3.08536585366,330,4.0243902439,130,1.58536585366,86,1.0487804878,22,0.268292682927,141,1.71951219512,175,1135,13.8414634146,
Darrell Griffith,UTA,1989-1990, 6-4,SG,31,82,1444,17.6097560976,301,649,.464,80,215,.372,51,78,.654,43,0.524390243902,123,1.5,166,2.0243902439,63,0.768292682927,68,0.829268292683,19,0.231707317073,75,0.914634146341,149,733,8.93902439024,
Darrell Griffith,UTA,1990-1991, 6-4,SG,32,75,1005,13.4,174,445,.391,48,138,.348,34,45,.756,17,0.226666666667,73,0.973333333333,90,1.2,37,0.493333333333,42,0.56,7,0.0933333333333,48,0.64,100,430,5.73333333333,
