Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Darryl Dawkins,PHI,1975-1976, 6-11,C,19,37,165,4.45945945946,41,82,.500,.000,.000,.000,8,24,.333,15,0.405405405405,34,0.918918918919,49,1.32432432432,3,0.0810810810811,2,0.0540540540541,9,0.243243243243,.000,0.0,40,90,2.43243243243,
Darryl Dawkins,PHI,1976-1977, 6-11,C,20,59,684,11.593220339,135,215,.628,.000,.000,.000,40,79,.506,59,1.0,171,2.89830508475,230,3.89830508475,24,0.406779661017,12,0.203389830508,49,0.830508474576,.000,0.0,129,310,5.25423728814,
Darryl Dawkins,PHI,1977-1978, 6-11,C,21,70,1722,24.6,332,577,.575,.000,.000,.000,156,220,.709,117,1.67142857143,438,6.25714285714,555,7.92857142857,85,1.21428571429,34,0.485714285714,125,1.78571428571,123,1.75714285714,268,820,11.7142857143,
Darryl Dawkins,PHI,1978-1979, 6-11,C,22,78,2035,26.0897435897,430,831,.517,.000,.000,.000,158,235,.672,123,1.57692307692,508,6.51282051282,631,8.08974358974,128,1.64102564103,32,0.410256410256,143,1.83333333333,197,2.52564102564,295,1018,13.0512820513,
Darryl Dawkins,PHI,1979-1980, 6-11,C,23,80,2541,31.7625,494,946,.522,0,6,.000,190,291,.653,197,2.4625,496,6.2,693,8.6625,149,1.8625,49,0.6125,142,1.775,230,2.875,328,1178,14.725,
Darryl Dawkins,PHI,1980-1981, 6-11,C,24,76,2088,27.4736842105,423,697,.607,0,0,.000,219,304,.720,106,1.39473684211,439,5.77631578947,545,7.17105263158,109,1.43421052632,38,0.5,112,1.47368421053,220,2.89473684211,316,1065,14.0131578947,
Darryl Dawkins,PHI,1981-1982, 6-11,C,25,48,1124,23.4166666667,207,367,.564,0,2,.000,114,164,.695,68,1.41666666667,237,4.9375,305,6.35416666667,55,1.14583333333,19,0.395833333333,55,1.14583333333,96,2.0,193,528,11.0,
Darryl Dawkins,NJN,1982-1983, 6-11,C,26,81,2093,25.8395061728,401,669,.599,0,0,.000,166,257,.646,127,1.56790123457,293,3.61728395062,420,5.18518518519,114,1.40740740741,67,0.827160493827,152,1.87654320988,281,3.46913580247,379,968,11.950617284,
Darryl Dawkins,NJN,1983-1984, 6-11,C,27,81,2417,29.8395061728,507,855,.593,2,5,.400,341,464,.735,159,1.96296296296,382,4.71604938272,541,6.67901234568,123,1.51851851852,60,0.740740740741,136,1.67901234568,231,2.85185185185,386,1357,16.7530864198,
Darryl Dawkins,NJN,1984-1985, 6-11,C,28,39,972,24.9230769231,192,339,.566,0,1,.000,143,201,.711,55,1.41025641026,126,3.23076923077,181,4.64102564103,45,1.15384615385,14,0.358974358974,35,0.897435897436,93,2.38461538462,171,527,13.5128205128,
Darryl Dawkins,NJN,1985-1986, 6-11,C,29,51,1207,23.6666666667,284,441,.644,0,1,.000,210,297,.707,85,1.66666666667,166,3.25490196078,251,4.92156862745,77,1.50980392157,16,0.313725490196,59,1.1568627451,124,2.43137254902,227,778,15.2549019608,
Darryl Dawkins,NJN,1986-1987, 6-11,C,30,6,106,17.6666666667,20,32,.625,0,0,.000,17,24,.708,9,1.5,10,1.66666666667,19,3.16666666667,2,0.333333333333,2,0.333333333333,3,0.5,15,2.5,25,57,9.5,
Darryl Dawkins,TOT,1987-1988, 6-11,C,31,6,33,5.5,2,9,.222,0,0,.000,6,15,.400,2,0.333333333333,3,0.5,5,0.833333333333,2,0.333333333333,0,0.0,2,0.333333333333,7,1.16666666667,14,10,1.66666666667,
Darryl Dawkins,UTA,1987-1988, 6-11,C,31,4,26,6.5,1,7,.143,0,0,.000,4,12,.333,2,0.5,3,0.75,5,1.25,1,0.25,0,0.0,1,0.25,4,1.0,10,6,1.5,
Darryl Dawkins,DET,1987-1988, 6-11,C,31,2,7,3.5,1,2,.500,0,0,.000,2,3,.667,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,3,1.5,4,4,2.0,
Darryl Dawkins,DET,1988-1989, 6-11,C,32,14,48,3.42857142857,9,19,.474,0,0,.000,9,18,.500,3,0.214285714286,4,0.285714285714,7,0.5,1,0.0714285714286,0,0.0,1,0.0714285714286,4,0.285714285714,13,27,1.92857142857,
