Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Darwin Cook,NJN,1980-1981, 6-3,SG,22,81,1980,24.4444444444,383,819,.468,6,25,.240,132,180,.733,96,1.18518518519,140,1.72839506173,236,2.91358024691,297,3.66666666667,141,1.74074074074,36,0.444444444444,176,2.17283950617,197,904,11.1604938272,
Darwin Cook,NJN,1981-1982, 6-3,PG,23,82,2090,25.487804878,387,803,.482,7,31,.226,118,162,.728,52,0.634146341463,103,1.25609756098,155,1.89024390244,319,3.89024390244,146,1.78048780488,24,0.292682926829,175,2.13414634146,196,899,10.9634146341,
Darwin Cook,NJN,1982-1983, 6-3,PG,24,82,2625,32.012195122,443,986,.449,8,38,.211,186,242,.769,73,0.890243902439,167,2.03658536585,240,2.92682926829,448,5.46341463415,194,2.36585365854,48,0.585365853659,238,2.90243902439,213,1080,13.1707317073,
Darwin Cook,NJN,1983-1984, 6-3,PG,25,82,1870,22.8048780488,304,687,.443,11,46,.239,95,126,.754,51,0.621951219512,105,1.28048780488,156,1.90243902439,356,4.34146341463,164,2.0,36,0.439024390244,142,1.73170731707,184,714,8.70731707317,
Darwin Cook,NJN,1984-1985, 6-3,PG,26,58,1063,18.3275862069,212,453,.468,2,23,.087,47,54,.870,21,0.362068965517,71,1.22413793103,92,1.58620689655,160,2.75862068966,74,1.27586206897,10,0.172413793103,75,1.29310344828,96,473,8.15517241379,
Darwin Cook,NJN,1985-1986, 6-3,PG,27,79,1965,24.8734177215,267,627,.426,11,53,.208,84,111,.757,51,0.645569620253,126,1.59493670886,177,2.24050632911,390,4.93670886076,156,1.9746835443,22,0.278481012658,132,1.67088607595,172,629,7.96202531646,
Darwin Cook,WSB,1986-1987, 6-3,SG,28,82,1420,17.3170731707,265,622,.426,2,23,.087,82,103,.796,46,0.560975609756,99,1.20731707317,145,1.76829268293,151,1.84146341463,98,1.19512195122,17,0.207317073171,96,1.17073170732,136,614,7.48780487805,
Darwin Cook,TOT,1988-1989, 6-3,SG,30,66,1143,17.3181818182,218,478,.456,8,41,.195,63,78,.808,34,0.515151515152,73,1.10606060606,107,1.62121212121,127,1.92424242424,71,1.07575757576,10,0.151515151515,88,1.33333333333,121,507,7.68181818182,
Darwin Cook,SAS,1988-1989, 6-3,SG,30,36,757,21.0277777778,147,315,.467,6,31,.194,46,56,.821,21,0.583333333333,38,1.05555555556,59,1.63888888889,84,2.33333333333,43,1.19444444444,4,0.111111111111,62,1.72222222222,77,346,9.61111111111,
Darwin Cook,DEN,1988-1989, 6-3,SG,30,30,386,12.8666666667,71,163,.436,2,10,.200,17,22,.773,13,0.433333333333,35,1.16666666667,48,1.6,43,1.43333333333,28,0.933333333333,6,0.2,26,0.866666666667,44,161,5.36666666667,
