Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Dave Bing,DET,1966-1967, 6-3,PG,23,80,2762,34.525,664,1522,.436,.000,.000,.000,273,370,.738,.000,0.0,.000,0.0,359,4.4875,330,4.125,.000,0.0,.000,0.0,.000,0.0,217,1601,20.0125,
Dave Bing,DET,1967-1968, 6-3,PG,24,79,3209,40.6202531646,835,1893,.441,.000,.000,.000,472,668,.707,.000,0.0,.000,0.0,373,4.72151898734,509,6.44303797468,.000,0.0,.000,0.0,.000,0.0,254,2142,27.1139240506,
Dave Bing,DET,1968-1969, 6-3,PG,25,77,3039,39.4675324675,678,1594,.425,.000,.000,.000,444,623,.713,.000,0.0,.000,0.0,382,4.96103896104,546,7.09090909091,.000,0.0,.000,0.0,.000,0.0,256,1800,23.3766233766,
Dave Bing,DET,1969-1970, 6-3,PG,26,70,2334,33.3428571429,575,1295,.444,.000,.000,.000,454,580,.783,.000,0.0,.000,0.0,299,4.27142857143,418,5.97142857143,.000,0.0,.000,0.0,.000,0.0,196,1604,22.9142857143,
Dave Bing,DET,1970-1971, 6-3,PG,27,82,3065,37.3780487805,799,1710,.467,.000,.000,.000,615,772,.797,.000,0.0,.000,0.0,364,4.43902439024,408,4.9756097561,.000,0.0,.000,0.0,.000,0.0,228,2213,26.987804878,
Dave Bing,DET,1971-1972, 6-3,PG,28,45,1936,43.0222222222,369,891,.414,.000,.000,.000,278,354,.785,.000,0.0,.000,0.0,186,4.13333333333,317,7.04444444444,.000,0.0,.000,0.0,.000,0.0,138,1016,22.5777777778,
Dave Bing,DET,1972-1973, 6-3,PG,29,82,3361,40.987804878,692,1545,.448,.000,.000,.000,456,560,.814,.000,0.0,.000,0.0,298,3.63414634146,637,7.76829268293,.000,0.0,.000,0.0,.000,0.0,229,1840,22.4390243902,
Dave Bing,DET,1973-1974, 6-3,PG,30,81,3124,38.5679012346,582,1336,.436,.000,.000,.000,356,438,.813,108,1.33333333333,173,2.13580246914,281,3.46913580247,555,6.85185185185,109,1.34567901235,17,0.20987654321,.000,0.0,216,1520,18.7654320988,
Dave Bing,DET,1974-1975, 6-3,PG,31,79,3222,40.7848101266,578,1333,.434,.000,.000,.000,343,424,.809,86,1.08860759494,200,2.53164556962,286,3.62025316456,610,7.72151898734,116,1.46835443038,26,0.329113924051,.000,0.0,222,1499,18.9746835443,
Dave Bing,WSB,1975-1976, 6-3,PG,32,82,2945,35.9146341463,497,1113,.447,.000,.000,.000,332,422,.787,94,1.14634146341,143,1.74390243902,237,2.89024390244,492,6.0,118,1.43902439024,23,0.280487804878,.000,0.0,262,1326,16.1707317073,
Dave Bing,WSB,1976-1977, 6-3,SG,33,64,1516,23.6875,271,597,.454,.000,.000,.000,136,176,.773,54,0.84375,89,1.390625,143,2.234375,275,4.296875,61,0.953125,5,0.078125,.000,0.0,150,678,10.59375,
Dave Bing,BOS,1977-1978, 6-3,PG,34,80,2256,28.2,422,940,.449,.000,.000,.000,244,296,.824,76,0.95,136,1.7,212,2.65,300,3.75,79,0.9875,18,0.225,216,2.7,247,1088,13.6,
